MODEL,CV_METHOD,RMSE_AVG,R2_AVG
LR,RNDM_CV_LOFO,0.04940520775923781,0.9240810332670986
LR,RNDM_TEST_LOFO,0.16067952817116346,0.23160052195703396
RF,RNDM_CV_LOFO,0.03743845447724569,0.9562921369126892
RF,RNDM_TEST_LOFO,0.15412481077557874,0.29301356921650845
LR,GKF_CV_LOFO,0.07306249534749319,0.3948480350051345
LR,GKF_TEST_LOFO,0.16067952817116346,0.23160052195703396
RF,GKF_CV_LOFO,0.052260898413444196,0.8047977164480937
RF,GKF_TEST_LOFO,0.15412481077557874,0.29301356921650856
LR,SP_CV_LOFO,0.13238832703464504,-0.7292312076327108
LR,SP_TEST_LOFO,0.16067952817116346,0.23160052195703396
RF,SP_CV_LOFO,0.055237313607364655,0.7014448439867355
RF,SP_TEST_LOFO,0.15412481077557874,0.29301356921650845
