Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,Crop Flw(M,Crop Flw(V,X,Y
"1","2020","6182020","39.832","49.734","33.297","41.50802809","0.152604043","0.110555345","0.175976115","0.669501749","26.339","0.049085567","-0.025379488","26.28991443","0.2184408","0.301910015","1.248594095","1.32537163","67","1","178.0760355","-93.5396475099999947","44.0656658699999966","-93.5396089099999983","44.0656272699999931","1155.380859000000100","17.449181079999999","9881.252930000000561","176.450725599999998","17.979464530000001","1155.848662999999988","-93.539628209999975","44.065646569999991"
"10","2020","6182020","31.155","43.468","27.467","34.71088752","0.194520397","0.165002747","0.261112054","0.631890126","28.314","0.001459497","-0.049115486","28.3125405","0.321258929","0.376559853","1.395217461","1.45499837","67","10","218.0982594","-93.5396475099999947","44.0653184699999940","-93.5396089099999983","44.0652798699999906","1154.186400999999933","17.942246910000001","12222.727290000000721","218.262737299999998","23.967402929999999","1540.744018999999980","-93.539628209999975","44.065299169999989"
"100","2020","6182020","29.002","39.506","24.811","31.71448544","0.189715791","0.153325159","0.240382635","0.628031185","25.199","0.011753234","-0.051121422","25.18724677","0.299606976","0.368880464","1.362181918","1.434851898","63","20","219.5285993","-93.5394931099999951","44.0649324699999951","-93.5394545099999988","44.0648938699999917","1154.231293000000051","17.909067629999999","12463.730960000000778","222.566360500000002","23.970980640000001","1540.982848999999987","-93.539473810000004","44.064913169999997"
"1000","2020","6182020","30.214","41.284","26.505","33.26544492","0.185580851","0.154829506","0.246038273","0.642016277","25.849","0.010362948","-0.042621144","25.83863705","0.302409595","0.360669779","1.366386443","1.427298217","18","20","234.3713436","-93.5377561099999895","44.0649324699999951","-93.5377175099999931","44.0648938699999917","1151.290283000000045","16.049493790000000","13023.604740000000675","232.564086900000007","23.677465439999999","1522.098510999999917","-93.537736809999998","44.064913169999997"
"1001","2020","6182020","37.434","47.021","31.01","39.0465487","0.157539726","0.113516074","0.179380672","0.659492567","25.598","0.046651366","-0.031238904","25.55134863","0.224143852","0.311449444","1.256104077","1.337374978","17","1","158.5800441","-93.5377175099999931","44.0656658699999966","-93.5376789099999968","44.0656272699999931","1157.193878000000041","17.780971050000002","9459.528808999999455","168.919975300000004","17.943056580000000","1153.530029000000013","-93.537698210000002","44.065646569999991"
"1002","2020","6182020","38.304","47.788","31.773","39.8347122","0.153930203","0.110161223","0.174598207","0.664874027","25.499","0.04952785","-0.028047342","25.44947215","0.217680782","0.304696789","1.247598162","1.327729587","17","2","142.901167","-93.5377175099999931","44.0656272699999931","-93.5376789099999968","44.0655886699999897","1156.500518999999940","17.684610370000001","8841.802734000000783","157.889152499999994","14.801194910000000","951.882797200000027","-93.537698210000002","44.065607969999988"
"1003","2020","6182020","37.39","47.47","30.779","39.15252159","0.164129508","0.118783879","0.186387086","0.648388456","26.771","0.042165705","-0.037871306","26.72883429","0.234262407","0.323883766","1.2695908","1.354573534","17","3","181.3994432","-93.5377175099999931","44.0655886699999968","-93.5376789099999968","44.0655500699999934","1156.012664999999970","17.901661870000002","9446.510742000000391","168.687496199999998","14.424180509999999","927.556900000000041","-93.537698210000002","44.065569369999992"
"1004","2020","6182020","34.137","44.068","28.27","36.08562176","0.17090798","0.126986766","0.198878542","0.641508578","25.729","0.034973468","-0.042169523","25.69402653","0.24994304","0.336058359","1.290916015","1.374581633","17","4","176.4938743","-93.5377175099999931","44.0655500699999934","-93.5376789099999968","44.0655114699999899","1156.868987999999945","17.772092340000000","10338.098389999999199","184.608699800000011","14.400709150000001","925.631469700000025","-93.537698210000002","44.065530769999995"
"1005","2020","6182020","35.931","46.152","29.441","37.80571538","0.170805957","0.124520303","0.194160556","0.63791385","26.932","0.037224275","-0.044246978","26.89477573","0.245238113","0.336327609","1.284461885","1.372559874","17","5","169.0801151","-93.5377175099999931","44.0655114699999970","-93.5376789099999968","44.0654728699999936","1157.644592000000102","17.126425739999998","9678.452880999999252","172.829296099999993","13.789376259999999","886.549560499999984","-93.537698210000002","44.065492169999999"
"1006","2020","6182020","40.818","50.681","32.401","41.97021835","0.161203109","0.107793528","0.166892281","0.639312563","28.143","0.05217272","-0.042934625","28.09082728","0.213110826","0.320222367","1.241633593","1.340883743","17","6","183.9054071","-93.5377175099999931","44.0654728699999936","-93.5376789099999968","44.0654342699999901","1157.959106000000020","16.566169739999999","10071.788819999999760","179.853153200000008","18.890300750000002","1214.416199000000006","-93.537698210000002","44.065453569999981"
