Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Crop Flw(M,Crop Flw(V,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,id_old,X,Y
"1000","2022","6152022","33.029","53.594","31.153","40.55342602","0.250954076","0.237408079","0.370740941","0.581277755","43.006","-0.062435471","-0.08473543","43.06843547","0.449482175","0.47250376","1.622634654","1.654540739","5","8","234.6136114",-93.529918931000012,44.077772119000002,-93.529879931000011,44.077733119000001,21.445978480000001,1378.032271000000037,1144.984500999999909,18.343121969999999,12617.809800000000905,225.317794800000001,1196,"-93.529936170859315","44.077728448039935"
"1001","2022","6152022","32.756","52.302","29.227","39.42364886","0.255848295","0.229796139","0.350092243","0.558812283","42.621","-0.056381852","-0.099612373","42.67738185","0.436540219","0.481507602","1.596715106","1.658491077","5","9","235.3016744",-93.529918931000012,44.077733119000001,-93.529879931000011,44.077694119000000,20.089001870000001,1290.613229999999930,1144.674350000000004,18.378408640000000,12522.519340000000739,223.616190600000010,1197,"-93.529936170859315","44.077689448039933"
"1002","2022","6152022","34.515","54.279","31.105","41.25132762","0.24651793","0.222582607","0.342595642","0.57305772","42.938","-0.049691824","-0.08950867","42.98769182","0.42415147","0.465849363","1.5726206","1.628051448","5","10","235.3224912",-93.529918931000012,44.077694119000000,-93.529879931000011,44.077655118999999,18.870314230000002,1212.318596999999954,1144.504079000000047,18.439327400000000,12175.476160000000164,217.418974999999989,1198,"-93.529936170859315","44.077650448039932"
"1003","2022","6152022","33.282","53.613","29.498","40.21681778","0.261437832","0.233972035","0.354217119","0.550202376","44.446","-0.060297441","-0.105812205","44.50629744","0.443656994","0.49080633","1.610870741","1.676932195","5","11","214.6295961",-93.529918931000012,44.077655118999999,-93.529879931000011,44.077616118999998,19.452807220000000,1249.732449000000088,1144.483531000000085,18.449579660000001,12410.773870000000898,221.620725800000002,1199,"-93.529936170859315","44.077611448039931"
"1004","2022","6152022","37.163","58.029","31.844","43.82728886","0.254240402","0.219199092","0.329386879","0.548760103","47.051","-0.047237004","-0.105855033","47.098237","0.418299623","0.479905561","1.561472432","1.643890971","5","12","239.3317461",-93.529918931000012,44.077616119000005,-93.529879931000011,44.077577119000004,20.406565789999998,1311.176347000000078,1144.615759000000025,18.472988319999999,12654.081930000000284,225.965506000000005,1200,"-93.529936170859315","44.077572448039938"
"1005","2022","6152022","36.268","57.158","31.718","43.16030704","0.254138737","0.223599426","0.33852985","0.554917947","46.33","-0.051003644","-0.101905005","46.38100364","0.425905006","0.47917226","1.575989853","1.64793451","5","13","230.1133018",-93.529918931000012,44.077577119000004,-93.529879931000011,44.077538119000003,20.817467369999999,1337.493222000000060,1144.683905999999979,18.507133060000001,12665.718699999999444,226.173299200000002,1201,"-93.529936170859315","44.077533448039937"
"1006","2022","6152022","34.38","54.924","30.058","41.23959885","0.260548753","0.230045687","0.346757587","0.547265312","45.41","-0.056902532","-0.107595382","45.46690253","0.436966653","0.489686972","1.597556719","1.670649846","5","14","234.8023394",-93.529918931000012,44.077538119000003,-93.529879931000011,44.077499119000002,21.290709759999999,1368.059238000000050,1144.837897000000112,18.472988919999999,12498.251089999999749,223.182803699999994,1202,"-93.529936170859315","44.077494448039936"
"1007","2022","6152022","34.963","55.93","30.415","41.93506287","0.262257529","0.23067783","0.346688052","0.543804756","46.482","-0.057554325","-0.110042207","46.53955432","0.43804623","0.492600134","1.599691102","1.675674183","5","15","229.9321522",-93.529918931000012,44.077499119000002,-93.529879931000011,44.077460119000001,21.786122750000001,1400.055714999999964,1145.152448999999933,18.461441829999998,12395.938910000000760,221.355805299999986,1203,"-93.529936170859315","44.077455448039935"
"1008","2022","6152022","35.342","55.695","31.493","42.20110203","0.249992986","0.223568439","0.341814457","0.565454709","44.555","-0.050732066","-0.094709867","44.60573207","0.425851603","0.471868788","1.575887047","1.637573329","5","16","226.0906042",-93.529918931000012,44.077460119000001,-93.529879931000011,44.077421119000000,21.088362499999999,1355.120548999999983,1145.490950999999995,18.422166820000001,11977.829359999999724,213.889562500000011,1204,"-93.529936170859315","44.077416448039934"
"1009","2022","6152022","36.714","57.609","31.376","43.4018742","0.257097344","0.221526033","0.331945923","0.544637123","47.128","-0.049398961","-0.108852099","47.17739896","0.422326888","0.484676066","1.569128943","1.653410143","5","17","220.5814312",-93.529918931000012,44.077421119000000,-93.529879931000011,44.077382118999999,19.958293909999998,1282.379953999999998,1145.764713000000029,18.342718649999998,11814.714250000000902,210.976787099999996,1205,"-93.529936170859315","44.077377448039933"
"1010","2022","6152022","37.925","58.408","31.934","44.23264422","0.251544127","0.212627033","0.318063945","0.546740173","46.957","-0.04142141","-0.106811573","46.99842141","0.40685983","0.476009519","1.540092287","1.630844718","5","18","214.0691179",-93.529918931000012,44.077382118999999,-93.529879931000011,44.077343118999998,19.276028900000000,1238.687554000000091,1145.859144000000015,18.241530149999999,12167.621090000000549,217.278684800000008,1206,"-93.529936170859315","44.077338448039924"
"1011","2022","6152022","36.586","57.596","31.669","43.43101877","0.255861366","0.22307872","0.336090093","0.549847212","46.937","-0.050659907","-0.105357923","46.98765991","0.425007326","0.482280053","1.574263379","1.651771719","5","19","230.3485642",-93.529918931000012,44.077343119000005,-93.529879931000011,44.077304119000004,19.613863309999999,1260.089263999999957,1145.904367999999977,18.304891479999998,12864.456679999999324,229.722184900000002,1207,"-93.529936170859315","44.077299448039945"
"1012","2022","6152022","35.812","55.431","30.781","42.04190396","0.249466062","0.215019234","0.3244848","0.555302989","44.269","-0.043386547","-0.101107979","44.31238655","0.411034977","0.471928626","1.547833129","1.627861703","5","20","235.3506078",-93.529918931000012,44.077304119000004,-93.529879931000011,44.077265119000003,21.000578440000002,1349.629271999999901,1145.943819000000076,18.371018790000001,13087.730760000000373,233.709226000000001,1208,"-93.529936170859315","44.077260448039937"
"1013","2022","6152022","35.296","55.533","31.871","42.21169801","0.24630119","0.22280329","0.343244343","0.573911008","43.899","-0.049866341","-0.088945395","43.94886634","0.424532244","0.465448574","1.573351088","1.627749117","5","21","232.0219151",-93.529918931000012,44.077265119000003,-93.529879931000011,44.077226119000002,21.539528690000001,1384.055399999999963,1145.946736999999985,18.492836000000000,13046.286159999999654,232.969148799999999,1209,"-93.529936170859315","44.077221448039936"
"1014","2022","6152022","36.954","57.861","32.682","43.89991101","0.248632376","0.220503085","0.336487857","0.564836418","46.086","-0.048043483","-0.094952822","46.13404348","0.420557964","0.46978499","1.565757428","1.631139004","5","22","232.1938141",-93.529918931000012,44.077226119000002,-93.529879931000011,44.077187119000001,20.898009190000000,1342.956363000000010,1145.992330000000038,18.644468100000001,12671.770909999999276,226.281382699999995,1210,"-93.529936170859315","44.077182448039927"
"1026","2022","6152022","41.366","56.727","32.853","44.75272094","0.20906044","0.156596291","0.235453709","0.579142207","39.235","0.009052587","-0.081963557","39.22594741","0.305696179","0.406155943","1.371343616","1.480706891","4","3","196.2255068",-93.529879931000011,44.077967119000000,-93.529840931000010,44.077928118999999,16.905243819999999,1086.337858000000097,1147.202086999999892,19.409572650000001,11739.089789999999994,209.626370699999995,1224,"-93.529897170859329","44.077923448039925"
"1027","2022","6152022","34.271","53.419","30.585","40.67568163","0.244516407","0.218360132","0.335312144","0.572549093","41.982","-0.045991122","-0.089621644","42.02799112","0.416844634","0.462716128","1.558723119","1.618919552","4","4","202.7257301",-93.529879931000011,44.077928118999999,-93.529840931000010,44.077889118999998,20.403979750000001,1311.630990000000111,1146.955680000000029,19.086146100000001,13371.456089999999676,238.775766000000004,1225,"-93.529897170859329","44.077884448039931"
"1028","2022","6152022","34.481","53.941","29.537","40.70628621","0.255171611","0.220080975","0.330474654","0.547579763","43.864","-0.048047203","-0.106725218","43.9120472","0.419827346","0.481445924","1.564368783","1.647104775","4","5","234.9496631",-93.529879931000011,44.077889119000005,-93.529840931000010,44.077850119000004,22.878293200000002,1470.880405000000110,1146.517317000000048,18.953990829999999,14081.018009999999776,251.446462800000006,1226,"-93.529897170859329","44.077845448039938"
