Extract_crop_fw_m,Plot
17.979464531,1
18.776787758,2
16.59018755,3
17.468291759,4
14.848602295,5
19.166213989,6
22.368721485,7
23.378274441,8
23.915398121,9
23.967402935,10
25.111620903,11
26.526234627,12
26.098417282,13
25.146578789,14
25.275717258,15
26.21801424,16
26.837436676,17
26.918287277,18
26.686380863,19
26.175254822,20
18.946681499,21
19.202535152,22
17.278504372,23
17.878935814,24
14.390300274,25
19.277588367,26
23.354394436,27
24.143112183,28
23.986401558,29
24.202497005,30
24.84923172,31
25.177721024,32
24.679481506,33
24.473174572,34
25.2636199,35
26.089468956,36
26.228897095,37
25.992835045,38
25.991456509,39
25.652540207,40
19.617433548,41
19.450623989,42
17.485046387,43
18.99431324,44
15.643690586,45
20.589452744,46
24.389504433,47
25.159978867,48
24.587168694,49
24.552841187,50
24.608107567,51
24.432197094,52
23.952067375,53
24.11908865,54
25.030513763,55
25.599678516,56
25.430643559,57
24.805598736,58
24.889127254,59
24.784444809,60
19.783138752,61
18.599273682,62
17.483141422,63
19.382078171,64
18.763755322,65
22.316313744,66
24.626157761,67
25.722940445,68
25.121193409,69
24.715771198,70
24.480319023,71
25.238487244,72
25.366279602,73
24.992594719,74
24.575488567,75
24.433681965,76
24.949402332,77
24.56333828,78
24.243870258,79
24.863540649,80
19.842353344,81
18.168607712,82
17.336740971,83
18.976932526,84
16.947536469,85
22.228626728,86
25.301523209,87
25.266031265,88
24.817553043,89
24.238120079,90
24.376151562,91
24.816189289,92
24.664428711,93
24.604157448,94
24.711890697,95
24.164256573,96
24.126414776,97
24.368659973,98
24.470715523,99
23.970980644,100
20.221013546,101
18.731346607,102
16.776778698,103
18.118588924,104
15.365980625,105
21.399889469,106
24.785491467,107
24.777299881,108
24.509504318,109
23.899357319,110
24.157531738,111
24.692369938,112
24.537718773,113
24.504766464,114
24.650456429,115
24.183354855,116
24.149867535,117
24.973195076,118
25.268198013,119
23.805501938,120
20.387917042,121
18.906035423,122
16.099289656,123
18.038594246,124
14.832067013,125
20.688942909,126
23.699933052,127
23.915037632,128
23.885893822,129
23.089559555,130
23.248583794,131
24.253845215,132
24.357923508,133
24.154998302,134
23.820616722,135
24.190505981,136
24.776696205,137
25.891585827,138
26.18085289,139
24.765495777,140
20.06148386,141
18.9638834,142
15.622671127,143
18.810445786,144
16.421313047,145
20.784343719,146
22.630236626,147
21.5935812,148
20.718513489,149
19.986440182,150
19.344875336,151
19.367390156,152
19.37383461,153
19.494076729,154
21.437561512,155
23.36239481,156
24.935190201,157
25.376871586,158
25.54389143,159
25.983843327,160
19.7632761,161
19.671852589,162
15.600326061,163
18.474839687,164
17.25931406,165
19.92310667,166
21.195542812,167
20.156942844,168
18.527946949,169
16.857812881,170
15.980259418,171
16.615125656,172
17.695710182,173
19.16138649,174
22.029074192,175
24.840473652,176
26.404545307,177
26.616090298,178
26.597490788,179
27.050227165,180
19.864889622,181
19.882590294,182
15.78132844,183
17.694761276,184
16.655251026,185
19.51470232,186
21.220442772,187
20.790971756,188
19.209446907,189
17.139797926,190
16.310128689,191
17.751761436,192
19.748714447,193
21.481632233,194
23.64411974,195
25.939156055,196
27.200643063,197
27.456512928,198
27.260388851,199
27.304570198,200
19.784114838,201
20.143017769,202
16.150482655,203
16.850279808,204
14.266525745,205
18.778320312,206
22.335517883,207
22.314048767,208
21.19747448,209
20.397767067,210
19.540765762,211
19.542697906,212
20.650028229,213
22.169927597,214
23.821225166,215
24.820631027,216
24.972966194,217
25.317008018,218
25.598277092,219
25.598332405,220
19.503489971,221
20.754720688,222
16.912690163,223
16.225326538,224
13.857082129,225
19.482213974,226
24.128806591,227
24.863242149,228
24.127670765,229
23.524407864,230
22.94975853,231
22.766615868,232
22.957373619,233
23.759548664,234
24.575176716,235
24.789720535,236
24.379310131,237
24.622437,238
24.748846054,239
24.439672947,240
19.665453911,241
20.91254282,242
17.79344368,243
16.793537617,244
15.90920043,245
21.147664547,246
25.923262119,247
27.558564663,248
27.000308514,249
26.085800648,250
25.97866106,251
26.277274132,252
25.929430962,253
25.748280525,254
25.815840721,255
26.012865067,256
26.971092224,257
27.121210098,258
26.156807899,259
25.61794281,260
20.169136047,261
19.848640442,262
17.747896671,263
18.8331604,264
16.420281172,265
22.566705704,266
25.430543423,267
25.703280926,268
25.22386837,269
25.283781052,270
25.257848263,271
24.947926998,272
25.00505352,273
25.40465498,274
25.226053238,275
24.713811398,276
25.342224598,277
25.925330639,278
25.596960545,279
25.430138588,280
19.937087059,281
18.674478054,282
16.715294838,283
18.997592926,284
16.209157944,285
21.645436764,286
24.117721558,287
23.48974371,288
23.063311577,289
23.799175739,290
24.112160206,291
23.767951488,292
23.763558388,293
