Extract_GALa2_dry_vol,Plot
176.450725555,1
174.343204498,2
169.097595215,3
178.036678314,4
185.994934082,5
193.967208862,6
209.958610535,7
217.224788666,8
217.891933441,9
218.262737274,10
221.955986023,11
225.210102081,12
223.893203735,13
221.238201141,14
221.134292603,15
225.162242889,16
228.12947464,17
228.712654114,18
227.778503418,19
226.547748566,20
182.364589691,21
178.609546661,22
173.035953522,23
183.671581268,24
191.973056793,25
198.219100952,26
211.74174881,27
219.477581024,28
219.053329468,29
219.053482056,30
221.147647858,31
221.809780121,32
220.891555786,33
220.253288269,34
223.972705841,35
228.436882019,36
229.76486969,37
229.593166351,38
229.092536926,39
228.04366684,40
187.00353241,41
181.444114685,42
178.210292816,43
192.339576721,44
199.159130096,45
201.416934967,46
215.781650543,47
222.604442596,48
221.343006134,49
219.430038452,50
219.668476105,51
219.890773773,52
219.395240784,53
220.03377533,54
224.189304352,55
227.526927948,56
227.577186584,57
226.055908203,58
225.544837952,59
224.160758972,60
188.352272034,61
180.122272491,62
180.771198273,63
199.868614197,64
204.007484436,65
209.657756805,66
222.16368866,67
226.192909241,68
224.069568634,69
221.105770111,70
221.212444305,71
222.67508316,72
222.825767517,73
221.714820862,74
222.245704651,75
221.83347702,76
220.745948792,77
220.289474487,78
220.42118454,79
218.96157074,80
189.093505859,81
178.744102478,82
175.217525482,83
185.942581177,84
199.31212616,85
216.849555969,86
227.914585114,87
231.433753967,88
228.705188751,89
225.350662231,90
225.583049774,91
227.662067413,92
227.862937927,93
228.187278748,94
227.99464798,95
226.25201416,96
224.989784241,97
226.337371826,98
226.348468781,99
222.566360474,100
190.683612823,101
179.432781219,102
169.477928162,103
182.541069031,104
206.01468277,105
223.167240143,106
228.995361328,107
229.232395172,108
226.370140076,109
223.463588715,110
224.155311584,111
226.894351959,112
227.896133423,113
228.179702759,114
228.420372009,115
227.112167358,116
227.597309113,117
231.66046524,118
231.798324585,119
225.981719971,120
191.45746994,121
179.656265259,122
166.6733284,123
181.163524628,124
209.728542328,125
221.304203033,126
221.273021698,127
216.618122101,128
213.454826355,129
207.984577179,130
209.181877136,131
213.240680695,132
214.719924927,133
215.138710022,134
216.727287292,135
219.90555954,136
224.934108734,137
230.597648621,138
231.755111694,139
226.694522858,140
191.005867004,141
179.607627869,142
166.311477661,143
174.758152008,144
190.441879272,145
202.095882416,146
200.241897583,147
194.775531769,148
187.446308136,149
180.985054016,150
177.346302032,151
179.19985199,152
182.104034424,153
186.68245697,154
198.597858429,155
214.313014984,156
224.624809265,157
229.735321045,158
231.252174377,159
230.415699005,160
190.327003479,161
181.055809021,162
167.222362518,163
173.12978363,164
182.536682129,165
185.025814056,166
186.195598602,167
177.829929352,168
166.79328537,169
158.78553772,170
