Extract_elev_2020,Plot
1155.380859375,1
1154.771087646,2
1154.109619141,3
1153.88671875,4
1154.528961182,5
1154.857727051,6
1154.641540527,7
1154.546875,8
1154.360626221,9
1154.186401367,10
1153.995361328,11
1153.900238037,12
1153.882263184,13
1153.808410645,14
1153.425140381,15
1153.246948242,16
1153.069000244,17
1152.96005249,18
1152.728210449,19
1152.623962402,20
1155.371673584,21
1154.714782715,22
1154.102935791,23
1154.315307617,24
1154.80178833,25
1155.461578369,26
1155.571746826,27
1155.336303711,28
1155.174591064,29
1155.112548828,30
1154.749420166,31
1154.747192383,32
1154.592773438,33
1154.360168457,34
1154.126983643,35
1153.885650635,36
1153.722076416,37
1153.423583984,38
1153.259246826,39
1153.013977051,40
1155.35647583,41
1154.754119873,42
1154.323120117,43
1155.214935303,44
1156.354797363,45
1157.217681885,46
1157.160064697,47
1156.96685791,48
1156.817108154,49
1156.653289795,50
1156.367980957,51
1156.328857422,52
1156.213439941,53
1155.998657227,54
1155.754302979,55
1155.386566162,56
1155.040222168,57
1154.624969482,58
1154.350524902,59
1153.974334717,60
1155.337371826,61
1154.660583496,62
1154.3465271,63
1155.230773926,64
1157.028656006,65
1158.125549316,66
1158.028106689,67
1157.870300293,68
1157.708679199,69
1157.526885986,70
1157.398986816,71
1157.217987061,72
1157.06842041,73
1156.874694824,74
1156.554779053,75
1156.197052002,76
1155.789642334,77
1155.350006104,78
1154.896118164,79
1154.433135986,80
1155.376556396,81
1154.653930664,82
1154.345397949,83
1155.354248047,84
1156.837097168,85
1157.901092529,86
1158.042633057,87
1157.866821289,88
1157.72164917,89
1157.565185547,90
1157.410980225,91
1157.217315674,92
1157.06048584,93
1156.848266602,94
1156.502929688,95
1156.102325439,96
1155.67868042,97
1155.216949463,98
1154.689025879,99
1154.231292725,100
1155.429382324,101
1154.742523193,102
1154.393005371,103
1155.281860352,104
1156.774627686,105
1158.128356934,106
1158.206573486,107
1158.064941406,108
1157.915863037,109
1157.726013184,110
1157.547271729,111
1157.34664917,112
1157.154663086,113
1156.970214844,114
1156.566253662,115
1156.155670166,116
1155.68927002,117
1155.180877686,118
1154.691711426,119
1154.200256348,120
1155.521789551,121
1154.851593018,122
1154.422363281,123
1155.322265625,124
1157.127319336,125
1158.430541992,126
1158.488952637,127
1158.391906738,128
1158.212615967,129
1158.008178711,130
1157.748901367,131
1157.537811279,132
