Extract_GALa_Crop_Flw_M,Plot
19.920970705,1
22.450733609,2
23.672588772,3
23.720400068,4
24.380666945,5
24.820508321,6
23.563696543,7
22.460312737,8
23.461416245,9
22.856642829,10
22.524413639,11
19.541837904,12
16.373476505,13
18.239131927,14
21.319428762,15
24.076274024,16
25.431491004,17
24.676283095,18
23.8779388,19
24.019936879,20
21.888050927,21
21.982275433,22
21.528539234,23
17.69455062,24
18.972898059,25
21.008959134,26
21.123476664,27
18.364221785,28
19.258715524,29
19.120926751,30
17.559175279,31
17.03091134,32
21.696812736,33
23.843987571,34
24.990725835,35
23.831252628,36
23.335971408,37
24.722621918,38
23.607930819,39
21.813897451,40
22.401091894,41
22.529515372,42
22.096112781,43
17.86515416,44
15.089030425,45
17.64500618,46
21.988419003,47
24.751893573,48
25.858019299,49
25.466815313,50
24.380163617,51
23.707808812,52
21.466034571,53
22.259840012,54
21.146712833,55
17.43216006,56
19.139437781,57
20.108521779,58
20.06846661,59
18.016610675,60
18.692775302,61
18.885158327,62
17.298332002,63
16.846996943,64
23.228010813,65
24.203485701,66
24.864995109,67
24.18886545,68
23.074100918,69
23.846791585,70
23.372716268,71
21.687107934,72
21.583532969,73
22.052206463,74
21.128319634,75
16.28213946,76
14.462692579,77
17.543890847,78
22.663691627,79
25.420002831,80
26.124908235,81
25.787621604,82
23.985890706,83
22.861763954,84
21.07019594,85
21.537732442,86
20.959093306,87
18.058348762,88
19.115486145,89
19.223089536,90
19.043124305,91
17.435122384,92
18.545580334,93
18.85356564,94
17.07633739,95
16.412146674,96
23.842931112,97
24.429637909,98
24.497689565,99
24.395855586,100
23.432750702,101
23.07228597,102
22.78127861,103
21.357067744,104
21.517047564,105
21.937871615,106
20.487401962,107
15.299224218,108
14.299293041,109
18.565910021,110
23.450170199,111
25.574482918,112
26.097685814,113
25.442217191,114
22.949712753,115
21.68243885,116
20.503082911,117
20.819092433,118
21.451628049,119
19.046826363,120
18.477835337,121
18.666615963,122
18.63594087,123
16.9845438,124
18.823184013,125
19.107892354,126
16.829952717,127
15.427575429,128
24.338932885,129
25.058081945,130
24.584131453,131
24.698389477,132
23.80833753,133
22.790985107,134
22.220499039,135
21.027128008,136
21.683854209,137
22.033514235,138
20.625792185,139
15.864190208,140
14.927934964,141
20.717984729,142
25.001072142,143
25.808507707,144
25.642889235,145
24.423973931,146
22.176572588,147
21.14040343,148
20.406227112,149
20.97110388,150
21.978613959,151
19.270396762,152
17.738205804,153
18.486830711,154
18.784976747,155
17.320476108,156
19.479620192,157
19.178158018,158
16.183216307,159
13.899191856,160
24.728678809,161
25.464652167,162
24.833379745,163
24.998934004,164
23.802338494,165
22.69980367,166
22.214856148,167
21.395733939,168
22.332682716,169
22.661852095,170
22.144293679,171
19.632533603,172
17.825664202,173
23.16830953,174
26.771472931,175
25.949801127,176
24.989788691,177
23.375166999,178
22.7880675,179
22.050467809,180
21.725284153,181
21.672208786,182
21.670676549,183
18.877864202,184
17.150408215,185
18.409241676,186
19.82888688,187
18.531009462,188
19.696499295,189
18.960659663,190
15.076885435,191
12.323100196,192
24.626769808,193
24.953925239,194
25.026898914,195
25.046663072,196
23.522652944,197
22.57520379,198
22.859044393,199
22.089900335,200
22.775729285,201
23.597777896,202
23.961383184,203
22.940998289,204
21.708367348,205
24.944788403,206
27.382869509,207
25.583114412,208
24.474021276,209
23.263028887,210
23.712762833,211
23.329284986,212
23.166868634,213
22.299342261,214
21.187190586,215
18.703969744,216
16.796212514,217
18.514252345,218
21.677237193,219
19.902732213,220
19.059235255,221
18.758935293,222
14.370815171,223
11.643341594,224
24.449930615,225
23.873317507,226
24.40935262,227
24.466497209,228
23.099769804,229
22.31340705,230
22.937012355,231
21.923452801,232
22.770535999,233
24.083927155,234
24.927115122,235
24.086491903,236
23.37757651,237
25.328868866,238
26.667436812,239
25.049381256,240
24.427318149,241
23.867851257,242
23.903984918,243
23.912786802,244
23.431677712,245
22.267593172,246
21.094800737,247
19.426020092,248
16.721049839,249
18.273697535,250
22.443558587,251
20.916085985,252
18.953048706,253
18.418530358,254
13.9088743,255
11.427099864,256
24.392937978,257
23.117235184,258
23.321461995,259
23.706339094,260
22.677486844,261
22.748740302,262
23.386980057,263
22.799733268,264
23.564666324,265
24.761298709,266
25.318726858,267
23.905933168,268
23.529250781,269
24.991108788,270
25.573905945,271
24.665209876,272
24.317720625,273
23.257758458,274
23.520885891,275
24.28563118,276
23.1250462,277
22.318042967,278
20.631656223,279
20.545468012,280
16.854249318,281
17.000686328,282
20.54863082,283
20.069036484,284
18.578483158,285
17.832269669,286
13.273448414,287
10.997776349,288
24.330750148,289
23.011181513,290
23.170753691,291
24.270951377,292
23.450178994,293
24.417859607,294
24.389057477,295
24.200903998,296
24.689552943,297
25.812455707,298
25.612642076,299
24.075991313,300
23.788661003,301
24.712012397,302
24.78005049,303
23.87853029,304
23.597369088,305
22.129851023,306
22.982211643,307
24.135739009,308
22.202393426,309
22.062448925,310
19.734884262,311
19.63072035,312
16.550736215,313
16.316511472,314
18.275657866,315
18.065863927,316
17.415670607,317
16.810065587,318
12.731374423,319
10.918599553,320
24.3451732,321
23.717954636,322
23.88523229,323
25.589457194,324
24.844987869,325
25.837081591,326
25.219632626,327
24.817662875,328
25.527048111,329
26.483911196,330
25.865317663,331
24.783688863,332
24.069588661,333
24.393151601,334
24.631505966,335
23.525726954,336
22.973730405,337
21.978104591,338
22.218447685,339
23.069705486,340
21.225783348,341
20.63842996,342
18.885297457,343
18.479000092,344
16.321651459,345
16.361954212,346
17.811462402,347
17.233635902,348
16.664988518,349
15.654891014,350
12.06287845,351
11.129725138,352
24.101752387,353
24.556382921,354
24.528822157,355
26.50431527,356
26.030177646,357
26.795501073,358
25.667694728,359
25.154432085,360
26.22743988,361
26.627668169,362
25.689222548,363
25.149619844,364
24.189845403,365
23.933381187,366
24.559007221,367
23.776915232,368
22.4842684,369
21.376394696,370
21.001798842,371
21.644866943,372
20.825410631,373
18.852658378,374
18.22770479,375
17.579510371,376
16.378662533,377
16.938952446,378
18.74831793,379
17.311072244,380
16.619218191,381
15.253872977,382
11.692856047,383
11.740902583,384
24.410487917,385
24.923056285,386
25.294050005,387
26.511503643,388
26.694312414,389
27.046999613,390
25.809794426,391
25.560732736,392
26.933527629,393
26.412858115,394
25.402360704,395
25.412892236,396
24.470543543,397
23.65544298,398
24.210514492,399
23.884651396,400
21.280158997,401
18.742615382,402
19.07204077,403
20.793123563,404
21.898546007,405
19.128488965,406
18.603441238,407
16.641797596,408
16.343736225,409
17.586396535,410
20.095961677,411
18.204939736,412
17.370542102,413
15.825907813,414
12.153233528,415
13.195077154,416
25.101704703,417
25.510893504,418
25.863625632,419
25.931457308,420
26.750330607,421
26.409801059,422
25.906957944,423
26.267415577,424
27.247534434,425
25.924453311,426
25.419407739,427
25.276701397,428
24.480699539,429
23.709249073,430
23.686907027,431
23.248211119,432
19.874290254,433
16.166149563,434
16.88419946,435
20.705145518,436
23.563594818,437
21.964993159,438
20.476004071,439
16.84919548,440
16.239393552,441
17.949650447,442
20.431961907,443
19.281047397,444
18.65997929,445
17.049662484,446
13.297474967,447
14.604188919,448
25.443406423,449
25.667324914,450
25.861942291,451
25.729433272,452
26.137051476,453
25.617900001,454
25.812189102,455
26.678713904,456
26.760983997,457
26.14439159,458
25.575294495,459
24.782919142,460
24.449305216,461
24.202649646,462
23.586207284,463
22.57054668,464
19.685517417,465
15.846527629,466
15.762495889,467
19.882034302,468
23.470493317,469
23.417356067,470
22.596873389,471
17.831220203,472
16.274765862,473
17.767713865,474
20.030131234,475
20.072300805,476
19.376089096,477
17.768343608,478
13.839269002,479
15.897949749,480
26.231811735,481
25.412449095,482
25.85829756,483
26.106577131,484
25.271369298,485
25.040339576,486
25.335767746,487
26.195983463,488
26.484987471,489
27.255001068,490
26.190946367,491
24.41466713,492
24.149984996,493
24.495031781,494
24.149588691,495
23.065836377,496
21.280792872,497
17.529207124,498
16.03663275,499
18.137546857,500
20.514942381,501
22.703354941,502
23.654983944,503
18.948669222,504
16.487002479,505
16.714289347,506
19.786554548,507
20.56715499,508
19.510543823,509
17.528152466,510
13.885639615,511
17.425078922,512
27.051733971,513
25.040145556,514
25.606805484,515
26.367616336,516
24.96487999,517
25.522244453,518
25.256876945,519
25.694166501,520
26.275272369,521
27.69906203,522
26.249143283,523
23.816109022,524
23.621496201,525
24.510357221,526
24.794300397,527
24.125715256,528
22.784168561,529
19.436452866,530
16.921070417,531
17.512819767,532
18.174686114,533
21.614613533,534
23.794118245,535
19.902478218,536
17.104088147,537
15.538966417,538
19.498063723,539
20.623852412,540
