Extract_GALa_Moi,Plot
15.360041936,1
15.298503982,2
15.492525419,3
15.512379434,4
15.601469146,5
15.560811679,6
15.57673947,7
15.439823574,8
15.166804526,9
14.982887904,10
14.842263646,11
14.650318782,12
14.558323542,13
14.577937232,14
14.811789725,15
15.136555248,16
15.319591204,17
15.342140516,18
15.272388246,19
15.302443504,20
15.35040813,21
15.215993351,22
14.960795508,23
14.585881869,24
14.367198308,25
14.252340794,26
14.253758113,27
14.172825283,28
14.117868106,29
14.044765684,30
13.864230368,31
13.602959633,32
15.366115358,33
15.307041062,34
15.499239604,35
15.529324426,36
15.614339405,37
15.558869574,38
15.575235844,39
15.433239089,40
15.179149734,41
15.019194285,42
14.919469092,43
14.752991464,44
14.632712046,45
14.66868835,46
14.857807477,47
15.17477311,48
15.307459301,49
15.331642257,50
15.280166414,51
15.320416133,52
15.365979618,53
15.21736643,54
14.934245639,55
14.560707092,56
14.3263198,57
14.21756649,58
14.229509672,59
14.148480945,60
14.070534388,61
13.999689102,62
13.813291974,63
13.560879389,64
15.363903787,65
15.330774731,66
15.514462259,67
15.525035858,68
15.608578152,69
15.554461267,70
15.570682844,71
15.422675557,72
15.196239048,73
15.04511102,74
14.991423819,75
14.883287006,76
14.756756624,77
14.762145678,78
14.919099914,79
15.221235063,80
15.336201456,81
15.338165177,82
15.285081969,83
15.327624639,84
15.361938371,85
15.199722714,86
14.908480114,87
14.558898608,88
14.329153167,89
14.212575595,90
14.217037095,91
14.123826875,92
14.021018558,93
13.947934363,94
13.757334921,95
13.53613472,96
15.379997571,97
15.359769821,98
15.52013588,99
15.534576893,100
15.603596052,101
15.549372673,102
15.565597773,103
15.421563943,104
15.214446227,105
15.075801055,106
15.052664439,107
14.92907397,108
14.854918718,109
14.869865894,110
14.96680975,111
15.252758662,112
15.372880141,113
15.355543296,114
15.293438435,115
15.320433378,116
15.34109354,117
15.165934563,118
14.885410309,119
14.559866746,120
14.335074902,121
14.217288971,122
14.213254134,123
14.104625225,124
13.990851243,125
13.906198184,126
13.727615515,127
13.486597061,128
15.408085293,129
15.396842003,130
15.521900071,131
15.519009908,132
15.596738497,133
15.541287104,134
15.561655839,135
15.427917692,136
15.233874003,137
15.10914527,138
15.104544746,139
14.984955894,140
14.890721321,141
14.896529939,142
15.015408092,143
15.297059589,144
15.397921774,145
15.366437382,146
15.291863124,147
15.294123173,148
15.299214575,149
15.121665955,150
14.858222538,151
14.545270496,152
14.343736966,153
14.233383497,154
14.208179898,155
14.091923714,156
13.969815042,157
13.896596909,158
13.689786699,159
13.480008973,160
15.459494485,161
15.438445409,162
15.539275805,163
15.515890757,164
15.577645302,165
15.544687165,166
15.556694349,167
15.423174752,168
15.254281362,169
15.136210759,170
15.148267428,171
15.046938366,172
14.948605378,173
14.942459954,174
15.056975365,175
15.333421071,176
15.410905732,177
15.365845044,178
15.279010561,179
15.244603634,180
15.231171078,181
15.063648966,182
14.829501258,183
14.54086611,184
14.341281149,185
14.231701215,186
14.198016591,187
14.068296962,188
13.958352089,189
13.884176996,190
13.697963927,191
13.467327224,192
15.524719874,193
15.498420503,194
15.583551831,195
15.538642248,196
15.599461555,197
15.559852282,198
15.566568851,199
15.422060755,200
15.266745038,201
15.136830118,202
15.139636676,203
15.011226124,204
14.961932977,205
14.97509257,206
15.075847096,207
15.343795882,208
15.412125376,209
15.336159494,210
15.2314291,211
15.173659325,212
15.16202418,213
15.019818624,214
14.817923122,215
14.536236869,216
14.343014611,217
14.222663403,218
14.174038251,219
14.051708327,220
13.955952538,221
13.893453068,222
13.716261758,223
13.477790515,224
15.588446935,225
15.576612261,226
15.649531682,227
15.567276637,228
15.61957815,229
15.583115154,230
15.593080839,231
15.432550854,232
15.262102127,233
15.119222535,234
15.113188956,235
14.979694049,236
14.969899495,237
14.981769138,238
15.094056129,239
15.340752284,240
15.384245449,241
15.293904199,242
15.155657768,243
15.106008689,244
15.097969903,245
14.995327738,246
14.809690899,247
14.542942153,248
14.340475824,249
14.202176889,250
14.141566488,251
14.042932828,252
13.96060827,253
13.902477264,254
13.728510009,255
13.496810913,256
15.661397192,257
15.649773916,258
15.688039038,259
15.60336664,260
15.63776758,261
15.61195151,262
15.604050636,263
15.449408213,264
15.269516733,265
15.102931341,266
15.103117095,267
14.97850577,268
14.965312799,269
15.007255448,270
15.112099648,271
15.32463328,272
15.344802539,273
15.239939902,274
15.089805603,275
15.043932756,276
15.049243503,277
14.988669184,278
14.813447211,279
14.539243486,280
14.321887016,281
14.18627882,282
14.128955947,283
14.04411104,284
13.962631226,285
13.924031576,286
13.756731669,287
13.529527346,288
15.710181872,289
15.706246164,290
15.724504577,291
15.630957815,292
15.645819558,293
15.624261326,294
15.633676847,295
15.47130288,296
15.308834394,297
15.111975458,298
15.118315167,299
15.002160708,300
15.012517452,301
15.049500677,302
15.156142129,303
15.34502146,304
15.336730109,305
15.213361634,306
15.061885728,307
14.999801159,308
15.014825079,309
14.98614947,310
14.821111043,311
14.545904477,312
14.314332008,313
14.162104289,314
14.12446785,315
14.048565441,316
13.966489792,317
13.938652039,318
13.783091545,319
13.586176448,320
15.732539495,321
15.728312651,322
15.742089272,323
15.643031597,324
15.652024269,325
