Plot,Dry_yld_22
1,14553.101432292
2,14482.922607422
3,14546.502387153
4,14576.741731771
5,14495.360134549
6,14322.673936632
7,14101.112982856
8,14087.659960937
9,14271.888834635
10,14259.071506076
11,13972.500895182
12,13831.165104167
13,14116.60164388
14,14475.63164605
15,14587.605251736
16,14642.074772135
17,14797.994222005
18,14924.944200304
19,14784.896620009
20,14495.891438802
21,14264.157633464
22,14381.860731337
23,14716.466769748
24,14958.883561198
25,15011.165581597
26,14827.881130642
27,14620.40475803
28,14423.111783854
29,14197.482910156
30,14018.472384983
31,14195.587537977
32,14562.695345052
33,14531.44780816
34,14609.011691623
35,14629.905826823
36,14483.559027778
37,14267.590359158
38,14069.067355686
39,13972.003027344
40,14050.464138455
41,14060.881673177
42,13931.528564453
43,13930.053938802
44,14144.898790148
45,14321.303955078
46,14395.42336697
47,14540.295703125
48,14725.164794922
49,14773.107259115
50,14650.00398763
51,14473.459244792
52,14307.017930773
53,14314.796196832
54,14486.283501519
55,14640.037467448
56,14821.270453559
57,14852.820366753
58,14708.417561849
59,14562.541438802
60,14301.889350043
61,14035.10538737
62,14143.471842448
63,14657.736621094
64,14631.935438368
65,14633.65608724
66,14564.336002604
67,14391.845350477
68,14220.982421875
69,14093.351291233
70,13938.481705729
71,13858.048719618
72,13835.113091363
73,13842.648111979
74,13988.586165365
75,14162.700168186
76,14221.497558594
77,14302.152479384
78,14460.027864583
79,14563.264648438
80,14512.158121745
81,14441.607340495
82,14381.782226562
83,14328.628282335
84,14343.606553819
85,14407.69007704
86,14508.527832031
87,14708.090847439
88,14865.05726454
89,14850.614257812
90,14761.106705729
91,14526.975965712
92,14266.174641927
93,14253.400417752
94,14797.793710938
95,14768.307714844
96,14645.540234375
97,14451.28875
98,14267.093554688
99,14160.142480469
100,14113.38922526
101,13979.214335937
102,13848.72360026
103,13780.64358724
104,13799.478320313
105,14025.930546875
106,14218.687825521
107,14287.588085938
108,14374.994954427
109,14519.751679688
110,14512.049804688
111,14355.707617187
112,14327.054817708
113,14332.517382813
114,14368.455240885
115,14462.47890625
116,14534.683919271
117,14619.267929688
118,14743.393522135
119,14918.800390625
120,14971.166992187
121,14928.56203125
122,14746.781184896
123,14464.379264323
124,14315.720638021
125,14854.27438151
126,14797.943684896
127,14600.078613281
128,14366.280859375
129,14169.565022786
130,14096.561523437
131,14109.602864583
132,14039.861588542
133,13952.435058594
134,13881.665825738
135,13856.147840712
136,14039.726692708
137,14288.118543837
138,14436.584147135
139,14520.324354384
140,14620.842415365
141,14562.927680122
142,14376.184027778
143,14359.207356771
144,14396.784960938
145,14493.648328993
146,14615.460015191
147,14709.904866536
148,14754.603613281
149,14823.834798177
150,14976.122667101
151,15028.95694987
152,15039.423567708
153,14890.760118273
154,14550.685167101
155,14225.75773112
156,14716.525032552
157,14649.662679036
158,14465.155653212
159,14262.48968099
160,14116.433946398
161,14055.277099609
162,14042.220567491
163,14040.534667969
164,14041.004692925
165,13986.365234375
166,13945.159206814
167,14062.152408854
168,14304.389675564
169,14493.696614583
170,14570.018310547
171,14617.07438151
172,14569.752468533
173,14513.379367405
174,14552.503228082
175,14607.533170573
176,14657.977593316
177,14739.587402344
178,14779.688585069
179,14748.237402344
180,14801.234754774
181,14905.017144097
182,14983.085096571
183,15029.909798177
184,14875.696940104
185,14448.816921658
186,13984.06640625
187,14508.071907552
188,14400.92171224
189,14281.69797092
190,14204.652994792
191,14100.048692491
192,14039.862738715
193,13976.633816189
194,13960.466829427
195,13988.851182726
196,14028.458713108
197,14080.625515408
198,14157.478125
199,14295.154893663
200,14403.82280816
201,14452.636962891
202,14467.9125
203,14484.766818576
204,14618.280381944
205,14804.802300347
206,14846.188053385
207,14800.120415582
208,14798.743489583
209,14742.679877387
210,14687.467545573
211,14723.310682509
212,14788.267822266
213,14878.599690755
214,14933.907519531
215,14724.911214193
216,14205.90766059
217,13674.854600694
218,14399.037148438
219,14263.868326823
220,14190.79124349
221,14176.925820313
222,14109.31953125
223,14052.336751302
224,13960.367610677
225,13867.46796875
226,13883.232226563
227,14041.304101562
228,14236.542447917
229,14320.133984375
230,14334.744596354
231,14328.438606771
232,14343.908723958
233,14337.118398438
234,14448.956347656
235,14698.86110026
236,14940.44280599
237,14975.12625
238,14917.097298177
239,14832.569466146
240,14722.580240885
241,14707.674023437
242,14737.925553385
243,14785.180013021
244,14839.444108073
245,14849.447382813
246,14570.610286458
247,13954.106738281
248,13493.02639974
249,14307.939127604
250,14215.256239149
251,14172.627848307
252,14115.589778646
253,14066.748453776
