,Longitude,Latitude,Dataset,Obj. Id,Swth Wdth(ft),Distance(ft),Duration(s),Track(deg),Elevation(ft),Pass Num,Moisture(%),Crop Flw(M)(lb/s),Speed(mph),Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date,Plot
0,-93.5296629,44.0767983,harvest_1_Corn_2022_10_14_000,1,2.986,2.067,1.0,265.0,1141.1,2,22.03,1.17,2.798,75.25,8262.3,7623.8,147.54,136.14,0.51,10/14/2022,-1
1,-93.5296708,44.0767976,harvest_1_Corn_2022_10_14_000,2,14.99,2.1,1.0,264.0,1141.4,2,22.03,2.809,1.43,180.59,3886.9,3586.5,69.41,64.04,2.602,10/14/2022,-1
2,-93.5296802,44.0767972,harvest_1_Corn_2022_10_14_000,3,14.99,2.461,1.0,267.0,1141.5,2,22.03,5.69,0.656,365.76,6717.7,6198.6,119.96,110.69,3.049,10/14/2022,-1
3,-93.5296917,44.076797,harvest_1_Corn_2022_10_14_000,4,14.99,3.018,1.0,269.0,1141.7,2,22.03,8.967,2.166,576.44,8630.9,7964.0,154.12,142.21,3.74,10/14/2022,-1
4,-93.5297063,44.0767969,harvest_1_Corn_2022_10_14_000,5,14.99,3.839,1.0,270.0,1141.5,2,21.7,11.56,2.842,743.29,8751.1,8109.4,156.27,144.81,4.756,10/14/2022,-1
5,-93.5297224,44.0767967,harvest_1_Corn_2022_10_14_000,6,14.99,4.199,1.0,270.0,1141.3,2,21.0,13.77,3.02,885.28,9527.0,8907.2,170.13,159.06,5.204,10/14/2022,-1
6,-93.5297395,44.0767964,harvest_1_Corn_2022_10_14_000,7,14.99,4.495,1.0,269.0,1141.1,2,20.97,15.69,3.304,1008.9,10145.0,9488.4,181.15,169.43,5.57,10/14/2022,-1
7,-93.529757,44.0767964,harvest_1_Corn_2022_10_14_000,8,14.99,4.593,1.0,271.0,1141.0,2,21.0,17.5,3.482,1124.8,11067.0,10347.0,197.62,184.77,5.692,10/14/2022,-1
8,-93.5297748,44.0767963,harvest_1_Corn_2022_10_14_000,9,14.99,4.659,1.0,271.0,1140.7,2,20.91,18.71,3.516,1202.6,11666.0,10919.0,208.32,194.98,5.773,10/14/2022,-1
9,-93.5297925,44.0767961,harvest_1_Corn_2022_10_14_000,10,14.99,4.659,1.0,271.0,1141.1,2,20.85,19.13,3.506,1230.1,11933.0,11178.0,213.08,199.6,5.773,10/14/2022,-1
10,-93.5298107,44.0767958,harvest_1_Corn_2022_10_14_000,11,14.99,4.79,1.0,270.0,1140.7,2,20.76,18.53,3.49,1191.5,11242.0,10542.0,200.74,188.25,5.935,10/14/2022,-1
11,-93.5298288,44.0767957,harvest_1_Corn_2022_10_14_000,12,14.99,4.724,1.0,270.0,1140.7,2,20.67,17.39,3.464,1118.2,10697.0,10043.0,191.01,179.33,5.854,10/14/2022,-1
12,-93.5298467,44.0767956,harvest_1_Corn_2022_10_14_000,13,14.99,4.692,1.0,270.0,1140.7,2,20.62,16.59,3.496,1066.5,10274.0,9651.6,183.46,172.35,5.813,10/14/2022,-1
13,-93.5298643,44.0767956,harvest_1_Corn_2022_10_14_000,14,14.99,4.626,1.0,270.0,1140.7,2,20.61,16.66,3.114,1071.1,10464.0,9831.2,186.86,175.56,5.732,10/14/2022,-1
14,-93.5298821,44.076796,harvest_1_Corn_2022_10_14_000,15,14.99,4.659,1.0,273.0,1140.7,2,20.61,16.79,3.002,1079.6,10473.0,9839.5,187.02,175.71,5.773,10/14/2022,-1
15,-93.5299001,44.0767963,harvest_1_Corn_2022_10_14_000,16,14.99,4.724,1.0,272.0,1140.7,2,20.64,15.91,2.75,1022.7,9782.9,9188.3,174.69,164.08,5.854,10/14/2022,-1
16,-93.5299172,44.0767961,harvest_1_Corn_2022_10_14_000,17,14.99,4.495,1.0,270.0,1140.7,2,20.71,13.75,2.462,883.97,8888.0,8340.4,158.71,148.94,5.57,10/14/2022,-1
17,-93.5299288,44.0767959,harvest_1_Corn_2022_10_14_000,18,14.99,2.625,1.0,270.0,1140.7,2,20.76,11.0,2.582,707.3,12179.0,11421.0,217.48,203.95,3.252,10/14/2022,-1
18,-93.5296849,44.0768379,harvest_1_Corn_2022_10_14_000,19,8.99,2.592,1.0,268.0,1142.7,3,20.68,2.483,2.278,159.65,4643.0,4358.4,82.91,77.83,1.926,10/14/2022,-1
19,-93.529696,44.0768376,harvest_1_Corn_2022_10_14_000,20,14.99,2.92,1.0,268.0,1142.7,3,20.97,5.567,1.218,357.91,5539.5,5180.7,98.92,92.51,3.618,10/14/2022,-1
20,-93.5297071,44.0768374,harvest_1_Corn_2022_10_14_000,21,14.99,2.92,1.0,269.0,1142.5,3,21.19,9.394,0.678,603.92,9347.2,8717.6,166.91,155.67,3.618,10/14/2022,-1
21,-93.529719,44.0768373,harvest_1_Corn_2022_10_14_000,22,14.99,3.15,1.0,272.0,1142.3,3,21.28,12.43,1.618,798.91,11463.0,10679.0,204.7,190.7,3.903,10/14/2022,-1
22,-93.5297327,44.0768378,harvest_1_Corn_2022_10_14_000,23,14.99,3.576,1.0,274.0,1141.9,3,21.26,14.73,2.066,946.78,11965.0,11150.0,213.66,199.1,4.431,10/14/2022,1147
23,-93.5297473,44.0768382,harvest_1_Corn_2022_10_14_000,24,14.99,3.839,1.0,273.0,1141.7,3,21.03,16.26,2.444,1045.6,12310.0,11504.0,219.82,205.43,4.756,10/14/2022,1147
24,-93.5297628,44.0768383,harvest_1_Corn_2022_10_14_000,25,14.99,4.068,1.0,272.0,1141.7,3,20.84,17.28,2.428,1111.0,12342.0,11562.0,220.39,206.47,5.041,10/14/2022,1147
25,-93.5297782,44.0768383,harvest_1_Corn_2022_10_14_000,26,14.99,4.035,1.0,270.0,1141.7,3,20.69,17.94,2.442,1153.5,12919.0,12125.0,230.69,216.52,5.0,10/14/2022,1116
26,-93.5297938,44.0768381,harvest_1_Corn_2022_10_14_000,27,14.99,4.068,1.0,270.0,1141.7,3,20.58,18.46,2.514,1186.9,13185.0,12392.0,235.45,221.29,5.041,10/14/2022,1116
27,-93.5298101,44.0768382,harvest_1_Corn_2022_10_14_000,28,14.99,4.298,1.0,271.0,1141.7,3,20.51,18.75,2.61,1205.2,12673.0,11921.0,226.31,212.88,5.326,10/14/2022,1085
28,-93.5298277,44.0768381,harvest_1_Corn_2022_10_14_000,29,14.99,4.626,1.0,271.0,1141.4,3,20.42,18.58,2.63,1194.1,11666.0,10986.0,208.32,196.18,5.732,10/14/2022,1085
29,-93.5298458,44.0768379,harvest_1_Corn_2022_10_14_000,30,14.99,4.757,1.0,269.0,1141.4,3,20.36,18.04,2.624,1159.4,11015.0,10381.0,196.69,185.38,5.895,10/14/2022,1054
30,-93.529864,44.076838,harvest_1_Corn_2022_10_14_000,31,14.99,4.79,1.0,271.0,1141.4,3,20.3,17.72,2.594,1139.1,10748.0,10137.0,191.92,181.02,5.935,10/14/2022,1054
31,-93.5298824,44.0768379,harvest_1_Corn_2022_10_14_000,32,14.99,4.823,1.0,270.0,1141.3,3,20.23,17.75,2.626,1141.1,10693.0,10094.0,190.95,180.26,5.976,10/14/2022,1023
32,-93.5299008,44.0768377,harvest_1_Corn_2022_10_14_000,33,14.99,4.823,1.0,270.0,1141.1,3,20.18,17.47,2.654,1122.8,10521.0,9938.3,187.88,177.47,5.976,10/14/2022,1023
33,-93.5299177,44.0768375,harvest_1_Corn_2022_10_14_000,34,14.99,4.462,1.0,271.0,1141.1,3,20.21,15.9,2.596,1022.0,10352.0,9774.5,184.85,174.54,5.529,10/14/2022,1023
34,-93.5299322,44.0768377,harvest_1_Corn_2022_10_14_000,35,14.99,3.806,1.0,272.0,1141.2,3,20.29,13.07,2.298,840.13,9976.5,9411.2,178.15,168.06,4.716,10/14/2022,992
35,-93.5299417,44.0768377,harvest_1_Corn_2022_10_14_000,36,14.99,2.231,1.0,278.0,1141.3,3,20.33,9.873,2.07,634.68,12857.0,12121.0,229.59,216.45,2.764,10/14/2022,992
36,-93.5296568,44.076876,harvest_1_Corn_2022_10_14_000,37,8.99,2.822,1.0,308.0,1142.9,4,20.27,2.087,3.072,134.13,3583.4,3381.0,63.99,60.37,2.096,10/14/2022,-1
37,-93.529669,44.076877,harvest_1_Corn_2022_10_14_000,38,14.99,3.215,1.0,284.0,1143.0,4,20.51,4.936,2.218,317.34,4460.5,4196.1,79.65,74.93,3.984,10/14/2022,-1
38,-93.5296829,44.0768779,harvest_1_Corn_2022_10_14_000,39,14.99,3.642,1.0,277.0,1143.4,4,20.75,8.763,0.624,563.36,6991.2,6556.5,124.84,117.08,4.513,10/14/2022,-1
39,-93.5296995,44.0768785,harvest_1_Corn_2022_10_14_000,40,14.99,4.364,1.0,275.0,1143.2,4,20.87,12.02,1.316,772.73,8003.3,7494.3,142.92,133.83,5.407,10/14/2022,-1
40,-93.5297175,44.0768788,harvest_1_Corn_2022_10_14_000,41,14.99,4.757,1.0,273.0,1142.9,4,20.92,14.93,2.354,959.87,9118.7,8533.6,162.83,152.39,5.895,10/14/2022,-1
41,-93.5297367,44.076879,harvest_1_Corn_2022_10_14_000,42,14.99,5.02,1.0,271.0,1142.4,4,20.88,17.4,2.97,1118.9,10073.0,9431.5,179.88,168.42,6.22,10/14/2022,1146
