Longitude,Latitude,Field,Dataset,Product,Obj. Id,Swth Wdth(ft),Distance(ft),Duration(s),Track(deg),Elevation(ft),Area Count,Time,Y Offset(ft),Pass Num,Moisture(%),Crop Flw(M)(lb/s),Speed(mph),Crop Flw(V)(bu/h),Yld Mass(Wet)(lb/ac),Yld Mass(Dry)(lb/ac),Yld Vol(Wet)(bu/ac),Yld Vol(Dry)(bu/ac),Prod(ac/h),Date
-93.52966290,44.07679830,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,1,2.986,2.067,1.000,265.00,1141.1,On,10/14/2022,0.00,2,22.03,1.170,2.798,75.25,8262.3,7623.8,147.54,136.14,0.510,10/14/2022
-93.52967080,44.07679760,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,2,14.99,2.100,1.000,264.00,1141.4,On,10/14/2022,0.00,2,22.03,2.809,1.430,180.59,3886.9,3586.5,69.41,64.04,2.602,10/14/2022
-93.52968020,44.07679720,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,3,14.99,2.461,1.000,267.00,1141.5,On,10/14/2022,0.00,2,22.03,5.690,0.656,365.76,6717.7,6198.6,119.96,110.69,3.049,10/14/2022
-93.52969170,44.07679700,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,4,14.99,3.018,1.000,269.00,1141.7,On,10/14/2022,0.00,2,22.03,8.967,2.166,576.44,8630.9,7964.0,154.12,142.21,3.740,10/14/2022
-93.52970630,44.07679690,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,5,14.99,3.839,1.000,270.00,1141.5,On,10/14/2022,0.00,2,21.70,11.56,2.842,743.29,8751.1,8109.4,156.27,144.81,4.756,10/14/2022
-93.52972240,44.07679670,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,6,14.99,4.199,1.000,270.00,1141.3,On,10/14/2022,0.00,2,21.00,13.77,3.020,885.28,9527.0,8907.2,170.13,159.06,5.204,10/14/2022
-93.52973950,44.07679640,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,7,14.99,4.495,1.000,269.00,1141.1,On,10/14/2022,0.00,2,20.97,15.69,3.304,1008.9,10145,9488.4,181.15,169.43,5.570,10/14/2022
-93.52975700,44.07679640,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,8,14.99,4.593,1.000,271.00,1141.0,On,10/14/2022,0.00,2,21.00,17.50,3.482,1124.8,11067,10347,197.62,184.77,5.692,10/14/2022
-93.52977480,44.07679630,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,9,14.99,4.659,1.000,271.00,1140.7,On,10/14/2022,0.00,2,20.91,18.71,3.516,1202.6,11666,10919,208.32,194.98,5.773,10/14/2022
-93.52979250,44.07679610,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,10,14.99,4.659,1.000,271.00,1141.1,On,10/14/2022,0.00,2,20.85,19.13,3.506,1230.1,11933,11178,213.08,199.60,5.773,10/14/2022
-93.52981070,44.07679580,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,11,14.99,4.790,1.000,270.00,1140.7,On,10/14/2022,0.00,2,20.76,18.53,3.490,1191.5,11242,10542,200.74,188.25,5.935,10/14/2022
-93.52982880,44.07679570,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,12,14.99,4.724,1.000,270.00,1140.7,On,10/14/2022,0.00,2,20.67,17.39,3.464,1118.2,10697,10043,191.01,179.33,5.854,10/14/2022
-93.52984670,44.07679560,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,13,14.99,4.692,1.000,270.00,1140.7,On,10/14/2022,0.00,2,20.62,16.59,3.496,1066.5,10274,9651.6,183.46,172.35,5.813,10/14/2022
-93.52986430,44.07679560,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,14,14.99,4.626,1.000,270.00,1140.7,On,10/14/2022,0.00,2,20.61,16.66,3.114,1071.1,10464,9831.2,186.86,175.56,5.732,10/14/2022
-93.52988210,44.07679600,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,15,14.99,4.659,1.000,273.00,1140.7,On,10/14/2022,0.00,2,20.61,16.79,3.002,1079.6,10473,9839.5,187.02,175.71,5.773,10/14/2022
-93.52990010,44.07679630,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,16,14.99,4.724,1.000,272.00,1140.7,On,10/14/2022,0.00,2,20.64,15.91,2.750,1022.7,9782.9,9188.3,174.69,164.08,5.854,10/14/2022
-93.52991720,44.07679610,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,17,14.99,4.495,1.000,270.00,1140.7,On,10/14/2022,0.00,2,20.71,13.75,2.462,883.97,8888.0,8340.4,158.71,148.94,5.570,10/14/2022
-93.52992880,44.07679590,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,18,14.99,2.625,1.000,270.00,1140.7,On,10/14/2022,0.00,2,20.76,11.00,2.582,707.30,12179,11421,217.48,203.95,3.252,10/14/2022
-93.52968490,44.07683790,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,19,8.990,2.592,1.000,268.00,1142.7,On,10/14/2022,0.00,3,20.68,2.483,2.278,159.65,4643.0,4358.4,82.91,77.83,1.926,10/14/2022
-93.52969600,44.07683760,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,20,14.99,2.920,1.000,268.00,1142.7,On,10/14/2022,0.00,3,20.97,5.567,1.218,357.91,5539.5,5180.7,98.92,92.51,3.618,10/14/2022
-93.52970710,44.07683740,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,21,14.99,2.920,1.000,269.00,1142.5,On,10/14/2022,0.00,3,21.19,9.394,0.678,603.92,9347.2,8717.6,166.91,155.67,3.618,10/14/2022
-93.52971900,44.07683730,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,22,14.99,3.150,1.000,272.00,1142.3,On,10/14/2022,0.00,3,21.28,12.43,1.618,798.91,11463,10679,204.70,190.70,3.903,10/14/2022
-93.52973270,44.07683780,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,23,14.99,3.576,1.000,274.00,1141.9,On,10/14/2022,0.00,3,21.26,14.73,2.066,946.78,11965,11150,213.66,199.10,4.431,10/14/2022
-93.52974730,44.07683820,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,24,14.99,3.839,1.000,273.00,1141.7,On,10/14/2022,0.00,3,21.03,16.26,2.444,1045.6,12310,11504,219.82,205.43,4.756,10/14/2022
-93.52976280,44.07683830,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,25,14.99,4.068,1.000,272.00,1141.7,On,10/14/2022,0.00,3,20.84,17.28,2.428,1111.0,12342,11562,220.39,206.47,5.041,10/14/2022
-93.52977820,44.07683830,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,26,14.99,4.035,1.000,270.00,1141.7,On,10/14/2022,0.00,3,20.69,17.94,2.442,1153.5,12919,12125,230.69,216.52,5.000,10/14/2022
-93.52979380,44.07683810,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,27,14.99,4.068,1.000,270.00,1141.7,On,10/14/2022,0.00,3,20.58,18.46,2.514,1186.9,13185,12392,235.45,221.29,5.041,10/14/2022
-93.52981010,44.07683820,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,28,14.99,4.298,1.000,271.00,1141.7,On,10/14/2022,0.00,3,20.51,18.75,2.610,1205.2,12673,11921,226.31,212.88,5.326,10/14/2022
-93.52982770,44.07683810,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,29,14.99,4.626,1.000,271.00,1141.4,On,10/14/2022,0.00,3,20.42,18.58,2.630,1194.1,11666,10986,208.32,196.18,5.732,10/14/2022
-93.52984580,44.07683790,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,30,14.99,4.757,1.000,269.00,1141.4,On,10/14/2022,0.00,3,20.36,18.04,2.624,1159.4,11015,10381,196.69,185.38,5.895,10/14/2022
-93.52986400,44.07683800,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,31,14.99,4.790,1.000,271.00,1141.4,On,10/14/2022,0.00,3,20.30,17.72,2.594,1139.1,10748,10137,191.92,181.02,5.935,10/14/2022
-93.52988240,44.07683790,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,32,14.99,4.823,1.000,270.00,1141.3,On,10/14/2022,0.00,3,20.23,17.75,2.626,1141.1,10693,10094,190.95,180.26,5.976,10/14/2022
-93.52990080,44.07683770,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,33,14.99,4.823,1.000,270.00,1141.1,On,10/14/2022,0.00,3,20.18,17.47,2.654,1122.8,10521,9938.3,187.88,177.47,5.976,10/14/2022
-93.52991770,44.07683750,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,34,14.99,4.462,1.000,271.00,1141.1,On,10/14/2022,0.00,3,20.21,15.90,2.596,1022.0,10352,9774.5,184.85,174.54,5.529,10/14/2022
-93.52993220,44.07683770,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,35,14.99,3.806,1.000,272.00,1141.2,On,10/14/2022,0.00,3,20.29,13.07,2.298,840.13,9976.5,9411.2,178.15,168.06,4.716,10/14/2022
-93.52994170,44.07683770,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,36,14.99,2.231,1.000,278.00,1141.3,On,10/14/2022,0.00,3,20.33,9.873,2.070,634.68,12857,12121,229.59,216.45,2.764,10/14/2022
-93.52965680,44.07687600,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,37,8.990,2.822,1.000,308.00,1142.9,On,10/14/2022,0.00,4,20.27,2.087,3.072,134.13,3583.4,3381.0,63.99,60.37,2.096,10/14/2022
-93.52966900,44.07687700,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,38,14.99,3.215,1.000,284.00,1143.0,On,10/14/2022,0.00,4,20.51,4.936,2.218,317.34,4460.5,4196.1,79.65,74.93,3.984,10/14/2022
-93.52968290,44.07687790,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,39,14.99,3.642,1.000,277.00,1143.4,On,10/14/2022,0.00,4,20.75,8.763,0.624,563.36,6991.2,6556.5,124.84,117.08,4.513,10/14/2022
-93.52969950,44.07687850,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,40,14.99,4.364,1.000,275.00,1143.2,On,10/14/2022,0.00,4,20.87,12.02,1.316,772.73,8003.3,7494.3,142.92,133.83,5.407,10/14/2022
-93.52971750,44.07687880,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,41,14.99,4.757,1.000,273.00,1142.9,On,10/14/2022,0.00,4,20.92,14.93,2.354,959.87,9118.7,8533.6,162.83,152.39,5.895,10/14/2022
-93.52973670,44.07687900,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,42,14.99,5.020,1.000,271.00,1142.4,On,10/14/2022,0.00,4,20.88,17.40,2.970,1118.9,10073,9431.5,179.88,168.42,6.220,10/14/2022
-93.52975450,44.07687940,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,43,14.99,4.692,1.000,272.00,1142.1,On,10/14/2022,0.00,4,20.83,19.16,3.238,1231.4,11862,11114,211.82,198.46,5.813,10/14/2022
-93.52977160,44.07687940,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,44,14.99,4.462,1.000,271.00,1142.3,On,10/14/2022,0.00,4,20.76,20.23,3.452,1300.8,13175,12355,235.27,220.62,5.529,10/14/2022
-93.52978850,44.07687900,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,45,14.99,4.429,1.000,270.00,1142.4,On,10/14/2022,0.00,4,20.66,20.77,3.464,1335.4,13626,12794,243.33,228.46,5.488,10/14/2022
-93.52980570,44.07687900,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,46,14.99,4.528,1.000,271.00,1142.4,On,10/14/2022,0.00,4,20.60,20.85,3.474,1340.7,13382,12575,238.97,224.55,5.610,10/14/2022
-93.52982310,44.07687900,127-134| 227-234,harvest_1_Corn_2022_10_14_000,CORN,47,14.99,4.593,1.000,271.00,1142.1,On,10/14/2022,0.00,4,20.53,20.43,3.472,1313.2,12921,12151,230.73,216.98,5.692,10/14/2022
