OID_,FID,X,Y,Extract_GALa2_dry_mass
1,0,-93.539628209999975,44.065646569999991,9881.252929688000222
2,1,-93.539628209999975,44.065607969999988,9763.231445311999778
3,2,-93.539628209999975,44.065569369999992,9469.477050781000798
4,3,-93.539628209999975,44.065530769999995,9970.065673827999490
5,4,-93.539628209999975,44.065492169999999,10415.728271484000288
6,5,-93.539628209999975,44.065453569999981,10862.175781250000000
7,6,-93.539628209999975,44.065414969999992,11757.695800781000798
8,7,-93.539628209999975,44.065376369999996,12164.602783202999490
9,8,-93.539628209999975,44.065337769999999,12201.962402343999202
10,9,-93.539628209999975,44.065299169999989,12222.727294922000510
11,10,-93.539628209999975,44.065260569999992,12429.549804688000222
12,11,-93.539628209999975,44.065221970000003,12611.780029297000510
13,12,-93.539628209999975,44.065183370000000,12538.033691406000798
14,13,-93.539628209999975,44.065144769999989,12389.353515625000000
15,14,-93.539628209999975,44.065106169999993,12383.534667968999202
16,15,-93.539628209999975,44.065067569999997,12609.100097656000798
17,16,-93.539628209999975,44.065028970000000,12775.264892577999490
18,17,-93.539628209999975,44.064990369999990,12807.923095702999490
19,18,-93.539628209999975,44.064951769999986,12755.610351561999778
20,19,-93.539628209999975,44.064913169999997,12686.688720702999490
21,20,-93.539589610000007,44.065646569999991,10212.429931640999712
22,21,-93.539589610000007,44.065607969999988,10002.147216797000510
23,22,-93.539589610000007,44.065569369999992,9690.024902343999202
24,23,-93.539589610000007,44.065530769999995,10285.619873047000510
25,24,-93.539589610000007,44.065492169999999,10750.502929688000222
26,25,-93.539589610000007,44.065453569999981,11100.281982422000510
27,26,-93.539589610000007,44.065414969999992,11857.551025390999712
28,27,-93.539589610000007,44.065376369999996,12290.759033202999490
29,28,-93.539589610000007,44.065337769999999,12267.000244140999712
30,29,-93.539589610000007,44.065299169999989,12267.008544922000510
31,30,-93.539589610000007,44.065260569999992,12384.281982422000510
32,31,-93.539589610000007,44.065221970000003,12421.361572265999712
33,32,-93.539589610000007,44.065183370000000,12369.940917968999202
34,33,-93.539589610000007,44.065144769999989,12334.197998047000510
35,34,-93.539589610000007,44.065106169999993,12542.486083984000288
36,35,-93.539589610000007,44.065067569999997,12792.479980468999202
37,36,-93.539589610000007,44.065028970000000,12866.846923827999490
38,37,-93.539589610000007,44.064990369999990,12857.232177734000288
39,38,-93.539589610000007,44.064951769999986,12829.196777343999202
40,39,-93.539589610000007,44.064913169999997,12770.460449218999202
41,40,-93.539551009999997,44.065646569999991,10472.211181640999712
42,41,-93.539551009999997,44.065607969999988,10160.882568359000288
43,42,-93.539551009999997,44.065569369999992,9979.788330077999490
44,43,-93.539551009999997,44.065530769999995,10771.028320311999778
45,44,-93.539551009999997,44.065492169999999,11152.923095702999490
46,45,-93.539551009999997,44.065453569999981,11279.360107422000510
47,46,-93.539551009999997,44.065414969999992,12083.785644531000798
48,47,-93.539551009999997,44.065376369999996,12465.863281250000000
49,48,-93.539551009999997,44.065337769999999,12395.222412109000288
50,49,-93.539551009999997,44.065299169999989,12288.095458984000288
51,50,-93.539551009999997,44.065260569999992,12301.447753906000798
52,51,-93.539551009999997,44.065221970000003,12313.896972656000798
53,52,-93.539551009999997,44.065183370000000,12286.147460938000222
54,53,-93.539551009999997,44.065144769999989,12321.906005859000288
55,54,-93.539551009999997,44.065106169999993,12554.615234375000000
56,55,-93.539551009999997,44.065067569999997,12741.522460938000222
57,56,-93.539551009999997,44.065028970000000,12744.337158202999490
58,57,-93.539551009999997,44.064990369999990,12659.145263672000510
59,58,-93.539551009999997,44.064951769999986,12630.526123047000510
60,59,-93.539551009999997,44.064913169999997,12553.017578125000000
61,60,-93.539512409999986,44.065646569999991,10547.740234375000000
62,61,-93.539512409999986,44.065607969999988,10086.859375000000000
63,62,-93.539512409999986,44.065569369999992,10123.199462890999712
64,63,-93.539512409999986,44.065530769999995,11192.654785156000798
65,64,-93.539512409999986,44.065492169999999,11424.431640625000000
66,65,-93.539512409999986,44.065453569999981,11740.846923827999490
67,66,-93.539512409999986,44.065414969999992,12441.180664061999778
68,67,-93.539512409999986,44.065376369999996,12666.817626952999490
69,68,-93.539512409999986,44.065337769999999,12547.910156250000000
70,69,-93.539512409999986,44.065299169999989,12381.937011718999202
71,70,-93.539512409999986,44.065260569999992,12387.910400390999712
