OID_,FID,X,Y,Extract_GALa2_dry_vol
1,0,-93.539628209999975,44.065646569999991,176.450725554999991
2,1,-93.539628209999975,44.065607969999988,174.343204498000006
3,2,-93.539628209999975,44.065569369999992,169.097595215000013
4,3,-93.539628209999975,44.065530769999995,178.036678314000000
5,4,-93.539628209999975,44.065492169999999,185.994934081999986
6,5,-93.539628209999975,44.065453569999981,193.967208862000007
7,6,-93.539628209999975,44.065414969999992,209.958610534999991
8,7,-93.539628209999975,44.065376369999996,217.224788665999995
9,8,-93.539628209999975,44.065337769999999,217.891933440999992
10,9,-93.539628209999975,44.065299169999989,218.262737273999988
11,10,-93.539628209999975,44.065260569999992,221.955986023000008
12,11,-93.539628209999975,44.065221970000003,225.210102081000002
13,12,-93.539628209999975,44.065183370000000,223.893203734999986
14,13,-93.539628209999975,44.065144769999989,221.238201140999990
15,14,-93.539628209999975,44.065106169999993,221.134292603000006
16,15,-93.539628209999975,44.065067569999997,225.162242888999998
17,16,-93.539628209999975,44.065028970000000,228.129474640000012
18,17,-93.539628209999975,44.064990369999990,228.712654114000003
19,18,-93.539628209999975,44.064951769999986,227.778503418000014
20,19,-93.539628209999975,44.064913169999997,226.547748565999996
21,20,-93.539589610000007,44.065646569999991,182.364589690999992
22,21,-93.539589610000007,44.065607969999988,178.609546660999996
23,22,-93.539589610000007,44.065569369999992,173.035953522000000
24,23,-93.539589610000007,44.065530769999995,183.671581268000011
25,24,-93.539589610000007,44.065492169999999,191.973056793000012
26,25,-93.539589610000007,44.065453569999981,198.219100951999991
27,26,-93.539589610000007,44.065414969999992,211.741748809999990
28,27,-93.539589610000007,44.065376369999996,219.477581023999988
29,28,-93.539589610000007,44.065337769999999,219.053329467999987
30,29,-93.539589610000007,44.065299169999989,219.053482056000007
31,30,-93.539589610000007,44.065260569999992,221.147647857999999
32,31,-93.539589610000007,44.065221970000003,221.809780120999989
33,32,-93.539589610000007,44.065183370000000,220.891555785999998
34,33,-93.539589610000007,44.065144769999989,220.253288268999995
35,34,-93.539589610000007,44.065106169999993,223.972705840999993
36,35,-93.539589610000007,44.065067569999997,228.436882018999995
37,36,-93.539589610000007,44.065028970000000,229.764869690000012
38,37,-93.539589610000007,44.064990369999990,229.593166351000008
39,38,-93.539589610000007,44.064951769999986,229.092536926000008
40,39,-93.539589610000007,44.064913169999997,228.043666839999986
41,40,-93.539551009999997,44.065646569999991,187.003532409999991
42,41,-93.539551009999997,44.065607969999988,181.444114684999988
43,42,-93.539551009999997,44.065569369999992,178.210292815999992
44,43,-93.539551009999997,44.065530769999995,192.339576720999986
45,44,-93.539551009999997,44.065492169999999,199.159130096000013
46,45,-93.539551009999997,44.065453569999981,201.416934967000003
47,46,-93.539551009999997,44.065414969999992,215.781650543000012
48,47,-93.539551009999997,44.065376369999996,222.604442596000013
49,48,-93.539551009999997,44.065337769999999,221.343006134000007
50,49,-93.539551009999997,44.065299169999989,219.430038451999991
51,50,-93.539551009999997,44.065260569999992,219.668476104999996
52,51,-93.539551009999997,44.065221970000003,219.890773773000006
53,52,-93.539551009999997,44.065183370000000,219.395240784000009
54,53,-93.539551009999997,44.065144769999989,220.033775329999997
55,54,-93.539551009999997,44.065106169999993,224.189304351999994
56,55,-93.539551009999997,44.065067569999997,227.526927948000008
57,56,-93.539551009999997,44.065028970000000,227.577186584000003
58,57,-93.539551009999997,44.064990369999990,226.055908203000001
59,58,-93.539551009999997,44.064951769999986,225.544837951999995
60,59,-93.539551009999997,44.064913169999997,224.160758971999996
61,60,-93.539512409999986,44.065646569999991,188.352272034000009
62,61,-93.539512409999986,44.065607969999988,180.122272490999990
63,62,-93.539512409999986,44.065569369999992,180.771198273000010
64,63,-93.539512409999986,44.065530769999995,199.868614196999999
65,64,-93.539512409999986,44.065492169999999,204.007484435999999
66,65,-93.539512409999986,44.065453569999981,209.657756804999991
67,66,-93.539512409999986,44.065414969999992,222.163688659999991
68,67,-93.539512409999986,44.065376369999996,226.192909240999995
69,68,-93.539512409999986,44.065337769999999,224.069568634000007
70,69,-93.539512409999986,44.065299169999989,221.105770110999998
71,70,-93.539512409999986,44.065260569999992,221.212444304999991
72,71,-93.539512409999986,44.065221970000003,222.675083160000014
73,72,-93.539512409999986,44.065183370000000,222.825767517000003
74,73,-93.539512409999986,44.065144769999989,221.714820862000010
75,74,-93.539512409999986,44.065106169999993,222.245704651000011
76,75,-93.539512409999986,44.065067569999997,221.833477020000004
77,76,-93.539512409999986,44.065028970000000,220.745948792000007
78,77,-93.539512409999986,44.064990369999990,220.289474487000007
79,78,-93.539512409999986,44.064951769999986,220.421184540000013
80,79,-93.539512409999986,44.064913169999997,218.961570740000013
81,80,-93.539473810000004,44.065646569999991,189.093505859000004
82,81,-93.539473810000004,44.065607969999988,178.744102478000002
83,82,-93.539473810000004,44.065569369999992,175.217525482000013
84,83,-93.539473810000004,44.065530769999995,185.942581176999994
85,84,-93.539473810000004,44.065492169999999,199.312126159999991
86,85,-93.539473810000004,44.065453569999981,216.849555968999994
87,86,-93.539473810000004,44.065414969999992,227.914585114000005
88,87,-93.539473810000004,44.065376369999996,231.433753967000001
89,88,-93.539473810000004,44.065337769999999,228.705188751000009
90,89,-93.539473810000004,44.065299169999989,225.350662231000001
91,90,-93.539473810000004,44.065260569999992,225.583049773999988
92,91,-93.539473810000004,44.065221970000003,227.662067412999988
93,92,-93.539473810000004,44.065183370000000,227.862937926999990
94,93,-93.539473810000004,44.065144769999989,228.187278748000011
95,94,-93.539473810000004,44.065106169999993,227.994647979999996
96,95,-93.539473810000004,44.065067569999997,226.252014159999987
97,96,-93.539473810000004,44.065028970000000,224.989784240999995
98,97,-93.539473810000004,44.064990369999990,226.337371826000009
99,98,-93.539473810000004,44.064951769999986,226.348468781000008
100,99,-93.539473810000004,44.064913169999997,222.566360473999993
101,100,-93.539435209999994,44.065646569999991,190.683612823000004
102,101,-93.539435209999994,44.065607969999988,179.432781218999992
103,102,-93.539435209999994,44.065569369999992,169.477928162000012
104,103,-93.539435209999994,44.065530769999995,182.541069031000006
105,104,-93.539435209999994,44.065492169999999,206.014682770000007
106,105,-93.539435209999994,44.065453569999981,223.167240142999987
107,106,-93.539435209999994,44.065414969999992,228.995361328000001
108,107,-93.539435209999994,44.065376369999996,229.232395171999997
109,108,-93.539435209999994,44.065337769999999,226.370140076000013
110,109,-93.539435209999994,44.065299169999989,223.463588714999986
111,110,-93.539435209999994,44.065260569999992,224.155311584000003
112,111,-93.539435209999994,44.065221970000003,226.894351959000005
113,112,-93.539435209999994,44.065183370000000,227.896133423000009
114,113,-93.539435209999994,44.065144769999989,228.179702759000008
115,114,-93.539435209999994,44.065106169999993,228.420372009000005
116,115,-93.539435209999994,44.065067569999997,227.112167357999994
117,116,-93.539435209999994,44.065028970000000,227.597309112999994
118,117,-93.539435209999994,44.064990369999990,231.660465240000008
119,118,-93.539435209999994,44.064951769999986,231.798324584999989
120,119,-93.539435209999994,44.064913169999997,225.981719970999990
121,120,-93.539396609999983,44.065646569999991,191.457469940000010
122,121,-93.539396609999983,44.065607969999988,179.656265259000008
123,122,-93.539396609999983,44.065569369999992,166.673328400000003
124,123,-93.539396609999983,44.065530769999995,181.163524628000005
125,124,-93.539396609999983,44.065492169999999,209.728542328000003
126,125,-93.539396609999983,44.065453569999981,221.304203032999993
127,126,-93.539396609999983,44.065414969999992,221.273021698000008
128,127,-93.539396609999983,44.065376369999996,216.618122101000012
129,128,-93.539396609999983,44.065337769999999,213.454826354999994
130,129,-93.539396609999983,44.065299169999989,207.984577179000013
131,130,-93.539396609999983,44.065260569999992,209.181877135999997
132,131,-93.539396609999983,44.065221970000003,213.240680695000009
133,132,-93.539396609999983,44.065183370000000,214.719924926999994
134,133,-93.539396609999983,44.065144769999989,215.138710021999998
135,134,-93.539396609999983,44.065106169999993,216.727287292000000
