Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,Crop Flw(M,Crop Flw(V,X,Y,Height
1,2020,7062020,40.327,64.136,37.284,48.7503507,0.246066941,0.227918019,0.354411349,0.58132718,50.661,-0.054168342,-0.084223299,50.71516834,0.433326205,0.464640321,1.590398492,1.632497041,67,1,178.0760355,-93.53964751,44.06566587,-93.53960891,44.06562726999999,1155.380859,17.44918108,9881.25293,176.4507256,17.97946453,1155.848663,-93.53962820999996,44.06564656999999,0.15567
10,2020,7062020,38.754,62.752,36.086,47.40564459,0.252885038,0.236419522,0.366829716,0.575057369,50.664,-0.061750683,-0.08889761,50.72575068,0.447809116,0.475861787,1.619239304,1.65816079,67,10,218.0982594,-93.53964751,44.06531847,-93.53960891,44.06527986999999,1154.186401,17.94224691,12222.72729,218.2627373,23.96740293,1540.744019,-93.53962820999996,44.06529916999999,0.24514
100,2020,7062020,38.045,62.098,35.574,46.79420586,0.255678285,0.240186533,0.372516223,0.572868691,50.577,-0.065098698,-0.090588504,50.6420987,0.454172074,0.480413286,1.632224997,1.6691368,63,20,219.5285993,-93.53949311,44.06493247,-93.53945451,44.06489386999999,1154.231293,17.90906763,12463.73096,222.5663605,23.97098064,1540.982849,-93.53947381,44.06491317,0.25714
1000,2020,7062020,67.519,98.222,61.001,77.30351145,0.209020076,0.185246861,0.293135383,0.62105231,67.924,-0.016297819,-0.056542678,67.94029782,0.358201535,0.401621326,1.454731261,1.50475025,18,20,234.3713436,-93.53775611,44.06493247,-93.53771751,44.06489386999999,1151.290283,16.04949379,13023.60474,232.5640869,23.67746544,1522.098511,-93.53773681,44.06491317,0.32655
1001,2020,7062020,71.878,103.18,64.797,81.67253821,0.203142536,0.178809309,0.283890043,0.627999612,69.685,-0.010634758,-0.051965563,69.69563476,0.346538812,0.391322113,1.43548791,1.485929554,17,1,158.5800441,-93.53771751,44.06566587,-93.53767891,44.06562726999999,1157.193878,17.78097105,9459.528809,168.9199753,17.94305658,1153.530029,-93.53769821,44.06564656999999,0.16762
1002,2020,7062020,70.06,102.65,62.441,80.30007177,0.215508539,0.188697817,0.295549973,0.608290307,72.799,-0.019417311,-0.064777951,72.81841731,0.364419788,0.413261484,1.465172709,1.522435545,17,2,142.901167,-93.53771751,44.06562726999999,-93.53767891,44.06558866999999,1156.500519,17.68461037,8841.802734,157.8891525,14.80119491,951.8827972,-93.53769821,44.065607969999995,0.15901
1003,2020,7062020,72.355,103.24,64.23,81.68891505,0.203736901,0.175887696,0.277331298,0.62214258,69.895,-0.008101741,-0.055532159,69.90310174,0.341219269,0.392734302,1.426853707,1.484587318,17,3,181.3994432,-93.53771751,44.06558867,-93.53767891,44.06555006999999,1156.012665,17.90166187,9446.510742,168.6874962,14.42418051,927.5569,-93.53769821,44.06556936999999,0.17809
1004,2020,7062020,66.591,98.432,59.875,76.82932498,0.217728018,0.192948862,0.302820786,0.608287955,70.398,-0.023142047,-0.064949444,70.42114205,0.372046699,0.416914645,1.478157709,1.531423779,17,4,176.4938743,-93.53771751,44.06555006999999,-93.53767891,44.06551146999999,1156.868988,17.77209234,10338.09839,184.6086998,14.40070915,925.6314697,-93.53769821,44.06553077,0.22805
1005,2020,7062020,70.936,101.11,62.675,79.96520873,0.204296209,0.175383328,0.275886661,0.619869449,68.609,-0.007666975,-0.056939941,68.61666697,0.340299284,0.393841491,1.425369347,1.485366444,17,5,169.0801151,-93.53771751,44.06551147,-93.53767891,44.065472869999994,1157.644592,17.12642574,9678.452881,172.8292961,13.78937626,886.5495605,-93.53769821,44.06549217,0.21969
1006,2020,7062020,73.186,103.62,63.778,81.97749342,0.20416962,0.172132167,0.269260714,0.615498938,70.276,-0.004819938,-0.059566721,70.28081994,0.334357495,0.39399817,1.41584456,1.482226918,17,6,183.9054071,-93.53771751,44.065472869999994,-93.53767891,44.06543426999999,1157.959106,16.56616974,10071.78882,179.8531532,18.89030075,1214.416199,-93.53769821,44.06545356999998,0.21213
