Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,Crop Flw(M,Crop Flw(V,X,Y,Height
1,2020,6302020,56.705,82.952,53.255,65.65715588,0.20279558,0.187939022,0.30377769,0.641997782,55.944,-0.018479929,-0.043517251,55.96247993,0.363054566,0.389987323,1.462869236,1.493768883,67,1,178.0760355,-93.53964751,44.06566587,-93.53960891,44.06562726999999,1155.380859,17.44918108,9881.25293,176.4507256,17.97946453,1155.848663,-93.53962820999996,44.06564656999999,0.19694
10,2020,6302020,60.073,89.548,56.748,70.35136847,0.210447524,0.196997748,0.31736888,0.633715996,62.275,-0.026388653,-0.048945336,62.30138865,0.379276491,0.403384266,1.490653039,1.519187041,67,10,218.0982594,-93.53964751,44.06531847,-93.53960891,44.06527986999999,1154.186401,17.94224691,12222.72729,218.2627373,23.96740293,1540.744019,-93.53962820999996,44.06529916999999,0.25231
100,2020,6302020,61.672,89.895,56.046,70.77122938,0.208639768,0.18620808,0.295463825,0.623460704,62.072,-0.017119352,-0.055057246,62.08911935,0.359935939,0.400832942,1.457630691,1.504809276,63,20,219.5285993,-93.53949311,44.06493247,-93.53945451,44.06489386999999,1154.231293,17.90906763,12463.73096,222.5663605,23.97098064,1540.982849,-93.53947381,44.06491317,0.24796
1000,2020,6302020,47.922,72.94,44.051,56.44245531,0.226639984,0.206996409,0.325708557,0.603934741,53.907,-0.035468398,-0.068330574,53.9424684,0.39698308,0.431855899,1.522056675,1.565350821,18,20,234.3713436,-93.53775611,44.06493247,-93.53771751,44.06489386999999,1151.290283,16.04949379,13023.60474,232.5640869,23.67746544,1522.098511,-93.53773681,44.06491317,0.27666
1001,2020,6302020,59.248,85.908,54.932,68.0882628,0.201527294,0.183664471,0.295486788,0.639428226,57.636,-0.014797489,-0.044996202,57.65079749,0.355342309,0.387931605,1.449972995,1.48695694,17,1,158.5800441,-93.53771751,44.06566587,-93.53767891,44.06562726999999,1157.193878,17.78097105,9459.528809,168.9199753,17.94305658,1153.530029,-93.53769821,44.06564656999999,0.18119
1002,2020,6302020,59.699,86.436,53.34,68.02036042,0.209271417,0.182960961,0.288129748,0.617103984,59.833,-0.014324602,-0.058954756,59.8473246,0.354069545,0.40231117,1.447863448,1.50319728,17,2,142.901167,-93.53771751,44.06562726999999,-93.53767891,44.06558866999999,1156.500519,17.68461037,8841.802734,157.8891525,14.80119491,951.8827972,-93.53769821,44.065607969999995,0.17453
1003,2020,6302020,60.288,87.259,54.837,68.93444372,0.205055879,0.18279599,0.290917916,0.628439473,59.393,-0.014110799,-0.051818326,59.4071108,0.353770946,0.394511206,1.447369294,1.493773322,17,3,181.3994432,-93.53771751,44.06558867,-93.53767891,44.06555006999999,1156.012665,17.90166187,9446.510742,168.6874962,14.42418051,927.5569,-93.53769821,44.06556936999999,0.18255
1004,2020,6302020,53.353,78.983,49.728,62.0691305,0.210249495,0.193673679,0.310260507,0.629603839,54.885,-0.023556552,-0.051431365,54.90855655,0.373343435,0.403216055,1.480385358,1.515481173,17,4,176.4938743,-93.53771751,44.06555006999999,-93.53767891,44.06551146999999,1156.868988,17.77209234,10338.09839,184.6086998,14.40070915,925.6314697,-93.53769821,44.06553077,0.22025
1005,2020,6302020,52.87,78.298,49.368,61.54405774,0.21001105,0.193858258,0.310855746,0.630514189,54.358,-0.023707183,-0.050864094,54.38170718,0.373673484,0.402771581,1.480953282,1.515139764,17,5,169.0801151,-93.53771751,44.06551147,-93.53767891,44.065472869999994,1157.644592,17.12642574,9678.452881,172.8292961,13.78937626,886.5495605,-93.53769821,44.06549217,0.20985
1006,2020,6302020,56.714,82.863,51.758,65.22178861,0.208805316,0.18734462,0.297760166,0.624621363,57.254,-0.018101236,-0.054364335,57.27210124,0.361984312,0.401040798,1.461067814,1.506241932,17,6,183.9054071,-93.53771751,44.065472869999994,-93.53767891,44.06543426999999,1157.959106,16.56616974,10071.78882,179.8531532,18.89030075,1214.416199,-93.53769821,44.06545356999998,0.19474
1007,2020,6302020,63.066,89.958,57.323,71.54413195,0.198221808,0.175737139,0.281000199,0.637219591,59.527,-0.007918344,-0.046141851,59.53491834,0.340944699,0.382428453,1.426410427,1.472491539,17,7,203.9852171,-93.53771751,44.06543427,-93.53767891,44.065395669999994,1157.762695,16.4739089,11262.1167,201.1090012,21.4719615,1380.339539,-93.53769821,44.06541496999999,0.19281
1008,2020,6302020,59.664,87.202,53.802,68.45591502,0.21168583,0.187504256,0.295903894,0.616981262,60.938,-0.018300875,-0.059198278,60.95630088,0.362271815,0.406329968,1.461551354,1.512761363,17,8,208.3828139,-93.53771751,44.065395669999994,-93.53767891,44.06535706999999,1157.305573,16.47826433,11584.37915,206.863678,21.50039673,1382.170807,-93.53769821,44.06537637,0.20698
1009,2020,6302020,59.06,86.882,54.834,68.41864531,0.208129098,0.190637376,0.305373842,0.63113188,59.87,-0.020908874,-0.050376539,59.89090887,0.367904156,0.399554528,1.471080257,1.507903182,17,9,205.0081289,-93.53771751,44.06535707,-93.53767891,44.06531847,1156.653564,16.49731493,11519.5127,205.7053566,20.91645336,1344.639587,-93.53769821,44.06533777,0.23475
101,2020,6302020,51.977,77.093,49.106,60.70787542,0.20802761,0.194592082,0.314091341,0.636970931,53.103,-0.024274874,-0.046833468,53.12727487,0.374984954,0.399136365,1.483213729,1.511544931,62,1,186.8314951,-93.53945451,44.06566587,-93.53941591,44.06562726999999,1155.429382,17.20559454,10678.29492,190.6836128,20.22101355,1299.921173,-93.53943521,44.06564656999999,0.21122
1010,2020,6302020,55.654,82.66,52.136,64.93126061,0.210647724,0.195251385,0.313374643,0.630728285,57.53,-0.024911525,-0.050772381,57.55491153,0.376162295,0.40384186,1.48524814,1.517897537,17,10,203.7018765,-93.53771751,44.06531847,-93.53767891,44.06527986999999,1155.990082,16.49980974,11669.57959,208.3851166,21.13156986,1358.461761,-93.53769821,44.06529916999999,0.21967
1011,2020,6302020,49.806,75.744,47.9,59.19516076,0.215823816,0.206594982,0.334037347,0.632393325,53.782,-0.034682041,-0.050066302,53.81668204,0.396276302,0.412594302,1.520780629,1.54067005,17,11,216.683791,-93.53771751,44.06527987,-93.53767891,44.06524127,1155.290314,16.46267557,12157.65625,217.1007538,21.70521879,1395.325378,-93.53769821,44.06526056999999,0.22423
1012,2020,6302020,44.948,70.446,43.525,54.39787755,0.228539664,0.220964695,0.354784399,0.617849133,52.419,-0.047312153,-0.059848099,52.46631215,0.421356492,0.434495873,1.567277743,1.584158042,17,12,226.1891448,-93.53771751,44.06524127,-93.53767891,44.06520266999999,1154.617126,16.41595364,12618.34839,225.3273926,23.23201037,1493.468323,-93.53769821,44.06522197,0.22952
1013,2020,6302020,45.168,68.915,42.526,53.53468074,0.222308934,0.208155466,0.331861313,0.61707901,50.136,-0.036267392,-0.059885447,50.17226739,0.399021835,0.424051577,1.525748317,1.55668097,17,13,230.3434268,-93.53771751,44.06520267,-93.53767891,44.06516407,1154.195068,16.3710928,12705.84229,226.8897705,23.33611393,1500.164856,-93.53769821,44.06518337,0.22442
1014,2020,6302020,49.999,75.339,47.82,59.05539016,0.212714842,0.202173323,0.326891819,0.634731016,52.859,-0.030841197,-0.048458633,52.8898412,0.38846837,0.407220342,1.506810136,1.52933513,17,14,224.6023824,-93.53771751,44.06516407,-93.53767891,44.06512546999999,1153.618073,16.38044691,12528.53442,223.7235641,22.83510542,1467.950134,-93.53769821,44.06514476999999,0.22982
1015,2020,6302020,54.575,81.389,50.911,63.75612354,0.213565741,0.197213968,0.315262248,0.625526791,57.292,-0.026670234,-0.054119599,57.31867023,0.379661625,0.409002436,1.491323866,1.526239232,17,15,219.2117571,-93.53771751,44.06512547,-93.53767891,44.06508687,1152.998779,16.38617182,12148.69727,216.9407692,22.12760305,1422.47757,-93.53769821,44.06510616999999,0.23466
1016,2020,6302020,57.518,83.912,53.289,66.30550904,0.20463265,0.186622357,0.299452014,0.635058156,57.017,-0.017393269,-0.047799136,57.03439327,0.360682886,0.393432499,1.458882437,1.49645838,17,16,215.592959,-93.53771751,44.06508687,-93.53767891,44.06504826999999,1152.42572,16.35959959,11927.25635,212.9864731,21.96999407,1412.351776,-93.53769821,44.06506757,0.23847
1017,2020,6302020,59.393,86.371,55.422,68.45698448,0.201445279,0.185079992,0.298620797,0.64167371,57.927,-0.016009066,-0.043642202,57.94300907,0.357900253,0.387687391,1.454228613,1.488128236,17,17,217.3866381,-93.53771751,44.06504827,-93.53767891,44.06500967,1151.81134,16.32688046,11943.49609,213.2764473,21.90578556,1408.231262,-93.53769821,44.06502897,0.23973
1018,2020,6302020,58.901,86.013,55.456,68.17363104,0.201370193,0.187090274,0.303069597,0.644739749,57.669,-0.017725208,-0.041795678,57.68672521,0.361526132,0.38743159,1.460297788,1.489901,17,18,221.781268,-93.53771751,44.06500967,-93.53767891,44.06497106999999,1151.213196,16.3130908,12155.72852,217.0663071,22.19211578,1426.630981,-93.53769821,44.06499036999999,0.26668
1019,2020,6302020,61.86,90.594,57.046,71.38669006,0.207541637,0.188476524,0.301169713,0.6296885,62.282,-0.019045346,-0.051215274,62.30104535,0.364021758,0.398632593,1.464500485,1.504547942,17,19,225.2607456,-93.53771751,44.06497107,-93.53767891,44.06493247,1150.704132,16.30768204,12485.27832,222.9511223,23.14149571,1487.651764,-93.53769821,44.06495176999999,0.25896
102,2020,6302020,44.311,67.038,41.056,52.09975464,0.221966524,0.204106009,0.323318111,0.612428772,48.709,-0.032824382,-0.062724976,48.74182438,0.391886323,0.42368493,1.512897475,1.551827434,62,2,173.0342805,-93.53945451,44.06562726999999,-93.53941591,44.06558866999999,1154.742523,17.3791604,10048.2478,179.4327812,18.73134661,1204.176788,-93.53943521,44.065607969999995,0.19149
1020,2020,6302020,64.539,94.27,60.366,74.60154015,0.203018073,0.187212312,0.302012332,0.64035218,63.635,-0.017864264,-0.044519676,63.65286426,0.361745987,0.390436673,1.460667193,1.493544646,17,20,231.0356541,-93.53771751,44.06493247,-93.53767891,44.06489386999999,1150.259949,16.3349452,12737.00171,227.4461823,23.72007752,1524.838989,-93.53769821,44.06491317,0.27788
1021,2020,6302020,55.219,79.956,50.258,63.161081,0.205114002,0.182999815,0.291307983,0.628570714,54.435,-0.01428764,-0.051742678,54.44928764,0.354139864,0.394601103,1.447979862,1.494089703,16,1,164.1053055,-93.53767891,44.06566587,-93.53764031,44.06562726999999,1157.022278,17.7023344,9590.783691,171.2638092,18.17907524,1168.705383,-93.53765961,44.06564656999999,0.17445
1022,2020,6302020,58.435,86.084,53.324,67.49951421,0.212762435,0.191317405,0.303185482,0.619441476,60.409,-0.021608043,-0.057775105,60.43060804,0.369124004,0.407969446,1.47315821,1.518749856,16,2,153.7800129,-93.53767891,44.06562726999999,-93.53764031,44.06558866999999,1156.312988,17.60425854,9025.480957,161.1691208,15.41265392,991.1499939,-93.53765961,44.065607969999995,0.17549
1023,2020,6302020,58.098,85.802,54.089,67.48575338,0.209368867,0.192522585,0.308470009,0.630393231,59.417,-0.022550748,-0.050898787,59.43955075,0.371283565,0.40168901,1.476849461,1.51243466,16,3,189.1129384,-93.53767891,44.06558867,-93.53764031,44.06555006999999,1155.695313,17.85602951,9427.873535,168.3546982,15.0715847,969.1625671,-93.53765961,44.06556936999999,0.18844
1024,2020,6302020,52.045,78.189,49.011,61.16720218,0.214897799,0.200746349,0.321879271,0.626827303,55.322,-0.029713521,-0.053410695,55.35171352,0.385939677,0.411198062,1.502334518,1.532685682,16,4,159.6133057,-93.53767891,44.06555006999999,-93.53764031,44.06551146999999,1156.019226,17.93320847,9923.223633,177.2002182,16.80605316,1080.330444,-93.53765961,44.06553077,0.21544
1025,2020,6302020,51.759,76.053,47.349,59.73547436,0.210967542,0.190076049,0.301927594,0.622578991,52.998,-0.020497714,-0.055745286,53.01849771,0.366896529,0.404785017,1.469367646,1.513593555,16,5,150.395956,-93.53767891,44.06551147,-93.53764031,44.065472869999994,1156.548157,17.59850121,9355.849121,167.068512,13.7440114,883.6399841,-93.53765961,44.06549217,0.18792
1026,2020,6302020,55.431,81.951,51.374,64.36316244,0.210918077,0.193038389,0.30834341,0.626886798,57.097,-0.02303291,-0.053123609,57.12003291,0.372206927,0.404473464,1.478432646,1.516329735,16,6,164.0984223,-93.53767891,44.065472869999994,-93.53764031,44.06543426999999,1156.432617,17.12418652,9736.155762,173.8597031,18.3702631,1180.987793,-93.53765961,44.06545356999998,0.20617
1027,2020,6302020,61.717,88.855,56.785,70.54250572,0.199883867,0.180232713,0.2893578,0.639074897,59.208,-0.011821159,-0.045120252,59.21982116,0.349124523,0.385147721,1.439716772,1.480205678,16,7,200.7439648,-93.53767891,44.06543427,-93.53764031,44.065395669999994,1156.483154,16.97480106,10981.95801,196.1061707,21.2137804,1363.742859,-93.53765961,44.06541496999999,0.19437
1028,2020,6302020,58.274,85.909,53.763,67.49487765,0.210604006,0.191666146,0.305629286,0.625813361,59.781,-0.021851414,-0.053756075,59.80285141,0.369749218,0.403998223,1.474225212,1.514314039,16,8,200.9155621,-93.53767891,44.065395669999994,-93.53764031,44.06535706999999,1155.673401,17.03169537,11355.79346,202.7818069,21.26490212,1367.031128,-93.53765961,44.06537637,0.21305
1029,2020,6302020,56.655,84.869,52.508,66.25613494,0.217191763,0.199358413,0.316954255,0.618694694,60.575,-0.028613837,-0.058535705,60.60361384,0.383476039,0.415413403,1.497996646,1.536399272,16,9,199.3483478,-93.53767891,44.06535707,-93.53764031,44.06531847,1155.112854,17.06009007,11330.69189,202.3335724,20.86118412,1341.085449,-93.53765961,44.06533777,0.23888
103,2020,6302020,43.637,65.806,40.67,51.27919105,0.219086787,0.202562064,0.322350341,0.618028751,47.305,-0.031404342,-0.059075496,47.33640434,0.389156497,0.418616142,1.508032175,1.543810481,62,3,170.8918147,-93.53945451,44.06558867,-93.53941591,44.06555006999999,1154.393005,17.7236948,9490.776123,169.4779282,16.7767787,1078.66861,-93.53943521,44.06556936999999,0.18387
1030,2020,6302020,55.433,83.931,52.135,65.40970487,0.218908616,0.204486094,0.326703275,0.621165005,60.294,-0.033027849,-0.05713868,60.32702785,0.392557565,0.418184107,1.5140981,1.545342694,16,10,201.3937959,-93.53767891,44.06531847,-93.53764031,44.06527986999999,1154.460205,17.00279903,11428.6709,204.0831909,21.14723015,1359.467407,-93.53765961,44.06529916999999,0.22349
1031,2020,6302020,53.778,80.136,51.276,63.09537742,0.208113792,0.196827815,0.31895738,0.639862234,55.218,-0.02617204,-0.045086668,55.24417204,0.378973737,0.399187092,1.490126074,1.513954953,16,11,209.5923099,-93.53767891,44.06527987,-93.53764031,44.06524127,1153.923889,16.95223618,11854.11621,211.6804123,21.51904488,1383.360779,-93.53765961,44.06526056999999,0.22603
1032,2020,6302020,44.567,69.789,43.405,53.97751394,0.226789717,0.220556858,0.355484771,0.621946152,51.606,-0.046875971,-0.057187771,51.65287597,0.420651009,0.431462434,1.565934436,1.579771581,16,12,210.577367,-93.53767891,44.06524127,-93.53764031,44.06520266999999,1153.133118,16.92486381,12244.57764,218.6529312,22.5365572,1448.760376,-93.53765961,44.06522197,0.22841
1033,2020,6302020,44.866,69.184,43.061,53.70795575,0.222899313,0.213222271,0.342560115,0.622412697,50.441,-0.040554767,-0.056638937,50.48155477,0.407899889,0.424870615,1.542013997,1.563244053,16,13,215.0017589,-93.53767891,44.06520267,-93.53764031,44.06516407,1152.679932,16.93632126,12313.21875,219.8786469,22.70184898,1459.381958,-93.53765961,44.06518337,0.22167
1034,2020,6302020,49.532,74.852,47.199,58.54908633,0.214957291,0.203563159,0.328043014,0.630564314,52.973,-0.03209642,-0.051132105,53.00509642,0.390927097,0.411168804,1.511184689,1.535659448,16,14,207.7091742,-93.53767891,44.06516407,-93.53764031,44.06512546999999,1152.164734,16.93439674,12113.13916,216.3058014,22.2649889,1431.298706,-93.53765961,44.06514476999999,0.24563
1035,2020,6302020,55.558,83.147,52.228,65.13544595,0.21347052,0.198904149,0.319032806,0.628140522,58.508,-0.028103052,-0.052519994,58.53610305,0.382668825,0.408731199,1.49658015,1.527702429,16,15,207.1993196,-93.53767891,44.06512547,-93.53764031,44.06508687,1151.627014,16.93115711,11701.63135,208.9574585,21.6139679,1389.462036,-93.53765961,44.06510616999999,0.24325
1036,2020,6302020,57.048,85.618,53.613,66.98076838,0.21488345,0.200257945,0.320820186,0.626188418,60.575,-0.02929911,-0.053799948,60.60429911,0.385073205,0.411198907,1.500806339,1.53216582,16,16,201.840784,-93.53767891,44.06508687,-93.53764031,44.06504826999999,1150.889465,16.92419624,11479.80811,204.9963226,21.63604355,1390.885498,-93.53765961,44.06506757,0.24816
1037,2020,6302020,59.364,86.884,54.585,68.44081671,0.207909161,0.188173513,0.300230191,0.628251462,59.819,-0.018793724,-0.05210797,59.83779372,0.363476586,0.399328974,1.463580621,1.505062198,16,17,206.2868558,-93.53767891,44.06504827,-93.53764031,44.06500967,1150.263123,16.86678219,11479.47559,204.9903793,21.64058781,1391.182434,-93.53765961,44.06502897,0.23198
1038,2020,6302020,60.089,88.643,54.768,69.44494989,0.213693294,0.191982895,0.303882338,0.617849125,62.429,-0.02220344,-0.058809828,62.45120344,0.370316862,0.409616759,1.475195127,1.521453714,16,18,203.2049588,-93.53767891,44.06500967,-93.53764031,44.06497106999999,1149.72168,16.85420227,11627.25537,207.629303,21.76454067,1399.147766,-93.53765961,44.06499036999999,0.24755
1039,2020,6302020,61.83,90.647,56.508,71.25770502,0.21011107,0.188992438,0.300274047,0.62338522,62.956,-0.019546857,-0.055199177,62.97554686,0.364949556,0.403303086,1.466068252,1.510674607,16,19,206.5270421,-93.53767891,44.06497107,-93.53764031,44.06493247,1149.174683,16.84535122,11936.38818,213.1495209,22.41094017,1440.689819,-93.53765961,44.06495176999999,0.24158
