Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Crop Flw(M,Crop Flw(V,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,X,Y,Height
10,2021,7122021,43.381,65.58,37.487,50.29222183,0.237195087,0.203733446,0.310588466,0.571622446,50.292,-0.033094341,-0.089439255,50.32509434,0.391228065,0.451245306,1.511721721,1.587049008,35,10,217.2334685,-93.531126123,44.077681612,-93.531087123,44.077642612,22.856642828999895,1469.352308485,1149.698459201,14.982887904,11941.481228299,213.24048529699897,-93.5310984367635,44.07766866098919,0.11465
100,2021,7122021,47.079,68.731,40.102,53.38087362,0.223826249,0.186961402,0.285993554,0.583463066,50.281,-0.018089692,-0.080739135,50.29908969,0.361293932,0.428921033,1.459907815,1.540006705,32,4,221.0705254,-93.531009123,44.077915612,-93.530970123,44.077876612,24.395855586,1568.30440266899,1148.932088216,15.534576893,12985.6212565099,231.885823568,-93.53098143676353,44.07790266098919,0.10157
1000,2021,7122021,44.014,64.905,37.321,50.14229174,0.229581567,0.191803083,0.291781893,0.575009629,48.475,-0.02246581,-0.086539934,48.49746581,0.369994647,0.438920313,1.474644431,1.557910933,4,8,200.0806134,-93.529917123,44.077759612,-93.529878123,44.077720612,17.781073782,1143.06783718499,1146.668877496,15.8727693559999,10789.630425347,192.671722412,-93.52988943676348,44.07774666098919,0.096296
1001,2021,7122021,43.385,63.678,36.391,49.19841051,0.229708592,0.189542606,0.287143423,0.571484657,47.58,-0.020487404,-0.08874343,47.6004874,0.365938364,0.439508532,1.467742307,1.556226841,4,9,204.6682821,-93.529917123,44.077720612,-93.529878123,44.077681612,21.049883736999895,1353.204549154,1146.55601670999,15.901755969,12275.2153862849,219.199995252999,-93.52988943676348,44.077707660989184,0.10081
1002,2021,7122021,43.522,64.188,36.985,49.60562486,0.229166567,0.19186705,0.292202192,0.576198043,47.869,-0.022510799,-0.085759701,47.8915108,0.370109281,0.438140157,1.474840311,1.556978129,4,10,223.711903,-93.529917123,44.077681612,-93.529878123,44.077642612,18.681681951,1200.96406385599,1146.621893989,15.948642837,11643.5706380209,207.920633952,-93.52988943676348,44.07766866098919,0.09911
1003,2021,7122021,43.211,63.946,36.829,49.37157306,0.230132928,0.193501125,0.294832784,0.575939074,47.852,-0.02396483,-0.086018085,47.87596483,0.373034824,0.439691772,1.479854667,1.560740601,4,11,218.1897915,-93.529917123,44.077642612,-93.529878123,44.077603612,20.433314217,1313.567328559,1146.76959906699,16.032103962,13614.132595486,243.109242757,-93.52988943676348,44.07762966098919,0.088756
1004,2021,7122021,43.609,64.727,37.264,49.93307223,0.230978429,0.194930586,0.297135299,0.575710291,48.581,-0.025236264,-0.086245879,48.60623626,0.375589546,0.441049322,1.484257837,1.564043427,4,12,245.0237422,-93.529917123,44.077603612,-93.529878123,44.077564612,16.919263416,1087.666395399,1146.911349826,16.1148495139999,11724.395399306,209.363964505,-93.52988943676348,44.0775906609892,0.10454
1005,2021,7122021,42.68,62.938,36.417,48.67912671,0.228220302,0.191804427,0.292741434,0.578617052,46.779,-0.022431091,-0.084163762,46.80143109,0.369997056,0.436393371,1.474648547,1.554672687,4,13,195.9418745,-93.529917123,44.077564612,-93.529878123,44.077525612,18.167485714,1167.91212971999,1146.76381429,16.154747009,11101.7210286459,198.244773865,-93.52988943676348,44.077551660989194,0.10495
1006,2021,7122021,41.621,62.044,35.907,47.85769958,0.230934053,0.197009598,0.301410904,0.578734447,46.56,-0.027044106,-0.084359327,46.58704411,0.379297601,0.440680712,1.490689796,1.56582671,4,14,200.05412,-93.529917123,44.077525612,-93.529878123,44.077486612,17.5421755049999,1127.71228705499,1146.67780219199,16.162590981,10845.9340277779,193.677140978,-93.52988943676348,44.07751266098919,0.10908
1007,2021,7122021,41.771,62.222,35.405,47.85362316,0.234441028,0.196657467,0.298171692,0.569010961,47.268,-0.026848305,-0.090783225,47.2948483,0.378670184,0.447188894,1.489598046,1.573917322,4,15,211.9593932,-93.529917123,44.077486612,-93.529878123,44.077447612,16.288088057,1047.09127468499,1146.43010796399,16.169283125,11797.019097222,210.660825941,-93.52988943676348,44.07747366098919,0.11568
