Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Crop Flw(M,Crop Flw(V,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,X,Y,Height
10,2021,6222021,83.276,114.81,74.026,92.36896476,0.186905888,0.159193482,0.25418346,0.644769619,72.318,0.006528194,-0.041062504,72.31147181,0.31051765,0.362698957,1.378668524,1.433798119,35,10,217.2334685,-93.531126123,44.077681612,-93.531087123,44.077642612,22.856642828999895,1469.352308485,1149.698459201,14.982887904,11941.481228299,213.24048529699897,-93.5310984367635,44.07766866098919,0.16431
100,2021,6222021,95.555,126.11,83.621,103.3230561,0.169320068,0.137843142,0.221342471,0.663079851,73.044,0.025114155,-0.029613543,73.01888584,0.270545717,0.331182814,1.319763487,1.379715308,32,4,221.0705254,-93.531009123,44.077915612,-93.530970123,44.077876612,24.395855586,1568.30440266899,1148.932088216,15.534576893,12985.6212565099,231.885823568,-93.53098143676353,44.07790266098919,0.14217
1000,2021,6222021,69.26,100.34,62.231,79.03113429,0.208293319,0.183254717,0.289469027,0.620201316,69.189,-0.014562332,-0.057009632,69.20356233,0.354601116,0.400466168,1.448743864,1.501301851,4,8,200.0806134,-93.529917123,44.077759612,-93.529878123,44.077720612,17.781073782,1143.06783718499,1146.668877496,15.8727693559999,10789.630425347,192.671722412,-93.52988943676348,44.07774666098919,0.14847
1001,2021,6222021,69.937,101.48,62.498,79.78173219,0.210274453,0.184013254,0.289600529,0.615865195,70.525,-0.015254259,-0.05977727,70.54025426,0.355972952,0.404064497,1.451020204,1.506390168,4,9,204.6682821,-93.529917123,44.077720612,-93.529878123,44.077681612,21.049883736999895,1353.204549154,1146.55601670999,15.901755969,12275.2153862849,219.199995252999,-93.52988943676348,44.077707660989184,0.14967
1002,2021,6222021,67.815,99.029,60.808,77.68146482,0.212546796,0.187084942,0.294371723,0.614042351,69.435,-0.017957233,-0.061048442,69.45295723,0.361516525,0.407959074,1.460281649,1.514290466,4,10,223.711903,-93.529917123,44.077681612,-93.529878123,44.077642612,18.681681951,1200.96406385599,1146.621893989,15.948642837,11643.5706380209,207.920633952,-93.52988943676348,44.07766866098919,0.15345
1003,2021,6222021,70.48,99.169,62.37,78.93444086,0.197736633,0.169107982,0.267424193,0.628926378,65.488,-0.002142066,-0.051077713,65.49014207,0.328812738,0.382187459,1.407051646,1.46551092,4,11,218.1897915,-93.529917123,44.077642612,-93.529878123,44.077603612,20.433314217,1313.567328559,1146.76959906699,16.032103962,13614.132595486,243.109242757,-93.52988943676348,44.07762966098919,0.14417
1004,2021,6222021,67.455,97.291,59.154,76.40879404,0.211627972,0.181103031,0.282559285,0.608011018,67.973,-0.012746762,-0.064651184,67.98574676,0.350703579,0.406911303,1.442309688,1.506778867,4,12,245.0237422,-93.529917123,44.077603612,-93.529878123,44.077564612,16.919263416,1087.666395399,1146.911349826,16.1148495139999,11724.395399306,209.363964505,-93.52988943676348,44.0775906609892,0.15575
1005,2021,6222021,68.853,99.125,60.465,77.93697766,0.210435696,0.180214076,0.28156595,0.60998739,68.932,-0.011953967,-0.06335935,68.94395397,0.349090693,0.404788352,1.439661307,1.503307404,4,13,195.9418745,-93.529917123,44.077564612,-93.529878123,44.077525612,18.167485714,1167.91212971999,1146.76381429,16.154747009,11101.7210286459,198.244773865,-93.52988943676348,44.077551660989194,0.15394
1006,2021,6222021,67.326,97.211,59.453,76.41428315,0.210593989,0.181630879,0.284391534,0.611587166,67.643,-0.013190767,-0.062399214,67.65619077,0.351660556,0.404918069,1.443884978,1.504934533,4,14,200.05412,-93.529917123,44.077525612,-93.529878123,44.077486612,17.5421755049999,1127.71228705499,1146.67780219199,16.162590981,10845.9340277779,193.677140978,-93.52988943676348,44.07751266098919,0.15763
1007,2021,6222021,67.724,97.094,59.563,76.51042626,0.208106385,0.178196556,0.279036625,0.613457062,66.901,-0.010163071,-0.061082712,66.91116307,0.345424499,0.400665952,1.433671963,1.496304157,4,15,211.9593932,-93.529917123,44.077486612,-93.529878123,44.077447612,16.288088057,1047.09127468499,1146.43010796399,16.169283125,11797.019097222,210.660825941,-93.52988943676348,44.07747366098919,0.16251
