Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Crop Flw(M,Crop Flw(V,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,id_old,X,Y,Height
1000,2022,7132022,71.464,105.74,65.63,82.85599515,0.213400885,0.193426785,0.307204187,0.62067335,74.386,-0.023433292,-0.057067791,74.40943329,0.37290185,0.408966804,1.479626105,1.522186838,5,8,234.6136114,-93.529918931,44.077772119,-93.529879931,44.077733119,21.44597848,1378.032271,1144.984501,18.34312197,12617.8098,225.3177948,1196,-93.52993617085933,44.077728448039935,0.2886
1001,2022,7132022,72.271,104.99,64.322,82.42838756,0.211750483,0.184580929,0.289705062,0.612648824,73.387,-0.015773461,-0.061838788,73.40277346,0.356998864,0.406743361,1.452726543,1.510202477,5,9,235.3016744,-93.529918931,44.077733119,-93.529879931,44.077694119,20.08900187,1290.61323,1144.67435,18.37840864,12522.51934,223.6161906,1197,-93.52993617085933,44.077689448039926,0.28684
1002,2022,7132022,74.699,105.55,67.089,84.1064346,0.196413593,0.171157676,0.272631672,0.635613453,69.312,-0.003927419,-0.047002078,69.31592742,0.332572653,0.379470878,1.41300419,1.464476426,5,10,235.3224912,-93.529918931,44.077694119,-93.529879931,44.077655119,18.87031423,1212.318597,1144.504079,18.4393274,12175.47616,217.418975,1198,-93.52993617085933,44.077650448039925,0.26176
1003,2022,7132022,68.715,100.25,59.21,78.05476245,0.220978915,0.186636286,0.287321762,0.590623441,72.575,-0.017745152,-0.076064424,72.59274515,0.360707993,0.423654927,1.458924543,1.533075141,5,11,214.6295961,-93.529918931,44.077655119,-93.529879931,44.077616119,19.45280722,1249.732449,1144.483531,18.44957966,12410.77387,221.6207258,1199,-93.52993617085933,44.07761144803993,0.27249
1004,2022,7132022,73.796,106.11,65.831,83.74346199,0.206319792,0.179616022,0.283269779,0.620403355,72.593,-0.01137639,-0.056754172,72.60437639,0.348004744,0.397165112,1.437882812,1.493623306,5,12,239.3317461,-93.529918931,44.077616119000005,-93.529879931,44.077577119,20.40656579,1311.176347,1144.615759,18.47298832,12654.08193,225.965506,1200,-93.52993617085933,44.07757244803994,0.27084
1005,2022,7132022,72.112,104.73,63.67,82.10233928,0.213409724,0.184447134,0.288216167,0.607944238,73.678,-0.015688199,-0.064828366,73.6936882,0.356757124,0.409839769,1.452324162,1.51380442,5,13,230.1133018,-93.529918931,44.077577119,-93.529879931,44.077538119,20.81746737,1337.493222,1144.683906,18.50713306,12665.7187,226.1732992,1201,-93.52993617085933,44.07753344803994,0.27387
1006,2022,7132022,70.324,104.48,62.068,81.06370334,0.224308046,0.195395986,0.302973318,0.59406585,76.568,-0.025441589,-0.074237563,76.59344159,0.376420396,0.428717094,1.485694784,1.548781401,5,14,234.8023394,-93.529918931,44.077538119,-93.529879931,44.077499119,21.29070976,1368.059238,1144.837897,18.47298892,12498.25109,223.1828037,1202,-93.52993617085933,44.077494448039936,0.28124
1007,2022,7132022,71.669,104.39,63.607,81.8119146,0.21363964,0.18585247,0.290977484,0.609320816,73.504,-0.016912704,-0.064006576,73.5209127,0.359294498,0.410109597,1.456557228,1.515604041,5,15,229.9321522,-93.529918931,44.077499119,-93.529879931,44.077460119,21.78612275,1400.055715,1145.152449,18.46144183,12395.93891,221.3558053,1203,-93.52993617085933,44.077455448039935,0.28121
1008,2022,7132022,73.248,105.46,64.401,82.93485376,0.210205153,0.180249345,0.281802514,0.610667552,73.271,-0.011981457,-0.062928974,73.28298146,0.349154715,0.404352831,1.439766273,1.502822706,5,16,226.0906042,-93.529918931,44.077460119,-93.529879931,44.077421119,21.0883625,1355.120549,1145.490951,18.42216682,11977.82936,213.8895625,1204,-93.52993617085933,44.07741644803993,0.26221
1009,2022,7132022,72.489,105.38,63.327,82.40127113,0.216241171,0.184916989,0.287152311,0.600939457,74.944,-0.016150351,-0.069330337,74.96015035,0.357605898,0.415052216,1.453737808,1.520644128,5,17,220.5814312,-93.529918931,44.077421119,-93.529879931,44.077382119,19.95829391,1282.379954,1145.764713,18.34271865,11814.71425,210.9767871,1205,-93.52993617085933,44.077377448039925,0.24194
1010,2022,7132022,72.453,106.64,63.113,82.87496119,0.222774519,0.19088965,0.294766339,0.591832333,77.714,-0.021493274,-0.075480376,77.73549327,0.368356798,0.426430979,1.471850717,1.541072133,5,18,214.0691179,-93.529918931,44.077382119,-93.529879931,44.077343119,19.2760289,1238.687554,1145.859144,18.24153015,12167.62109,217.2786848,1206,-93.52993617085933,44.07733844803992,0.25672
1011,2022,7132022,74.674,107.43,64.903,84.32044154,0.21240164,0.179875236,0.27948567,0.604142232,75.283,-0.011685499,-0.067066116,75.2946855,0.348475512,0.408514255,1.438653347,1.507430877,5,19,230.3485642,-93.529918931,44.077343119000005,-93.529879931,44.077304119,19.61386331,1260.089264,1145.904368,18.30489148,12864.45668,229.7221849,1207,-93.52993617085933,44.077299448039945,0.2568
1012,2022,7132022,70.899,104.76,62.001,81.333572,0.223760294,0.192765529,0.297920076,0.591838488,76.62,-0.023148195,-0.075564251,76.64314819,0.371718536,0.428018805,1.477594889,1.545075733,5,20,235.3506078,-93.529918931,44.077304119,-93.529879931,44.077265119,21.00057844,1349.629272,1145.943819,18.37101879,13087.73076,233.709226,1208,-93.52993617085933,44.07726044803994,0.26086
