Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,Crop Flw(M,Crop Flw(V,X,Y
"1","2020","6302020","56.705","82.952","53.255","65.65715588","0.20279558","0.187939022","0.30377769","0.641997782","55.944","-0.018479929","-0.043517251","55.96247993","0.363054566","0.389987323","1.462869236","1.493768883","67","1","178.0760355","-93.5396475099999947","44.0656658699999966","-93.5396089099999983","44.0656272699999931","1155.380859000000100","17.449181079999999","9881.252930000000561","176.450725599999998","17.979464530000001","1155.848662999999988","-93.539628209999975","44.065646569999991"
"10","2020","6302020","60.073","89.548","56.748","70.35136847","0.210447524","0.196997748","0.31736888","0.633715996","62.275","-0.026388653","-0.048945336","62.30138865","0.379276491","0.403384266","1.490653039","1.519187041","67","10","218.0982594","-93.5396475099999947","44.0653184699999940","-93.5396089099999983","44.0652798699999906","1154.186400999999933","17.942246910000001","12222.727290000000721","218.262737299999998","23.967402929999999","1540.744018999999980","-93.539628209999975","44.065299169999989"
"100","2020","6302020","61.672","89.895","56.046","70.77122938","0.208639768","0.18620808","0.295463825","0.623460704","62.072","-0.017119352","-0.055057246","62.08911935","0.359935939","0.400832942","1.457630691","1.504809276","63","20","219.5285993","-93.5394931099999951","44.0649324699999951","-93.5394545099999988","44.0648938699999917","1154.231293000000051","17.909067629999999","12463.730960000000778","222.566360500000002","23.970980640000001","1540.982848999999987","-93.539473810000004","44.064913169999997"
"1000","2020","6302020","47.922","72.94","44.051","56.44245531","0.226639984","0.206996409","0.325708557","0.603934741","53.907","-0.035468398","-0.068330574","53.9424684","0.39698308","0.431855899","1.522056675","1.565350821","18","20","234.3713436","-93.5377561099999895","44.0649324699999951","-93.5377175099999931","44.0648938699999917","1151.290283000000045","16.049493790000000","13023.604740000000675","232.564086900000007","23.677465439999999","1522.098510999999917","-93.537736809999998","44.064913169999997"
"1001","2020","6302020","59.248","85.908","54.932","68.0882628","0.201527294","0.183664471","0.295486788","0.639428226","57.636","-0.014797489","-0.044996202","57.65079749","0.355342309","0.387931605","1.449972995","1.48695694","17","1","158.5800441","-93.5377175099999931","44.0656658699999966","-93.5376789099999968","44.0656272699999931","1157.193878000000041","17.780971050000002","9459.528808999999455","168.919975300000004","17.943056580000000","1153.530029000000013","-93.537698210000002","44.065646569999991"
"1002","2020","6302020","59.699","86.436","53.34","68.02036042","0.209271417","0.182960961","0.288129748","0.617103984","59.833","-0.014324602","-0.058954756","59.8473246","0.354069545","0.40231117","1.447863448","1.50319728","17","2","142.901167","-93.5377175099999931","44.0656272699999931","-93.5376789099999968","44.0655886699999897","1156.500518999999940","17.684610370000001","8841.802734000000783","157.889152499999994","14.801194910000000","951.882797200000027","-93.537698210000002","44.065607969999988"
"1003","2020","6302020","60.288","87.259","54.837","68.93444372","0.205055879","0.18279599","0.290917916","0.628439473","59.393","-0.014110799","-0.051818326","59.4071108","0.353770946","0.394511206","1.447369294","1.493773322","17","3","181.3994432","-93.5377175099999931","44.0655886699999968","-93.5376789099999968","44.0655500699999934","1156.012664999999970","17.901661870000002","9446.510742000000391","168.687496199999998","14.424180509999999","927.556900000000041","-93.537698210000002","44.065569369999992"
"1004","2020","6302020","53.353","78.983","49.728","62.0691305","0.210249495","0.193673679","0.310260507","0.629603839","54.885","-0.023556552","-0.051431365","54.90855655","0.373343435","0.403216055","1.480385358","1.515481173","17","4","176.4938743","-93.5377175099999931","44.0655500699999934","-93.5376789099999968","44.0655114699999899","1156.868987999999945","17.772092340000000","10338.098389999999199","184.608699800000011","14.400709150000001","925.631469700000025","-93.537698210000002","44.065530769999995"
"1005","2020","6302020","52.87","78.298","49.368","61.54405774","0.21001105","0.193858258","0.310855746","0.630514189","54.358","-0.023707183","-0.050864094","54.38170718","0.373673484","0.402771581","1.480953282","1.515139764","17","5","169.0801151","-93.5377175099999931","44.0655114699999970","-93.5376789099999968","44.0654728699999936","1157.644592000000102","17.126425739999998","9678.452880999999252","172.829296099999993","13.789376259999999","886.549560499999984","-93.537698210000002","44.065492169999999"
"1006","2020","6302020","56.714","82.863","51.758","65.22178861","0.208805316","0.18734462","0.297760166","0.624621363","57.254","-0.018101236","-0.054364335","57.27210124","0.361984312","0.401040798","1.461067814","1.506241932","17","6","183.9054071","-93.5377175099999931","44.0654728699999936","-93.5376789099999968","44.0654342699999901","1157.959106000000020","16.566169739999999","10071.788819999999760","179.853153200000008","18.890300750000002","1214.416199000000006","-93.537698210000002","44.065453569999981"
