Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Crop Flw(M,Crop Flw(V,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,X,Y
"10","2021","7122021","43.381","65.58","37.487","50.29222183","0.237195087","0.203733446","0.310588466","0.571622446","50.292","-0.033094341","-0.089439255","50.32509434","0.391228065","0.451245306","1.511721721","1.587049008","35","10","217.2334685",-93.531126123000007,44.077681611999999,-93.531087123000006,44.077642611999998,22.856642828999899,1469.352308485000094,1149.698459201000105,14.982887904000000,11941.481228299000577,213.240485296998997,"-93.531098436763500","44.077668660989190"
"100","2021","7122021","47.079","68.731","40.102","53.38087362","0.223826249","0.186961402","0.285993554","0.583463066","50.281","-0.018089692","-0.080739135","50.29908969","0.361293932","0.428921033","1.459907815","1.540006705","32","4","221.0705254",-93.531009123000004,44.077915611999998,-93.530970123000003,44.077876611999997,24.395855586000000,1568.304402668989951,1148.932088216000011,15.534576893000001,12985.621256509899467,231.885823568000006,"-93.530981436763511","44.077902660989189"
"1000","2021","7122021","44.014","64.905","37.321","50.14229174","0.229581567","0.191803083","0.291781893","0.575009629","48.475","-0.02246581","-0.086539934","48.49746581","0.369994647","0.438920313","1.474644431","1.557910933","4","8","200.0806134",-93.529917123000004,44.077759612000001,-93.529878123000003,44.077720612000000,17.781073782000000,1143.067837184989912,1146.668877496000050,15.872769355999900,10789.630425347000710,192.671722412000008,"-93.529889436763497","44.077746660989192"
"1001","2021","7122021","43.385","63.678","36.391","49.19841051","0.229708592","0.189542606","0.287143423","0.571484657","47.58","-0.020487404","-0.08874343","47.6004874","0.365938364","0.439508532","1.467742307","1.556226841","4","9","204.6682821",-93.529917123000004,44.077720612000000,-93.529878123000003,44.077681611999999,21.049883736999899,1353.204549154000006,1146.556016709989990,15.901755969000000,12275.215386284900887,219.199995252999003,"-93.529889436763497","44.077707660989184"
"1002","2021","7122021","43.522","64.188","36.985","49.60562486","0.229166567","0.19186705","0.292202192","0.576198043","47.869","-0.022510799","-0.085759701","47.8915108","0.370109281","0.438140157","1.474840311","1.556978129","4","10","223.711903",-93.529917123000004,44.077681611999999,-93.529878123000003,44.077642611999998,18.681681951000002,1200.964063855989934,1146.621893989000000,15.948642837000000,11643.570638020899423,207.920633952000003,"-93.529889436763497","44.077668660989190"
"1003","2021","7122021","43.211","63.946","36.829","49.37157306","0.230132928","0.193501125","0.294832784","0.575939074","47.852","-0.02396483","-0.086018085","47.87596483","0.373034824","0.439691772","1.479854667","1.560740601","4","11","218.1897915",-93.529917123000004,44.077642611999998,-93.529878123000003,44.077603611999997,20.433314217000000,1313.567328559000089,1146.769599066989940,16.032103962000001,13614.132595486000355,243.109242757000004,"-93.529889436763497","44.077629660989189"
"1004","2021","7122021","43.609","64.727","37.264","49.93307223","0.230978429","0.194930586","0.297135299","0.575710291","48.581","-0.025236264","-0.086245879","48.60623626","0.375589546","0.441049322","1.484257837","1.564043427","4","12","245.0237422",-93.529917123000004,44.077603612000004,-93.529878123000003,44.077564612000003,16.919263416000000,1087.666395399000066,1146.911349826000105,16.114849513999900,11724.395399306000400,209.363964505000013,"-93.529889436763497","44.077590660989195"
"1005","2021","7122021","42.68","62.938","36.417","48.67912671","0.228220302","0.191804427","0.292741434","0.578617052","46.779","-0.022431091","-0.084163762","46.80143109","0.369997056","0.436393371","1.474648547","1.554672687","4","13","195.9418745",-93.529917123000004,44.077564612000003,-93.529878123000003,44.077525612000002,18.167485714000001,1167.912129719989935,1146.763814290000028,16.154747009000001,11101.721028645899423,198.244773865000013,"-93.529889436763497","44.077551660989187"
"1006","2021","7122021","41.621","62.044","35.907","47.85769958","0.230934053","0.197009598","0.301410904","0.578734447","46.56","-0.027044106","-0.084359327","46.58704411","0.379297601","0.440680712","1.490689796","1.56582671","4","14","200.05412",-93.529917123000004,44.077525612000002,-93.529878123000003,44.077486612000001,17.542175504999900,1127.712287054989929,1146.677802191989940,16.162590981000001,10845.934027777899246,193.677140978000011,"-93.529889436763497","44.077512660989193"
"1007","2021","7122021","41.771","62.222","35.405","47.85362316","0.234441028","0.196657467","0.298171692","0.569010961","47.268","-0.026848305","-0.090783225","47.2948483","0.378670184","0.447188894","1.489598046","1.573917322","4","15","211.9593932",-93.529917123000004,44.077486612000001,-93.529878123000003,44.077447612000000,16.288088057000000,1047.091274684989912,1146.430107963989940,16.169283125000000,11797.019097222000710,210.660825941000013,"-93.529889436763497","44.077473660989192"
"1008","2021","7122021","43.376","64.576","36.868","49.70173228","0.233567021","0.196383578","0.298238704","0.570924182","48.908","-0.026581964","-0.089495926","48.93458196","0.378181996","0.44561687","1.488749539","1.571561619","4","16","230.9508736",-93.529917123000004,44.077447612000000,-93.529878123000003,44.077408611999999,18.187669754000002,1169.208346896989951,1146.188693576000105,16.274866740000000,12483.903211806000400,222.926596748000009,"-93.529889436763497","44.077434660989191"
"1009","2021","7122021","46.534","68.946","39.374","53.13277691","0.23227882","0.194076896","0.294484009","0.571084617","51.984","-0.024528911","-0.089260852","52.00852891","0.374064344","0.443580095","1.481626338","1.566395591","4","17","208.2493594",-93.529917123000004,44.077408611999999,-93.529878123000003,44.077369611999998,19.354290643999899,1244.202223036000078,1145.875610351989963,16.355805502999900,11273.887044270899423,201.319157918000002,"-93.529889436763497","44.077395660989190"
"101","2021","7122021","45.667","66.703","38.621","51.72474179","0.225628635","0.18720299","0.285237766","0.578999445","49.118","-0.018340166","-0.083671212","49.13634017","0.361729195","0.432252854","1.460638973","1.544465746","32","5","221.3407396",-93.531009123000004,44.077876612000004,-93.530970123000003,44.077837612000003,23.432750702000000,1506.391174315989929,1148.444824219000111,15.603596052000000,12140.631347656000798,216.796735127999000,"-93.530981436763511","44.077863660989195"
"1010","2021","7122021","46.262","69.519","40.039","53.46707874","0.234034055","0.200870609","0.307055531","0.575943267","52.737","-0.030498011","-0.08640996","52.76749801","0.386160046","0.445853233","1.502723618","1.576782988","4","18","208.5005895",-93.529917123000004,44.077369611999998,-93.529878123000003,44.077330611999997,19.610613186999899,1260.679511176000005,1145.509087457000078,16.338355382000000,11463.400065104000532,204.703304715000002,"-93.529889436763497","44.077356660989189"
"1011","2021","7122021","43.029","65.087","36.432","49.71620472","0.24191094","0.204021606","0.307711623","0.559743113","50.713","-0.033527963","-0.09742231","50.74652796","0.391737223","0.45980496","1.512631016","1.598827668","4","19","212.5416879",-93.529917123000004,44.077330612000004,-93.529878123000003,44.077291612000003,18.567378680000001,1193.614142524000044,1145.289740667989918,16.243424522000002,11557.928602431000400,206.391318426998993,"-93.529889436763497","44.077317660989195"
"1012","2021","7122021","44.207","66.692","37.793","51.08943975","0.238569253","0.202752054","0.307567094","0.566679662","51.384","-0.03229629","-0.092686896","51.41629629","0.389492688","0.453884197","1.508629855","1.589473275","4","20","207.1978358",-93.529917123000004,44.077291612000003,-93.529878123000003,44.077252612000002,20.462340991000001,1315.432779947989957,1145.223470052000039,16.281209627999900,12472.266113281000798,222.718757629000010,"-93.529889436763497","44.077278660989194"
"1013","2021","7122021","42.436","64.427","35.991","49.14944729","0.243278448","0.205786849","0.310291794","0.55863225","50.427","-0.035116973","-0.098279362","50.46211697","0.394852398","0.462038365","1.518215666","1.603823099","4","21","210.7084981",-93.529917123000004,44.077252612000002,-93.529878123000003,44.077213612000001,19.786763721000000,1272.003621418989951,1145.254597981989946,16.188289007000002,11145.806423611000355,199.031985813000006,"-93.529889436763497","44.077239660989193"
"1014","2021","7122021","45.102","68.081","38.711","52.17839427","0.237977043","0.203025189","0.308558921","0.568602106","52.349","-0.03251083","-0.091416382","52.38151083","0.389975874","0.452765146","1.509489601","1.588285149","4","22","199.8101557",-93.529917123000004,44.077213612000001,-93.529878123000003,44.077174612000000,21.300212647999899,1369.295071071989923,1145.055447048989890,16.208190070000001,11567.405598957899201,206.560538398000006,"-93.529889436763497","44.077200660989192"
"1015","2021","7122021","44.175","66.152","37.537","50.78235946","0.236393541","0.199198746","0.301923341","0.567435603","50.592","-0.029128118","-0.091977763","50.62112812","0.383192364","0.450408051","1.497498585","1.580939247","4","23","200.5153774",-93.529917123000004,44.077174612000000,-93.529878123000003,44.077135611999999,18.497096062000001,1189.095757377989912,1144.979871962000061,16.152943187000002,10190.087782118000177,181.965627035000011,"-93.529889436763497","44.077161660989191"
"1016","2021","7122021","45.885","68.027","38.903","52.42947442","0.232138814","0.194378116","0.295191244","0.571875873","51.266","-0.024788143","-0.088753067","51.29078814","0.374602675","0.44327541","1.482554212","1.566327482","4","24","202.1107195",-93.529917123000004,44.077135611999999,-93.529878123000003,44.077096611999998,19.242122861999899,1236.991780599000094,1144.932142469989913,16.103654649999900,10781.449978299000577,192.525646633999003,"-93.529889436763497","44.077122660989197"
"1017","2021","7122021","45.126","67.022","38.713","51.72684902","0.230421832","0.195242002","0.298168448","0.577616305","50.205","-0.025491015","-0.085004077","50.23049101","0.376145546","0.439978308","1.485219164","1.562997769","4","25","207.624072",-93.529917123000004,44.077096611999998,-93.529878123000003,44.077057611999997,17.166249593000000,1103.543911404000028,1144.746120877000067,16.041394552000000,10518.359700520899423,187.827616374000002,"-93.529889436763497","44.077083660989189"
"1018","2021","7122021","45.142","67.181","38.586","51.76860799","0.232170205","0.196210927","0.298886583","0.574358822","50.634","-0.026388088","-0.087208848","50.66038809","0.37787418","0.443065916","1.488214966","1.568050202","4","26","195.1707639",-93.529917123000004,44.077057612000004,-93.529878123000003,44.077018612000003,17.147178967999899,1102.317291260000047,1144.404825845989990,15.815089543999900,10948.857584634899467,195.515106201000009,"-93.529889436763497","44.077044660989195"
"1019","2021","7122021","43.364","64.284","36.744","49.54119729","0.232226035","0.194337099","0.295046824","0.571588576","48.46","-0.024754834","-0.088941216","48.48475483","0.374529381","0.443443025","1.48242782","1.56650052","4","27","193.9421164",-93.529917123000004,44.077018612000003,-93.529878123000003,44.076979612000002,15.325345357000000,985.199591743000042,1144.330227321989923,15.721570439000001,10906.442165799000577,194.757659912000008,"-93.529889436763497","44.077005660989194"
"102","2021","7122021","46.28","68.005","39.218","52.61359124","0.228036911","0.190094938","0.289408129","0.57669289","50.512","-0.020931187","-0.085339049","50.53293119","0.366930446","0.43630538","1.469425238","1.55271886","32","6","219.3729954",-93.531009123000004,44.077837612000003,-93.530970123000003,44.077798612000002,23.072285969999900,1483.217773437989990,1148.113586425989979,15.549372673000001,12335.915852865000488,220.283983866000000,"-93.530981436763511","44.077824660989201"
"1020","2021","7122021","44.03","65.451","37.756","50.49088973","0.230929813","0.195659521","0.298654583","0.576859024","49.116","-0.025869856","-0.085526057","49.14186986","0.376890669","0.440856927","1.486509198","1.564586515","4","28","193.3664236",-93.529917123000004,44.076979612000002,-93.529878123000003,44.076940612000001,19.566529804000002,1257.844184027989968,1145.304850259989962,15.464017020000000,11438.741427950899379,204.262986925000007,"-93.529889436763497","44.076966660989186"
