Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac,left,top,right,bottom,Crop Flw(M,Crop Flw(V,Elevation(,Moisture(%,Yld Mass(D,Yld Vol(Dr,id_old,X,Y
"1000","2022","7132022","71.464","105.74","65.63","82.85599515","0.213400885","0.193426785","0.307204187","0.62067335","74.386","-0.023433292","-0.057067791","74.40943329","0.37290185","0.408966804","1.479626105","1.522186838","5","8","234.6136114",-93.529918931000012,44.077772119000002,-93.529879931000011,44.077733119000001,21.445978480000001,1378.032271000000037,1144.984500999999909,18.343121969999999,12617.809800000000905,225.317794800000001,1196,"-93.529936170859315","44.077728448039935"
"1001","2022","7132022","72.271","104.99","64.322","82.42838756","0.211750483","0.184580929","0.289705062","0.612648824","73.387","-0.015773461","-0.061838788","73.40277346","0.356998864","0.406743361","1.452726543","1.510202477","5","9","235.3016744",-93.529918931000012,44.077733119000001,-93.529879931000011,44.077694119000000,20.089001870000001,1290.613229999999930,1144.674350000000004,18.378408640000000,12522.519340000000739,223.616190600000010,1197,"-93.529936170859315","44.077689448039933"
"1002","2022","7132022","74.699","105.55","67.089","84.1064346","0.196413593","0.171157676","0.272631672","0.635613453","69.312","-0.003927419","-0.047002078","69.31592742","0.332572653","0.379470878","1.41300419","1.464476426","5","10","235.3224912",-93.529918931000012,44.077694119000000,-93.529879931000011,44.077655118999999,18.870314230000002,1212.318596999999954,1144.504079000000047,18.439327400000000,12175.476160000000164,217.418974999999989,1198,"-93.529936170859315","44.077650448039932"
"1003","2022","7132022","68.715","100.25","59.21","78.05476245","0.220978915","0.186636286","0.287321762","0.590623441","72.575","-0.017745152","-0.076064424","72.59274515","0.360707993","0.423654927","1.458924543","1.533075141","5","11","214.6295961",-93.529918931000012,44.077655118999999,-93.529879931000011,44.077616118999998,19.452807220000000,1249.732449000000088,1144.483531000000085,18.449579660000001,12410.773870000000898,221.620725800000002,1199,"-93.529936170859315","44.077611448039931"
"1004","2022","7132022","73.796","106.11","65.831","83.74346199","0.206319792","0.179616022","0.283269779","0.620403355","72.593","-0.01137639","-0.056754172","72.60437639","0.348004744","0.397165112","1.437882812","1.493623306","5","12","239.3317461",-93.529918931000012,44.077616119000005,-93.529879931000011,44.077577119000004,20.406565789999998,1311.176347000000078,1144.615759000000025,18.472988319999999,12654.081930000000284,225.965506000000005,1200,"-93.529936170859315","44.077572448039938"
"1005","2022","7132022","72.112","104.73","63.67","82.10233928","0.213409724","0.184447134","0.288216167","0.607944238","73.678","-0.015688199","-0.064828366","73.6936882","0.356757124","0.409839769","1.452324162","1.51380442","5","13","230.1133018",-93.529918931000012,44.077577119000004,-93.529879931000011,44.077538119000003,20.817467369999999,1337.493222000000060,1144.683905999999979,18.507133060000001,12665.718699999999444,226.173299200000002,1201,"-93.529936170859315","44.077533448039937"
"1006","2022","7132022","70.324","104.48","62.068","81.06370334","0.224308046","0.195395986","0.302973318","0.59406585","76.568","-0.025441589","-0.074237563","76.59344159","0.376420396","0.428717094","1.485694784","1.548781401","5","14","234.8023394",-93.529918931000012,44.077538119000003,-93.529879931000011,44.077499119000002,21.290709759999999,1368.059238000000050,1144.837897000000112,18.472988919999999,12498.251089999999749,223.182803699999994,1202,"-93.529936170859315","44.077494448039936"
"1007","2022","7132022","71.669","104.39","63.607","81.8119146","0.21363964","0.18585247","0.290977484","0.609320816","73.504","-0.016912704","-0.064006576","73.5209127","0.359294498","0.410109597","1.456557228","1.515604041","5","15","229.9321522",-93.529918931000012,44.077499119000002,-93.529879931000011,44.077460119000001,21.786122750000001,1400.055714999999964,1145.152448999999933,18.461441829999998,12395.938910000000760,221.355805299999986,1203,"-93.529936170859315","44.077455448039935"
"1008","2022","7132022","73.248","105.46","64.401","82.93485376","0.210205153","0.180249345","0.281802514","0.610667552","73.271","-0.011981457","-0.062928974","73.28298146","0.349154715","0.404352831","1.439766273","1.502822706","5","16","226.0906042",-93.529918931000012,44.077460119000001,-93.529879931000011,44.077421119000000,21.088362499999999,1355.120548999999983,1145.490950999999995,18.422166820000001,11977.829359999999724,213.889562500000011,1204,"-93.529936170859315","44.077416448039934"
"1009","2022","7132022","72.489","105.38","63.327","82.40127113","0.216241171","0.184916989","0.287152311","0.600939457","74.944","-0.016150351","-0.069330337","74.96015035","0.357605898","0.415052216","1.453737808","1.520644128","5","17","220.5814312",-93.529918931000012,44.077421119000000,-93.529879931000011,44.077382118999999,19.958293909999998,1282.379953999999998,1145.764713000000029,18.342718649999998,11814.714250000000902,210.976787099999996,1205,"-93.529936170859315","44.077377448039933"
