Extract_GALa1_crp_fw_v,Plot
1155.84866333,1
1207.090423584,2
1066.707366943,3
1122.988342285,4
954.752044678,5
1232.124481201,6
1437.974121094,7
1502.878112793,8
1537.404510498,9
1540.744018555,10
1614.308532715,11
1705.247436523,12
1677.750732422,13
1616.564361572,14
1624.870330811,15
1685.440246582,16
1725.25189209,17
1730.444793701,18
1715.539031982,19
1682.686126709,20
1217.986877441,21
1234.447357178,22
1110.873321533,23
1149.359680176,24
925.205001831,25
1239.297576904,26
1501.343231201,27
1552.046691895,28
1541.960754395,29
1555.857299805,30
1597.43762207,31
1618.55380249,32
1586.524169922,33
1573.267028809,34
1624.088989258,35
1677.176605225,36
1686.135253906,37
1670.959838867,38
1670.871490479,39
1649.083374023,40
1261.121490479,41
1250.397338867,42
1124.137023926,43
1221.049743652,44
1005.64151001,45
1323.601226807,46
1567.889251709,47
1617.42288208,48
1580.589508057,49
1578.38760376,50
1581.937805176,51
1570.627807617,52
1539.759460449,53
1550.50213623,54
1609.100280762,55
1645.690307617,56
1634.824859619,57
1594.643890381,58
1600.014007568,59
1593.283050537,60
1271.778564453,61
1195.675872803,62
1123.999023438,63
1246.015808105,64
1206.2421875,65
1434.600708008,66
1583.105407715,67
1653.617218018,68
1614.933410645,69
1588.864105225,70
1573.723632812,71
1622.470031738,72
1630.684448242,73
1606.661651611,74
1579.844299316,75
1570.722503662,76
1603.890777588,77
1579.064086914,78
1558.519012451,79
1598.371002197,80
1275.5887146,81
1168.013092041,82
1114.597961426,83
1219.943634033,84
1089.526351929,85
1428.974365234,86
1626.527496338,87
1624.245147705,88
1595.40536499,89
1558.151397705,90
1567.024780273,91
1595.315765381,92
1585.560058594,93
1581.684661865,94
1588.614685059,95
1553.404937744,96
1550.97076416,97
1566.544403076,98
1573.108764648,99
1540.982849121,100
1299.921173096,101
1204.17678833,102
1078.668609619,103
1164.769897461,104
987.888320923,105
1375.691894531,106
1593.348999023,107
1592.819702148,108
1575.598022461,109
1536.368560791,110
1552.968017578,111
1587.356140137,112
1577.412719727,113
1575.293029785,114
1584.664520264,115
1554.63293457,116
1552.47845459,117
1605.410949707,118
1624.379364014,119
1530.339599609,120
1310.649505615,121
1215.400268555,122
1035.191421509,123
1159.628387451,124
953.531448364,125
1329.97946167,126
1523.550201416,127
1537.381286621,128
1535.513061523,129
1484.310028076,130
1494.535491943,131
1559.178222656,132
1565.864501953,133
1552.814178467,134
1531.310943604,135
1555.088653564,136
1592.786254883,137
1664.45526123,138
1683.04699707,139
1592.05557251,140
1289.671234131,141
1219.11114502,142
1004.553115845,143
1209.269042969,144
1055.731826782,145
1336.127990723,146
1454.78137207,147
1388.150512695,148
1331.883300781,149
1284.805541992,150
1243.595672607,151
1245.069244385,152
1245.500732422,153
1253.199981689,154
1378.108978271,155
1501.844146729,156
1602.970245361,157
1631.367279053,158
1642.103027344,159
1670.383056641,160
1270.489990234,161
1264.625640869,162
1003.104248047,163
1187.711608887,164
1109.627380371,165
1280.775634766,166
1362.567138672,167
1295.810394287,168
1191.125610352,169
1083.878448486,170
1027.553497314,171
1068.310272217,172
1137.686035156,173
1231.843353271,174
1416.143951416,175
1596.879333496,176
1697.440307617,177
1711.043518066,178
1709.839233398,179
1738.937835693,180
1277.01348877,181
1278.173950195,182
1014.751037598,183
1137.58782959,184
1070.768157959,185
1254.512664795,186
1364.171264648,187
1336.550201416,188
1234.890441895,189
1102.009796143,190
1048.738830566,191
1141.280090332,192
1269.561950684,193
1380.960876465,194
1519.97064209,195
1667.51361084,196
1748.617462158,197
1765.066711426,198
1752.448364258,199
1755.289215088,200
1271.827941895,201
1294.919616699,202
1038.484436035,203
1083.32635498,204
917.204376221,205
1207.199279785,206
1435.832946777,207
1434.44708252,208
1362.683776855,209
1311.308959961,210
1256.246887207,211
1256.356628418,212
1327.512451172,213
1425.196899414,214
1531.345825195,215
1595.602966309,216
1605.407287598,217
1627.528198242,218
1645.605407715,219
1645.611816406,220
1253.789123535,221
1334.239074707,222
1087.42401123,223
1043.206756592,224
890.959121704,225
