Extract_GALa2_dry_mass,Plot
9881.252929688,1
9763.231445312,2
9469.477050781,3
9970.065673828,4
10415.728271484,5
10862.17578125,6
11757.695800781,7
12164.602783203,8
12201.962402344,9
12222.727294922,10
12429.549804688,11
12611.780029297,12
12538.033691406,13
12389.353515625,14
12383.534667969,15
12609.100097656,16
12775.264892578,17
12807.923095703,18
12755.610351562,19
12686.688720703,20
10212.429931641,21
10002.147216797,22
9690.024902344,23
10285.619873047,24
10750.502929688,25
11100.281982422,26
11857.551025391,27
12290.759033203,28
12267.000244141,29
12267.008544922,30
12384.281982422,31
12421.361572266,32
12369.940917969,33
12334.197998047,34
12542.486083984,35
12792.479980469,36
12866.846923828,37
12857.232177734,38
12829.196777344,39
12770.460449219,40
10472.211181641,41
10160.882568359,42
9979.788330078,43
10771.028320312,44
11152.923095703,45
11279.360107422,46
12083.785644531,47
12465.86328125,48
12395.222412109,49
12288.095458984,50
12301.447753906,51
12313.896972656,52
12286.147460938,53
12321.906005859,54
12554.615234375,55
12741.522460938,56
12744.337158203,57
12659.145263672,58
12630.526123047,59
12553.017578125,60
10547.740234375,61
10086.859375,62
10123.199462891,63
11192.654785156,64
11424.431640625,65
11740.846923828,66
12441.180664062,67
12666.817626953,68
12547.91015625,69
12381.937011719,70
12387.910400391,71
12469.818603516,72
12478.256835938,73
12416.044677734,74
12445.774169922,75
12422.688720703,76
12361.787353516,77
12336.224853516,78
12343.601074219,79
12261.862548828,80
10589.249023438,81
10009.681884766,82
9812.193603516,83
10412.796875,84
11161.491943359,85
12143.588623047,86
12763.230957031,87
12960.305175781,88
12807.505615234,89
12619.651367188,90
12632.665283203,91
12749.090576172,92
12760.33984375,93
12778.502929688,94
12767.715576172,95
12670.127197266,96
12599.442382812,97
12674.907714844,98
12675.529541016,99
12463.730957031,100
10678.294921875,101
10048.247802734,102
9490.776123047,103
10222.3125,104
11536.835449219,105
12497.37890625,106
12823.754882812,107
12837.029296875,108
12676.742919922,109
12513.975830078,110
12552.711425781,111
12706.098632812,112
12762.198730469,113
12778.079101562,114
12791.555908203,115
12718.295410156,116
12745.463623047,117
12973.000976562,118
12980.721679688,119
12654.991943359,120
10721.631347656,121
10060.762939453,122
9333.718261719,123
10145.169433594,124
11744.811279297,125
12393.049072266,126
12391.303466797,127
12130.62890625,128
11953.484619141,129
11647.149902344,130
11714.197753906,131
11941.491210938,132
12024.330078125,133
12047.782470703,134
12136.7421875,135
12314.725341797,136
12596.323974609,137
12913.482910156,138
12978.301513672,139
12694.908691406,140
10696.341552734,141
10058.039306641,142
9313.454345703,143
9786.468261719,144
10664.757568359,145
11317.3828125,146
11213.559326172,147
10907.442626953,148
10497.005371094,149
10135.174560547,150
9931.403808594,151
10035.202880859,152
10197.837890625,153
10454.230712891,154
11121.493896484,155
12001.54296875,156
12579.003662109,157
12865.192871094,158
12950.137451172,159
12903.295166016,160
10658.325195312,161
10139.137695312,162
9364.463623047,163
