Extract_GALa2_moist,Plot
17.44918108,1
17.639692307,2
17.951147556,3
17.811791897,4
17.142653465,5
16.915897846,6
17.355565548,7
17.798069,8
17.941862583,9
17.942246914,10
17.93947649,11
17.949071407,12
17.970368385,13
18.004888058,14
18.100842953,15
18.17602396,16
18.190014839,17
18.150998592,18
18.119730473,19
18.131776333,20
17.395799637,21
17.592308998,22
17.912765026,23
17.875177383,24
17.377613068,25
17.125090599,26
17.541055202,27
17.840802193,28
17.927426338,29
17.901920795,30
17.875244617,31
17.875715256,32
17.890486717,33
17.92333746,34
17.985312939,35
18.042723179,36
18.035467625,37
17.986535072,38
17.928319454,39
17.919959068,40
17.332022667,41
17.528193951,42
17.909514904,43
18.172327995,44
18.104959965,45
17.903306484,46
17.950131416,47
18.009157658,48
17.995069981,49
17.943650723,50
17.911017418,51
17.911399364,52
17.911186218,53
17.931568146,54
17.965646744,55
17.996563435,56
17.984592915,57
17.923492908,58
17.850083828,59
17.813617706,60
17.26971674,61
17.470114708,62
17.857662678,63
18.154491901,64
18.216376781,65
18.133174419,66
18.102512836,67
18.087451935,68
18.060118675,69
18.021985531,70
17.990787983,71
17.980545521,72
17.977515221,73
18.005053997,74
18.03384161,75
18.058579445,76
18.04910326,77
17.976377964,78
17.899495125,79
17.840139389,80
17.233131886,81
17.427486897,82
17.801770687,83
18.078628063,84
18.146774769,85
18.123139858,86
18.110765457,87
18.126797676,88
18.118669987,89
18.088139057,90
18.045600414,91
18.003872871,92
17.9818964,93
17.979193211,94
18.012439251,95
18.041949749,96
18.028317928,97
17.996917725,98
17.939359188,99
17.909067631,100
17.20559454,101
17.379160404,102
17.723694801,103
17.953718662,104
18.006242275,105
17.947201729,106
18.019711018,107
18.077318192,108
18.097309589,109
18.094249249,110
18.059005737,111
18.022163868,112
17.99642849,113
17.981533527,114
17.985031605,115
17.98669672,116
17.961085796,117
17.933492184,118
17.922848701,119
17.955239296,120
17.177191734,121
17.328242779,122
17.684485912,123
17.867553711,124
17.737205505,125
17.541413307,126
17.65571785,127
17.78044939,128
17.879502773,129
17.925428391,130
17.969346523,131
17.992768764,132
18.012159348,133
18.023024559,134
18.02579546,135
18.001968861,136
17.94994545,137
17.894759178,138
17.903577328,139
17.974556446,140
17.153731346,141
17.293792248,142
17.64438343,143
17.762718678,144
17.530435562,145
17.212509155,146
17.198479176,147
17.345620632,148
17.491091728,149
17.59142065,150
17.652628422,151
17.734528065,152
17.761787415,153
17.820339203,154
17.821860313,155
17.800906181,156
17.742768764,157
17.687129498,158
17.745010853,159
17.865481853,160
17.144752502,161
17.260047436,162
17.650140285,163
17.813281536,164
17.594065189,165
17.173896313,166
17.129924774,167
17.178981781,168
17.241440296,169
17.261321068,170
17.263742924,171
17.231273174,172
17.287514687,173
17.268641472,174
17.22208643,175
17.19764328,176
17.142593861,177
17.15919733,178
17.26717186,179
17.424430847,180
17.15596199,181
17.259996414,182
17.66464138,183
17.912159443,184
17.73642683,185
17.337895393,186
17.280833244,187
17.284519196,188
17.272361279,189
17.239890099,190
17.180225372,191
17.109771252,192
17.081215858,193
17.011403084,194
16.921147823,195
16.902780056,196
16.870947361,197
16.919536114,198
17.000014782,199
17.170589924,200
17.172478676,201
17.28087616,202
17.6760149,203
17.890130997,204
17.803719521,205
17.544723511,206
17.446537971,207
17.447446823,208
17.427000999,209
17.397413254,210
17.350914001,211
17.316915512,212
17.27734375,213
17.227784157,214
17.143918037,215
17.109796524,216
17.081154823,217
17.108908653,218
17.218160629,219
17.304115295,220
17.182144165,221
17.306338787,222
17.675536156,223
17.834225655,224
17.786792755,225
17.603302956,226
17.654583931,227
17.678033829,228
17.680970192,229
17.650771618,230
17.614643097,231
17.600772381,232
17.618360519,233
17.593147278,234
17.57004261,235
17.507533073,236
17.499536991,237
17.517328262,238
17.530465603,239
17.576361179,240
17.179922104,241
17.326232433,242
17.705488682,243
17.869456768,244
17.818230629,245
17.769289017,246
17.925528526,247
17.952898979,248
17.919185638,249
17.851827145,250
17.774264812,251
17.755146503,252
17.766170502,253
17.772154808,254
17.75260973,255
17.728412628,256
17.714026451,257
17.712016582,258
17.706888676,259
17.707611084,260
17.162458897,261
17.323223591,262
17.71034956,263
17.948324203,264
17.927798748,265
17.867556095,266
17.946959972,267
17.937688828,268
17.868439674,269
17.772618771,270
17.682934284,271
17.640231609,272
17.638114929,273
17.631505013,274
17.602619171,275
17.585195065,276
17.582880497,277
17.592766285,278
17.602933407,279
17.642458439,280
17.142222404,281
17.287139416,282
17.691934586,283
17.961833477,284
17.92180872,285
17.743659019,286
17.652836323,287
17.587844849,288
17.499866486,289
17.401649952,290
17.331301212,291
17.288343906,292
17.257918358,293
17.187128544,294
17.118793488,295
17.094856262,296
17.115718842,297
17.141453266,298
17.171969891,299
17.217841148,300
17.137405872,301
17.251657486,302
17.614264488,303
17.837522984,304
17.699706554,305
17.37020731,306
17.242403507,307
17.168208599,308
17.076285362,309
16.998923302,310
16.943039417,311
16.869383335,312
16.80697155,313
16.723922729,314
16.633560658,315
16.591351032,316
16.58742094,317
16.595620632,318
16.605418682,319
16.616981983,320
17.157127857,321
17.259344578,322
17.55993557,323
17.721745014,324
17.517448425,325
17.134385586,326
17.028321743,327
16.942416191,328
16.862407207,329
16.779838562,330
16.695338249,331
16.611796379,332
16.546470642,333
16.484189987,334
16.406662941,335
16.369209766,336
16.347814083,337
16.323794842,338
16.309047222,339
16.303910255,340
17.191572666,341
17.272916794,342
17.561486721,343
17.710987568,344
17.449182034,345
17.004315853,346
16.886005402,347
16.817548752,348
16.736937046,349
16.637661934,350
16.528687,351
16.44696188,352
16.398143768,353
16.364456177,354
16.323466778,355
16.285370827,356
16.240876198,357
16.195981026,358
16.171299458,359
16.153860092,360
17.245292187,361
17.361795902,362
17.651792049,363
17.701883793,364
17.376942158,365
16.959431648,366
16.810245514,367
16.743920803,368
16.657072067,369
16.551843166,370
16.465083599,371
16.411664009,372
16.384127617,373
16.355185986,374
16.325933933,375
16.286487103,376
16.239304543,377
16.198301792,378
16.161190987,379
16.144854546,380
17.29684782,381
17.460056305,382
17.734090328,383
17.83696413,384
17.431473732,385
17.010435104,386
16.905735016,387
16.832977295,388
16.748958588,389
16.671666622,390
16.610383511,391
16.584444523,392
16.56295681,393
16.541254997,394
16.508527756,395
16.479462624,396
16.453201771,397
16.418235779,398
16.38376236,399
16.356502056,400
17.345974922,401
17.49156332,402
17.76327467,403
17.837275982,404
17.569986343,405
17.162407875,406
17.129007339,407
17.087959766,408
17.023200035,409
16.964722157,410
16.930513859,411
16.886838436,412
16.844408989,413
16.820263863,414
16.780094147,415
16.765614033,416
16.733763695,417
16.709066391,418
16.681414604,419
16.633430004,420
17.391854763,421
17.503657341,422
17.784196854,423
17.866669178,424
17.551291943,425
17.22376585,426
17.262503147,427
17.266761303,428
17.245630264,429
17.205722809,430
17.162117004,431
17.111976624,432
17.040018082,433
17.008161545,434
16.981383801,435
16.957929134,436
16.94196701,437
16.911726475,438
16.878597736,439
16.81886816,440
17.435320854,441
17.593677044,442
17.861914635,443
17.927387238,444
17.541274071,445
17.113108158,446
17.128584385,447
17.138487816,448
17.135542393,449
17.118413448,450
17.073895454,451
16.997424126,452
16.944547653,453
16.920369625,454
16.916602612,455
16.923032284,456
16.906707287,457
16.866221428,458
16.832817078,459
16.783041477,460
17.450936317,461
17.644099712,462
17.963643551,463
17.984194279,464
17.538208485,465
16.979077816,466
16.842262268,467
16.827784061,468
16.811206341,469
16.800478935,470
16.762126446,471
16.708927155,472
16.673049927,473
16.658398628,474
16.670507908,475
16.680280209,476
16.662658691,477
16.627388477,478
16.60517025,479
16.599417686,480
17.455503464,481
17.561975479,482
17.746060371,483
17.894037247,484
17.3282938,485
16.759953499,486
16.6046381,487
16.567679405,488
16.545679092,489
16.528798103,490
16.524992943,491
16.519130707,492
16.481672287,493
16.483736992,494
16.498200417,495
16.501536369,496
16.49663353,497
16.4678545,498
16.467455864,499
16.4945755,500
17.4152174,501
17.355576992,502
17.556630611,503
17.612836838,504
17.133824825,505
16.565318584,506
16.458447933,507
16.399542809,508
16.369296551,509
16.362007141,510
16.386335373,511
16.389781952,512
16.384439468,513
16.390560627,514
16.401567459,515
16.410219193,516
16.424161911,517
16.430429935,518
16.451936722,519
16.49990797,520
17.475057602,521
17.349044323,522
17.573391438,523
17.670511246,524
17.18746233,525
16.620958805,526
16.513725281,527
16.45842123,528
16.428812981,529
16.426315784,530
16.447878838,531
16.444357395,532
16.440759659,533
16.422836781,534
16.420330048,535
16.435600758,536
16.470294952,537
16.509773254,538
16.564323425,539
16.623502254,540
17.478692055,541
17.577189445,542
17.875033855,543
17.923878193,544
17.418407917,545
16.926651955,546
16.768327713,547
16.731287956,548
16.710267544,549
16.677645206,550
16.640443802,551
16.601834297,552
16.567728996,553
16.542122364,554
16.534995079,555
16.542188168,556
16.577058315,557
16.620140553,558
16.676987171,559
16.744902134,560
17.480597973,561
