Extract_GALa_Crop_Flw_V,Plot
1280.633490668,1
1443.258694119,2
1521.806084527,3
1524.881429036,4
1567.327528212,5
1595.602471246,6
1514.80662028,7
1443.875257704,8
1508.230862088,9
1469.352308485,10
1447.994669596,11
1256.257459852,12
1052.579956055,13
1172.516140408,14
1370.534478082,15
1547.758232964,16
1634.879340278,17
1586.329155816,18
1535.008138021,19
1544.136474609,20
1407.088826497,21
1413.145874023,22
1383.975653754,23
1137.506157769,24
1219.686916775,25
1350.576253255,26
1357.935804579,27
1180.554307726,28
1238.059488932,29
1229.201538086,30
1128.803385417,31
1094.844563802,32
1394.79442003,33
1532.82421875,34
1606.543619792,35
1532.005615234,36
1500.167751736,37
1589.309014214,38
1517.650777181,39
1402.321953668,40
1440.068535699,41
1448.324462891,42
1420.463650174,43
1148.472473145,44
970.0080769860001,45
1134.321384006,46
1413.539510091,47
1591.192030165,48
1662.298570421,49
1637.149454753,50
1567.293986003,51
1524.070048014,52
1379.957573785,53
1430.987494575,54
1359.429958767,55
1120.637546115,56
1230.391777886,57
1292.690633138,58
1290.116238064,59
1158.20968967,60
1201.676093207,61
1214.044962565,62
1112.035468207,63
1083.02086046,64
1493.226453993,65
1555.935682509,66
1598.460639106,67
1554.995700412,68
1483.332722982,69
1533.005683051,70
1502.530721029,71
1394.171264648,72
1387.511067708,73
1417.641370985,74
1358.250623915,75
1046.707912869,76
929.742584229,77
1127.820366753,78
1456.948757595,79
1634.140096029,80
1679.454237196,81
1657.77231174,82
1541.947319878,83
1469.682596842,84
1354.51171875,85
1384.567084418,86
1347.368408203,87
1160.891805013,88
1228.851535373,89
1235.770406087,90
1224.200398763,91
1120.828789605,92
1192.21617296,93
1212.014906141,94
1097.762478299,95
1055.064561632,96
1532.758402507,97
1570.474019368,98
1574.850138346,99
1568.304402669,100
1506.391174316,101
1483.217773438,102
1464.508728027,103
1372.953959147,104
1383.237467448,105
1410.290100098,106
1317.046529134,107
983.521687826,108
919.24029541,109
1193.522135417,110
1507.509419759,111
1644.072062174,112
1677.704528809,113
1635.568603516,114
1475.337443034,115
1393.870239258,116
1318.053100586,117
1338.369812012,118
1379.031066895,119
1224.438130697,120
1187.861022949,121
1199.99597168,122
1198.024108887,123
1091.862447103,124
1210.06245931,125
1228.364420573,126
1081.925028483,127
991.770477295,128
1564.644110786,129
1610.874891493,130
1580.406561957,131
1587.753078885,132
1530.534505208,133
1465.134277344,134
1428.458353678,135
1351.7435574,136
1393.959988064,137
1416.437472873,138
1325.943183051,139
1019.841261122,140
959.652689616,141
1331.866672092,142
1607.209716797,143
1659.11702474,144
1648.468994141,145
1570.11050076,146
1425.636366102,147
1359.024393717,148
1311.827243381,149
1348.142469618,150
1412.910902235,151
1238.810099284,152
1140.312093099,153
1188.437296549,154
1207.604560004,155
1113.458713108,156
1252.26159668,157
1232.880859375,158
1040.349005805,159
893.517544217,160
1589.698893229,161
1637.010986328,162
1596.430311415,163
1607.072699653,164
1530.148410373,165
1459.273003472,166
1428.096883138,167
1375.439832899,168
1435.670559353,169
1456.832343207,170
1423.560791016,171
1262.090196398,172
1145.93536377,173
1489.388264974,174
1721.020426432,175
1668.200005425,176
1606.485799154,177
1502.687133789,178
1464.946573893,179
1417.530171712,180
1396.62358941,181
1393.211330838,182
1393.115044488,183
1213.576538086,184
1102.524332682,185
1183.448994954,186
1274.712849935,187
1191.277940538,188
1266.202731662,189
1218.897935655,190
969.228285048,191
792.197801378,192
1583.14718967,193
1604.17976888,194
1608.869574653,195
1610.141045464,196
1512.170613607,197
1451.262668186,198
1469.509399414,199
1420.063652886,200
1464.151299371,201
1516.998304579,202
1540.372762044,203
1474.776882595,204
1395.538879395,205
1603.592678494,206
1760.324205187,207
1644.626437717,208
1573.32933214,209
1495.479234484,210
1524.389879015,211
1499.739725749,212
1489.296508789,213
1433.527574327,214
1362.035576714,215
1202.398084852,216
1079.756144206,217
1190.201558431,218
1393.537055122,219
1279.460869683,220
1225.237901476,221
1205.93226454,222
923.837232802,223
748.498440213,224
1571.777669271,225
1534.712809245,226
1569.170016819,227
1572.84358724,228
1484.985446506,229
1434.433173286,230
1474.521525065,231
1409.36315918,232
1463.81648763,233
1548.250284831,234
1602.455417209,235
1548.415459527,236
1502.844319661,237
1628.284586589,238
1714.333550347,239
1610.315348307,240
1570.32550727,241
1534.360093859,242
1536.682807075,243
1537.24798584,244
1506.32023112,245
1431.4871148,246
1356.095675998,247
1248.816053602,248
1074.923773872,249
1174.735616048,250
1442.800265842,251
1344.606255425,252
1218.411824544,253
1184.048923069,254
894.140821669,255
734.599372016,256
1568.114881727,257
1486.107530382,258
1499.235514323,259
1523.976589627,260
1457.837375217,261
1462.41659885,262
1503.446858724,263
1465.696980794,264
1514.869574653,265
1591.796495226,266
1627.631618924,267
1536.808824327,268
1512.593302409,269
1606.569878472,270
1644.034396701,271
1585.617282444,272
1563.281005859,273
1495.142049154,274
1512.05589464,275
1561.216267904,276
1486.608072917,277
1434.731825087,278
1326.322129991,279
1320.781277127,280
1083.486545139,281
1092.899373372,282
1320.982150608,283
1290.153171115,284
1194.331407335,285
1146.359605577,286
853.293023003,287
706.998738607,288
1564.119588216,289
1479.288872613,290
1489.548448351,291
1560.273125543,292
1507.509819878,293
1569.718261719,294
1567.866923014,295
1555.771416558,296
1587.185017904,297
1659.371514214,298
1646.524698893,299
1547.740627713,300
1529.269877116,301
1588.628350152,302
1593.001966688,303
1535.04574924,304
1516.972384983,305
1422.632486979,306
1477.425374349,307
1551.580932617,308
1427.2955051,309
1418.298136393,310
