Extract_GALa_Yld_Mass_D,Plot
10910.787217882,1
12271.978081597,2
12697.088758681,3
12553.625542535,4
12601.529730903,5
13042.383680556,6
12248.35172526,7
11875.012044271,8
12331.735351562,9
11941.481228299,10
11849.194118924,11
12141.508246528,12
11593.393717448,13
10941.40625,14
11236.354275174,15
12675.735243056,16
13822.750976562,17
13395.972005208,18
12916.350802951,19
12592.77360026,20
11754.793185764,21
12168.411675347,22
11987.422417535,23
9891.924913194,24
10616.802300347,25
11185.455566406,26
11097.007161458,27
9953.888563368,28
10605.999891493,29
10785.249240451,30
10974.358398438,31
10384.642144097,32
11488.883789062,33
12883.382703993,34
12974.163302951,35
12562.632161458,36
12093.495117188,37
13057.361436632,38
12212.728352865,39
11470.430772569,40
11803.213975694,41
11887.502929687,42
11646.440863715,43
11037.078776042,44
10533.061197917,45
10545.922743056,46
11553.976671007,47
13026.860351562,48
14053.420138889,49
13795.503038194,50
13191.734375,51
12495.796223958,52
11588.56000434,53
12295.476128472,54
11637.147677951,55
9674.46343316,56
10751.653645833,57
10814.13688151,58
10680.03656684,59
9810.647677951,60
10324.602756076,61
10618.797309028,62
10816.031792535,63
10279.544813368,64
12142.011610243,65
12960.359266493,66
12873.728949653,67
12801.409505208,68
11976.03765191,69
12747.606553819,70
12195.62109375,71
11430.809353299,72
11349.224392361,73
11572.914171007,74
11142.848090278,75
10193.872938368,76
9869.395833333,77
10287.279079861,78
11887.315646701,79
13411.623697917,80
14239.609157986,81
13957.403320312,82
12974.155273438,83
12100.123046875,84
11364.523220486,85
11953.218207465,86
11609.714626736,87
10127.210177951,88
10754.973849826,89
10402.568522135,90
10192.33203125,91
9526.718315972,92
10228.792534722,93
10621.721679687,94
10647.159613715,95
9984.837782118,96
12502.081542969,97
13172.216796875,98
12804.768554688,99
12985.62125651,100
12140.631347656,101
12335.915852865,102
11909.743408203,103
11318.764811198,104
11302.549153646,105
11539.677734375,106
10913.277669271,107
9750.518229167,108
9681.161376953,109
10660.912760417,110
12312.637369792,111
13534.258951823,112
14219.951334635,113
13841.792480469,114
12613.943847656,115
11594.517822266,116
11156.075683594,117
11572.620279948,118
11874.819173177,119
10770.841959635,120
10409.104980469,121
10065.607910156,122
9984.139485677,123
9253.257161458,124
10345.256347656,125
10747.606933594,126
10514.416666667,127
9314.436035156,128
12725.886393229,129
13506.0234375,130
12805.031901042,131
13169.741753472,132
12312.103624132,133
12137.24468316,134
11632.125976562,135
11154.192708333,136
11353.232096354,137
11531.719075521,138
10955.784830729,139
10135.796549479,140
10210.416503906,141
11628.508572049,142
13125.375217014,143
13677.469401042,144
13952.264865451,145
13400.922092014,146
12448.717447917,147
11303.918619792,148
11097.899197049,149
11688.723741319,150
12184.657335069,151
10921.772569444,152
9990.375868056,153
10136.604492188,154
10111.219943576,155
9443.71484375,156
10659.170898438,157
10752.225043403,158
10082.358832465,159
8334.419162326,160
12931.806966146,161
13724.320855035,162
12937.261610243,163
13276.996527778,164
12398.159722222,165
12049.870876736,166
11652.760091146,167
11360.86469184,168
11737.107313368,169
11885.749348958,170
11609.939344618,171
12288.261393229,172
12095.146809896,173
12725.045572917,174
14067.378363715,175
13799.505750868,176
13508.058919271,177
12940.595486111,178
12777.537977431,179
11796.354980469,180
11665.759765625,181
12044.27593316,182
11944.701171875,183
10693.221896701,184
9629.910373264,185
10254.753417969,186
10620.265299479,187
10161.150282118,188
10849.857855903,189
10630.77094184,190
9308.991210938,191
7324.572102865,192
12869.4453125,193
13399.277886285,194
13120.987413194,195
13317.465060764,196
12242.737847222,197
11955.38140191,198
11965.90608724,199
11658.120008681,200
11967.014105903,201
12405.157552083,202
12545.594509549,203
12783.094401042,204
13008.423014323,205
13753.825520833,206
14355.088107639,207
13602.694878472,208
13242.178710938,209
12935.018337674,210
13171.110677083,211
12429.389973958,212
12402.62641059,213
12469.099826389,214
11694.863172743,215
10609.251302083,216
9487.312934028,217
10590.606770833,218
11412.969509549,219
10858.626953125,220
10611.753255208,221
10598.41796875,222
8815.982042101,223
6873.458170573,224
12892.021809896,225
12807.816514757,226
12834.841905382,227
13094.011393229,228
12169.574435764,229
11844.894205729,230
12071.062011719,231
11619.163628472,232
12023.546549479,233
12669.230577257,234
13079.335177951,235
13031.247721354,236
13456.443196615,237
14180.639648438,238
14013.410373264,239
