Extract_GAL_Yld_Vol_Dr,Plot
194.835250854,1
219.142193264,2
226.733437432,3
224.171618991,4
225.027086046,5
232.899439494,6
218.720311483,7
212.053554959,8
220.2093082,9
213.240485297,10
211.592495388,11
216.812389798,12
207.024660746,13
195.382019043,14
200.648935954,15
226.352137248,16
246.834542169,17
239.213494195,18
230.648854574,19
224.870666504,20
209.90677219,21
217.292829725,22
214.060865614,23
176.6412913,24
189.585535685,25
199.740046183,26
198.160630968,27
177.74780443,28
189.392644246,29
192.593514336,30
195.970453898,31
185.4397956,32
205.158393012,33
230.06014506,34
231.681213379,35
224.332466973,36
215.955030653,37
233.166888767,38
218.084164937,39
204.828887939,40
210.771469116,41
212.276626587,42
207.971928914,43
197.090464274,44
188.090154012,45
188.319834391,46
206.32077535,47
232.622233073,48
250.953626845,49
246.347985162,50
235.566397773,51
223.138936361,52
206.938300239,53
219.561794705,54
207.80595737,55
172.758068509,56
191.993608263,57
193.109362284,58
190.714728461,59
175.189922757,60
184.367689345,61
189.621141222,62
193.143179999,63
183.563091702,64
216.821351793,65
231.434717814,66
229.887732612,67
228.596332126,68
213.857549032,69
227.6355523,70
217.778676351,71
204.12135654,72
202.664494832,73
206.658962674,74
198.979227702,75
182.033250597,76
176.239000956,77
183.701193915,78
212.273239136,79
239.493004693,80
254.278459337,81
249.239049276,82
231.681050618,83
216.073336283,84
202.93764072,85
213.450074938,86
207.31610277,87
180.842820909,88
192.052892049,89
185.759918213,90
182.00571696,91
170.119752672,92
182.656789144,93
189.673370361,94
190.127619425,95
178.300469293,96
223.251213074,97
235.217877706,98
228.656303406,99
231.885823568,100
216.796735128,101
220.283983866,102
212.673744202,103
202.120569865,104
201.831011454,105
206.065452576,106
194.879765828,107
174.116193136,108
172.877662659,109
190.373207092,110
219.868245443,111
241.682907104,112
253.927431742,113
247.174580892,114
225.248720805,115
207.04473877,116
199.215405782,117
206.653704325,118
212.050099691,119
192.336235046,120
185.87664032,121
179.742763519,122
178.287996928,123
165.236521403,124
184.736485799,125
191.921312968,126
187.757235209,127
166.329035441,128
227.247716268,129
241.178716024,130
228.660993788,131
235.173673842,132
219.85874939,133
216.736270481,134
207.716293335,135
199.181788127,136
202.736078898,137
205.923334757,138
195.638805813,139
180.996139526,140
182.328631083,141
207.651691013,142
234.381440904,143
244.240244548,144
249.147301568,145
239.30190701,146
222.298288981,147
201.855473836,148
198.176552667,149
208.726986355,150
217.582899306,151
195.031433105,152
178.399368286,153
181.010569255,154
180.557289971,155
168.637571547,156
190.342119005,157
192.003770616,158
180.041929457,159
148.828765869,160
230.924848768,161
245.076853434,162
231.022235447,163
237.088953654,164
221.395448473,165
215.175996568,166
208.084747314,167
202.872356839,168
209.5909729,169
212.245266385,170
207.320107354,171
219.432991876,172
215.984512329,173
227.232691447,174
251.202911377,175
246.41946072,176
241.215035333,177
231.081782023,178
228.170065986,179
210.64898173,180
208.316896227,181
215.076129489,182
213.298021105,183
190.950176663,184
171.962480333,185
183.120389303,186
189.647384644,187
181.448883057,188
193.747251723,189
189.834974501,190
166.231782701,191
130.795758565,192
229.811240302,193
239.272535536,194
234.303081936,195
237.811618381,196
218.620064629,197
213.488716973,198
213.676651001,199
208.180469089,200
213.696431478,201
221.520395915,202
224.028221978,203
228.269271851,204
232.293001811,205
245.603761461,206
256.34054735,207
242.904968262,208
236.467195299,209
230.982186211,210
235.198131985,211
221.953147888,212
221.47521464,213
222.662234836,214
208.836612278,215
189.450693766,216
169.416102091,217
189.117774963,218
203.802786933,219
193.903798421,220
189.495363024,221
189.257229275,222
157.428059896,223
122.740183512,224
230.214396159,225
228.710723877,226
229.193322076,227
233.821361966,228
217.313578288,229
211.515728421,230
215.554430644,231
207.484831068,232
214.705930922,233
226.235994127,234
233.559307522,235
232.700598823,236
240.293357849,237
253.225438436,238
250.239205254,239
238.6769104,240
236.938235813,241
237.084501478,242
236.39960395,243
228.295036316,244
223.29675293,245
221.219540066,246
207.899653117,247
197.294737074,248
169.421749539,249
191.31997935,250
210.626152886,251
202.46113756,252
187.520477295,253
185.694303725,254
153.216762967,255
119.026057773,256
231.496700711,257
221.875813802,258
218.094789293,259
226.058995565,260
213.410330878,261
214.968192206,262
219.500027974,263
215.338461982,264
222.062306722,265
231.237096151,266
236.754082574,267
230.050726997,268
240.488698324,269
250.484622531,270
240.264694214,271
234.922744751,272
235.326609294,273
231.25719028,274
232.048288981,275
232.008534749,276
220.03076511,277
221.6847229,278
204.705440945,279
208.391718547,280
171.680321587,281
187.034980774,282
196.808156331,283
196.037155151,284
183.05444675,285
179.67038642,286
150.288411458,287
114.636758592,288
230.203475952,289
220.073569404,290
219.12590705,291
230.165637546,292
220.823657566,293
230.243214925,294
230.689147949,295
228.214911567,296
232.17559984,297
241.3366411,298
239.586407132,299
232.107825385,300
242.041676839,301
246.006210327,302
231.889565362,303
227.165857951,304
227.629492866,305
222.515318129,306
227.430942112,307
229.989885966,308
212.177820841,309
219.376252916,310
196.585049099,311
196.626144409,312
167.921568129,313
179.929000854,314
179.092876858,315
176.675133599,316
169.908079359,317
167.832477146,318
143.78509691,319
111.575728522,320
230.289258321,321
225.295196533,322
224.996462504,323
239.775510152,324
233.344032288,325
242.404563904,326
237.864868164,327
233.298540751,328
240.294614156,329
248.840276082,330
240.528493245,331
239.231643677,332
244.038772583,333
241.345985413,334
230.8620224,335
224.344332377,336
222.241297404,337
225.210149129,338
228.652867635,339
219.60887146,340
203.485865275,341
205.148447673,342
189.14306132,343
184.929458618,344
164.099230448,345
174.268199921,346
173.1779658,347
167.15864563,348
162.075294495,349
154.942769368,350
135.073174795,351
111.217685699,352
228.622506036,353
232.564358181,354
231.332036336,355
248.030085246,356
245.221522013,357
251.413285997,358
242.98025767,359
237.308648003,360
247.1254815,361
249.913526747,362
238.995839437,363
242.751512316,364
243.162783305,365
235.308402167,366
229.80253262,367
227.251600477,368
219.740537855,369
224.398705377,370
226.705659654,371
204.790646871,372
199.824656169,373
187.401112874,374
184.477806939,375
175.568094889,376
163.499715169,377
173.825828552,378
181.239805433,379
168.295981513,380
162.10877143,381
150.547907511,382
130.977129618,383
116.47120497,384
231.501186795,385
235.781405979,386
238.780019124,387
248.635282728,388
253.361755371,389
254.930848863,390
243.331326803,391
240.873962402,392
252.540005154,393
245.701024373,394
236.123809814,395
248.37204149,396
246.328722636,397
232.168707954,398
226.089123196,399
228.500957913,400
213.229949951,401
201.936921861,402
207.309872097,403
198.435496012,404
210.315890842,405
190.043380737,406
186.351686266,407
163.379442003,408
161.439576891,409
174.707628886,410
190.391960992,411
175.324305216,412
170.815999349,413
157.341076321,414
136.549978468,415
132.03900316,416
237.75,417
240.928638034,418
243.812416924,419
243.90663147,420
252.366090563,421
247.757132636,422
245.206143697,423
247.216284858,424
256.165490044,425
241.296510484,426
237.433929443,427
247.283669366,428
246.717557271,429
232.443483141,430
220.793484158,431
222.713363647,432
203.528964572,433
174.687438965,434
178.617558797,435
198.191307068,436
226.58333842,437
216.405514187,438
198.723205566,439
164.838709513,440
159.06255934,441
175.357658386,442
191.818896823,443
187.094770643,444
185.265796238,445
171.211666531,446
150.929821438,447
147.199323866,448
240.693266127,449
241.329116821,450
244.227783203,451
241.867507935,452
245.696268717,453
238.903133816,454
244.736928304,455
251.208380805,456
252.243840535,457
244.324661255,458
239.873977661,459
244.733796861,460
248.283121745,461
237.55301751,462
221.315148248,463
218.112706502,464
200.604424371,465
167.147510105,466
162.510119968,467
190.264335632,468
227.497667101,469
228.476236979,470
214.496739705,471
175.293899536,472
160.082273695,473
171.621696472,474
188.395958794,475
196.2626258,476
192.354612562,477
180.029308743,478
157.739128961,479
162.749821981,480
247.966793484,481
237.921602037,482
246.009894477,483
245.047739665,484
238.415756226,485
233.323525323,486
241.058519999,487
246.065870497,488
249.607647366,489
254.945949978,490
245.218451606,491
242.070268419,492
245.362190247,493
240.383700901,494
227.964564006,495
223.933229234,496
213.893471612,497
178.074128893,498
162.572191026,499
175.758583069,500
204.870118883,501
222.264755249,502
221.685668945,503
187.591505263,504
162.147662693,505
159.096013387,506
184.326436361,507
199.800757514,508
192.864444309,509
178.084674411,510
153.743392944,511
177.351815118,512
255.514912923,513
233.067825317,514
243.223508199,515
247.008471171,516
236.748214722,517
237.402809143,518
241.967960358,519
241.493916829,520
247.338612874,521
260.147537231,522
246.451609294,523
236.648569743,524
238.593864441,525
238.998250326,526
234.608220418,527
233.234911601,528
227.180244446,529
198.824386597,530
171.562464396,531
171.236076355,532
187.539520264,533
213.354232788,534
223.019444784,535
196.29721578,536
169.836514791,537
146.805480957,538
181.063364665,539
200.956103007,540
192.753641764,541
172.462216695,542
147.999773661,543
184.240008036,544
252.144419352,545
223.328625149,546
241.233773126,547
246.704589844,548
238.07701789,549
247.286224365,550
244.906773885,551
240.442435371,552
