Plot,Elevation_22
1,1155.331604004
2,1155.161638048
3,1154.807308621
4,1154.16792806
5,1153.359581841
6,1152.408803304
7,1151.677239312
8,1151.096606445
9,1150.415768094
10,1149.589168972
11,1149.025990804
12,1148.869384766
13,1148.798027886
14,1148.563178168
15,1148.485799154
16,1148.557763672
17,1148.594794379
18,1148.458875868
19,1148.344251845
20,1148.508890788
21,1148.541893853
22,1148.482259115
23,1148.440053304
24,1148.079545085
25,1147.449452718
26,1146.546006944
27,1146.054314507
28,1145.847054036
29,1145.453426785
30,1145.020284017
31,1144.43081326
32,1154.75053304
33,1154.598080105
34,1154.243306478
35,1153.587166341
36,1152.773552789
37,1151.817986382
38,1151.11255561
39,1150.549186198
40,1149.888163249
41,1149.087941488
42,1148.55484687
43,1148.427115885
44,1148.380157471
45,1148.171742757
46,1148.11388482
47,1148.206848145
48,1148.26099311
49,1148.160227458
50,1148.083390978
51,1148.280891927
52,1148.374047173
53,1148.352376302
54,1148.338829888
55,1148.009208171
56,1147.370785183
57,1146.486653646
58,1145.994781494
59,1145.78087972
60,1145.397155762
61,1144.948933919
62,1144.322753906
63,1154.096321615
64,1153.956732856
65,1153.604763455
66,1152.951757813
67,1152.15640937
68,1151.200327555
69,1150.509629991
70,1149.966231283
71,1149.320363363
72,1148.526909722
73,1148.02424113
74,1147.943522135
75,1147.934251573
76,1147.759236654
77,1147.737735324
78,1147.864082845
79,1147.946407742
80,1147.876156277
81,1147.856001112
82,1148.09440918
83,1148.21295166
84,1148.212656657
85,1148.237206353
86,1147.917716471
87,1147.264950222
88,1146.417982313
89,1145.894870334
90,1145.672676595
91,1145.294932048
92,1144.832543267
93,1144.182739258
94,1153.423447266
95,1153.31101888
96,1152.96570638
97,1152.324291992
98,1151.537552897
99,1150.594930013
100,1149.918595378
101,1149.378022461
102,1148.747521973
103,1147.966870117
104,1147.50880127
105,1147.46012207
106,1147.499503581
107,1147.376497396
108,1147.404931641
109,1147.567666016
110,1147.692504883
111,1147.66048584
112,1147.693070475
113,1147.956210937
