,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
2954,10,2021,6162021,85.64,112.2,74.896,92.2541063512441,0.165908099008666,0.134249898908209,0.21603331598126,0.667522281639929,63.864,0.0282177636982283,-0.0269330048105127,63.8357822363018,0.263746289122324,0.324936493594328,1.31013545072396,1.36994396621234,35,10,217.233468471367
2955,100,2021,6162021,92.877,118.41,79.038,98.1394767206347,0.158794818158464,0.120845106419231,0.193067622439489,0.66749429946795,64.905,0.0400165331955567,-0.0267176440196332,64.8649834668044,0.238211481993343,0.312714022396295,1.27491198036112,1.34528486747104,32,4,221.070525409177
2956,1000,2021,6162021,76.151,102.45,68.711,83.6982254331994,0.171653867487034,0.14725001539745,0.239321139321139,0.670678379697413,60.038,0.0168265187293782,-0.0252903215371677,60.0211734812706,0.28825003019254,0.334654923599864,1.34535331118436,1.39220946725536,4,8,200.080613421024
2957,1001,2021,6162021,77.916,103.76,69.135,84.8855874712152,0.170541302024136,0.142253242035272,0.229640753147742,0.666297224363917,60.469,0.0212207598550302,-0.0277938367934421,60.447779240145,0.278863408358334,0.333031726481363,1.33169053852867,1.38578407157394,4,9,204.668282136515
2958,1002,2021,6162021,75.018,99.91,66.835,81.8059200160151,0.169656367345386,0.142298545687368,0.230283182074695,0.668952056851166,57.967,0.0211579108465729,-0.0262281656001953,57.9458420891534,0.278948693833719,0.331303971777931,1.3318136980458,1.38403561749244,4,10,223.711902957072
2959,1003,2021,6162021,78.532,103.35,69.92,85.122076893522,0.164008649817543,0.136451105661913,0.22166449331023,0.676536042573779,58.248,0.0261904194565571,-0.0216916466112263,58.2218095805435,0.267913947197373,0.320937874748876,1.3160240411552,1.36792437216874,4,11,218.189791484024
2960,1004,2021,6162021,77.123,102.98,68.537,84.16285383707,0.171491951538593,0.143567847287386,0.231764157539035,0.665536997475238,60.3,0.0200780244530244,-0.0282665701415701,60.279921975547,0.281336856163859,0.334731315928193,1.33526963422066,1.38879505399625,4,12,245.023742221732
2961,1005,2021,6162021,77.949,102.86,68.735,84.4210211302059,0.16752363764316,0.137775221366193,0.222272784053393,0.668238382267159,59.036,0.0251202192799666,-0.0265724681819639,59.01087978072,0.270417376940377,0.327666817458341,1.31958075151702,1.37603230976632,4,13,195.941874474014
2962,1006,2021,6162021,77.253,102.31,67.868,83.7484876142051,0.170123033902231,0.139544338198849,0.224334124177448,0.663356465643632,59.499,0.0236195141271708,-0.029482158662415,59.4753804858728,0.273757892351893,0.332540772307267,1.32434986343572,1.38271948154889,4,14,200.054120040392
2963,1007,2021,6162021,77.276,102.08,68.02,83.7031002532164,0.168444668284419,0.138294788019358,0.222785082992024,0.66634012539185,58.864,0.0246846905116098,-0.0276987258262726,58.8393153094884,0.271398949437253,0.329408145262802,1.32097934675708,1.37830995730972,4,15,211.959393187981
2964,1008,2021,6162021,75.093,101.19,66.975,82.3893710256365,0.175097547380156,0.148040366910025,0.23874739268855,0.661873702935073,60.312,0.0161976173445478,-0.0305231482623388,60.2958023826555,0.289731003564438,0.341223458194424,1.34752906396069,1.39985748224171,4,16,230.95087361353
2965,1009,2021,6162021,82.05,107.88,74.695,89.3488293618519,0.158427403659011,0.13599747275312,0.224150648674448,0.692389692250649,59.015,0.0264147378365612,-0.0124969296173832,58.9885852621634,0.267055667456305,0.310093191329637,1.31480804387569,1.35657697416985,4,17,208.249359380826
2966,101,2021,6162021,83.832,111.35,72.241,90.6373521329185,0.175902189438001,0.140986361447265,0.223830943298005,0.648774135608442,66.627,0.0224917078934871,-0.0381889366284874,66.6045082921065,0.276477144092368,0.34368675383086,1.32825174157839,1.39572827966388,32,5,221.340739572175
2967,1010,2021,6162021,81.298,107.83,75.159,89.2291973608788,0.159097810634827,0.140285943911002,0.232800147408506,0.697013818046926,59.203,0.022654160060843,-0.0098657898421034,59.1803458399391,0.275156762545977,0.311036278630251,1.32635489187926,1.36149066115079,4,18,208.500589522383
2968,1011,2021,6162021,83.24,110.03,75.566,90.8216546424915,0.161677215691036,0.138614373674135,0.227604839257799,0.686776333727165,61.254,0.0242006278920977,-0.0157627698671309,61.2297993721079,0.272002506264808,0.31616987827469,1.32184046131667,1.36510770755147,4,19,212.541687876098
2969,1012,2021,6162021,83.017,110.27,74.007,90.421846987698,0.168225784237904,0.140997583903729,0.228479208584842,0.671143556724404,63.516,0.0222743495925834,-0.0249171324459209,63.4937256504074,0.276498293619506,0.32866367435333,1.32828215907585,1.38008272545448,4,20,207.197835801758
2970,1013,2021,6162021,79.321,105.21,71.059,86.4298301552575,0.166407982261641,0.140296210392834,0.228153200789622,0.675401577796787,60.04,0.0228467467428303,-0.0224085449352479,60.0171532532572,0.275176121845771,0.325200428018794,1.32638267293655,1.37586539167393,4,21,210.708498129778
2971,1014,2021,6162021,88.129,114.95,81.306,95.9007973150728,0.151414226150976,0.132071755326745,0.220254079311506,0.707316224445411,60.465,0.0296450234717021,-0.0039439492237636,60.4353549765283,0.259615058543194,0.296781494333253,1.3043379591281,1.33981206254199,4,22,199.810155723083
2972,1015,2021,6162021,87.546,114.43,80.43,95.2671890281924,0.153423580521928,0.133104923357231,0.221183749362381,0.702875120160797,60.884,0.0288039205965879,-0.0064729502914244,60.8551960794034,0.261575533746435,0.300607642512593,1.30708427569506,1.34451008367311,4,23,200.515377350407
2973,1016,2021,6162021,83.723,110.66,77.346,91.7198270913474,0.157564678900282,0.138576933168024,0.23015798422721,0.698951744080969,60.251,0.0241129949324511,-0.0087425339216645,60.2268870050675,0.271931805844539,0.308205318098564,1.32173954588345,1.35707356087471,4,24,202.110719505909
2974,1017,2021,6162021,84.106,112.25,77.552,92.5350283946571,0.162736496459998,0.143331499928701,0.236894380660584,0.690886414253898,62.842,0.0200738934240694,-0.013424945602173,62.8219261065759,0.280892369800509,0.31781545268939,1.33462535372031,1.37117310134467,4,25,207.624071956182
2975,1018,2021,6162021,82.847,110.08,76.515,90.9867701628466,0.16019624685789,0.141157017939428,0.233936363948734,0.695085392441861,60.798,0.0219186318391342,-0.010981955300213,60.7760813681609,0.27679873697706,0.313088772020596,1.32871437710478,1.36436381326918,4,26,195.170763939369
2976,1019,2021,6162021,79.969,106.68,72.6,87.6478243901886,0.166127855403644,0.143108187024843,0.234206349902235,0.680539932508436,60.791,0.0203534054133284,-0.0194407692990138,60.7706465945867,0.280472314183133,0.324377539650341,1.33401693156098,1.37766099171841,4,27,193.942116353117
2977,102,2021,6162021,91.693,117.67,79.205,97.5145581849192,0.158631147258504,0.124076364973754,0.199580509841884,0.673111243307555,64.442,0.0370803415486124,-0.023505724820493,64.4049196584514,0.244390354048452,0.311893298862812,1.2833040690129,1.34741973735356,32,6,219.372995403359
2978,1020,2021,6162021,81.121,107.7,74.138,88.837585298491,0.162254255258877,0.140762944799572,0.231760592241222,0.688375116063138,60.141,0.0223205899018478,-0.0148570689727296,60.1186794100981,0.276056057828246,0.317095451817378,1.32764635544434,1.36804438115093,4,28,193.366423584282
2979,1021,2021,6162021,83.108,110.44,76.636,91.2451090196072,0.160620454832065,0.141215615764565,0.233782674148077,0.693915248098515,61.136,0.0218784235928108,-0.0116572409913245,61.1141215764072,0.276909150743775,0.313902327655991,1.32887327333109,1.36523840780708,4,29,210.719983062127
