OID_,FID,X,Y,Extract_GALa_Crop_Flw_V
1,0,-93.531098436763500,44.078019660989192,1280.633490667999922
2,1,-93.531098436763500,44.077980660989198,1443.258694118999983
3,2,-93.531098436763500,44.077941660989190,1521.806084526999939
4,3,-93.531098436763500,44.077902660989189,1524.881429036000100
5,4,-93.531098436763500,44.077863660989195,1567.327528212000061
6,5,-93.531098436763500,44.077824660989201,1595.602471246000050
7,6,-93.531098436763500,44.077785660989193,1514.806620280000061
8,7,-93.531098436763500,44.077746660989192,1443.875257703999978
9,8,-93.531098436763500,44.077707660989184,1508.230862088000094
10,9,-93.531098436763500,44.077668660989190,1469.352308485000094
11,10,-93.531098436763500,44.077629660989189,1447.994669595999994
12,11,-93.531098436763500,44.077590660989195,1256.257459852000011
13,12,-93.531098436763500,44.077551660989187,1052.579956054999911
14,13,-93.531098436763500,44.077512660989193,1172.516140407999956
15,14,-93.531098436763500,44.077473660989192,1370.534478082000078
16,15,-93.531098436763500,44.077434660989191,1547.758232963999944
17,16,-93.531098436763500,44.077395660989190,1634.879340277999972
18,17,-93.531098436763500,44.077356660989189,1586.329155815999911
19,18,-93.531098436763500,44.077317660989195,1535.008138020999922
20,19,-93.531098436763500,44.077278660989194,1544.136474609000061
21,20,-93.531098436763500,44.077239660989193,1407.088826496999900
22,21,-93.531098436763500,44.077200660989192,1413.145874023000033
23,22,-93.531098436763500,44.077161660989191,1383.975653753999950
24,23,-93.531098436763500,44.077122660989197,1137.506157769000083
25,24,-93.531098436763500,44.077083660989189,1219.686916775000100
26,25,-93.531098436763500,44.077044660989195,1350.576253254999983
27,26,-93.531098436763500,44.077005660989194,1357.935804578999978
28,27,-93.531098436763500,44.076966660989186,1180.554307725999934
29,28,-93.531098436763500,44.076927660989192,1238.059488932000022
30,29,-93.531098436763500,44.076888660989191,1229.201538086000028
31,30,-93.531098436763500,44.076849660989190,1128.803385417000072
32,31,-93.531098436763500,44.076810660989189,1094.844563802000039
33,32,-93.531059436763513,44.078019660989192,1394.794420030000083
34,33,-93.531059436763513,44.077980660989198,1532.824218750000000
35,34,-93.531059436763513,44.077941660989190,1606.543619792000072
36,35,-93.531059436763513,44.077902660989189,1532.005615234000061
37,36,-93.531059436763513,44.077863660989195,1500.167751735999900
38,37,-93.531059436763513,44.077824660989201,1589.309014213999944
39,38,-93.531059436763513,44.077785660989193,1517.650777180999967
40,39,-93.531059436763513,44.077746660989192,1402.321953668000106
41,40,-93.531059436763513,44.077707660989184,1440.068535698999995
42,41,-93.531059436763513,44.077668660989190,1448.324462890999939
43,42,-93.531059436763513,44.077629660989189,1420.463650173999895
44,43,-93.531059436763513,44.077590660989195,1148.472473145000095
45,44,-93.531059436763513,44.077551660989187,970.008076985999992
46,45,-93.531059436763513,44.077512660989193,1134.321384006000017
47,46,-93.531059436763513,44.077473660989192,1413.539510091000011
48,47,-93.531059436763513,44.077434660989191,1591.192030165000006
49,48,-93.531059436763513,44.077395660989190,1662.298570421000022
50,49,-93.531059436763513,44.077356660989189,1637.149454753000100
51,50,-93.531059436763513,44.077317660989195,1567.293986003000100
52,51,-93.531059436763513,44.077278660989194,1524.070048013999894
53,52,-93.531059436763513,44.077239660989193,1379.957573785000022
54,53,-93.531059436763513,44.077200660989192,1430.987494575000028
55,54,-93.531059436763513,44.077161660989191,1359.429958767000016
56,55,-93.531059436763513,44.077122660989197,1120.637546115000077
57,56,-93.531059436763513,44.077083660989189,1230.391777886000000
58,57,-93.531059436763513,44.077044660989195,1292.690633138000067
59,58,-93.531059436763513,44.077005660989194,1290.116238064000072
60,59,-93.531059436763513,44.076966660989186,1158.209689669999989
61,60,-93.531059436763513,44.076927660989192,1201.676093206999894
62,61,-93.531059436763513,44.076888660989191,1214.044962565000105
63,62,-93.531059436763513,44.076849660989190,1112.035468206999894
64,63,-93.531059436763513,44.076810660989189,1083.020860459999994
65,64,-93.531020436763498,44.078019660989192,1493.226453992999950
66,65,-93.531020436763498,44.077980660989198,1555.935682508999889
67,66,-93.531020436763498,44.077941660989190,1598.460639105999917
68,67,-93.531020436763498,44.077902660989189,1554.995700411999906
69,68,-93.531020436763498,44.077863660989195,1483.332722981999950
70,69,-93.531020436763498,44.077824660989201,1533.005683051000005
71,70,-93.531020436763498,44.077785660989193,1502.530721029000006
72,71,-93.531020436763498,44.077746660989192,1394.171264648000033
73,72,-93.531020436763498,44.077707660989184,1387.511067707999928
74,73,-93.531020436763498,44.077668660989190,1417.641370985000094
75,74,-93.531020436763498,44.077629660989189,1358.250623915000006
76,75,-93.531020436763498,44.077590660989195,1046.707912868999983
77,76,-93.531020436763498,44.077551660989187,929.742584229000045
78,77,-93.531020436763498,44.077512660989193,1127.820366752999917
79,78,-93.531020436763498,44.077473660989192,1456.948757594999961
80,79,-93.531020436763498,44.077434660989191,1634.140096029000006
81,80,-93.531020436763498,44.077395660989190,1679.454237195999895
82,81,-93.531020436763498,44.077356660989189,1657.772311740000077
83,82,-93.531020436763498,44.077317660989195,1541.947319877999917
