OID_,FID,X,Y,Extract_GALa_Ele
1,0,-93.531098436763500,44.078019660989192,1154.166720919999989
2,1,-93.531098436763500,44.077980660989198,1153.244493272999989
3,2,-93.531098436763500,44.077941660989190,1152.080661349999900
4,3,-93.531098436763500,44.077902660989189,1151.011216905000083
5,4,-93.531098436763500,44.077863660989195,1150.519816081000045
6,5,-93.531098436763500,44.077824660989201,1150.154418945000089
7,6,-93.531098436763500,44.077785660989193,1149.960103353000022
8,7,-93.531098436763500,44.077746660989192,1149.789482963999944
9,8,-93.531098436763500,44.077707660989184,1149.704562717000044
10,9,-93.531098436763500,44.077668660989190,1149.698459201000105
11,10,-93.531098436763500,44.077629660989189,1149.671847872999933
12,11,-93.531098436763500,44.077590660989195,1149.435343423999939
13,12,-93.531098436763500,44.077551660989187,1149.075113932000022
14,13,-93.531098436763500,44.077512660989193,1148.584106445000089
15,14,-93.531098436763500,44.077473660989192,1148.023885091000011
16,15,-93.531098436763500,44.077434660989191,1147.553263345999994
17,16,-93.531098436763500,44.077395660989190,1146.959662542999922
18,17,-93.531098436763500,44.077356660989189,1146.221638996999900
19,18,-93.531098436763500,44.077317660989195,1145.545559353000044
20,19,-93.531098436763500,44.077278660989194,1145.233520508000083
21,20,-93.531098436763500,44.077239660989193,1145.175347222000028
22,21,-93.531098436763500,44.077200660989192,1145.189181857999984
23,22,-93.531098436763500,44.077161660989191,1145.469129774000066
24,23,-93.531098436763500,44.077122660989197,1145.959187826000061
25,24,-93.531098436763500,44.077083660989189,1146.176554361999933
26,25,-93.531098436763500,44.077044660989195,1146.074910481999950
27,26,-93.531098436763500,44.077005660989194,1146.028428819000055
28,27,-93.531098436763500,44.076966660989186,1147.230075411999906
29,28,-93.531098436763500,44.076927660989192,1148.036322700000028
30,29,-93.531098436763500,44.076888660989191,1147.528618707000078
31,30,-93.531098436763500,44.076849660989190,1145.576999240000077
32,31,-93.531098436763500,44.076810660989189,1144.733235677000039
33,32,-93.531059436763513,44.078019660989192,1153.413574219000111
34,33,-93.531059436763513,44.077980660989198,1152.516601562000005
35,34,-93.531059436763513,44.077941660989190,1151.393608940999911
36,35,-93.531059436763513,44.077902660989189,1150.316080729000078
37,36,-93.531059436763513,44.077863660989195,1149.808756509999967
38,37,-93.531059436763513,44.077824660989201,1149.455240884999967
39,38,-93.531059436763513,44.077785660989193,1149.302266439000050
40,39,-93.531059436763513,44.077746660989192,1149.140882703999978
41,40,-93.531059436763513,44.077707660989184,1149.077935112999967
42,41,-93.531059436763513,44.077668660989190,1149.139268662999939
43,42,-93.531059436763513,44.077629660989189,1149.117011176000005
44,43,-93.531059436763513,44.077590660989195,1148.937038844999961
45,44,-93.531059436763513,44.077551660989187,1148.592325845999994
46,45,-93.531059436763513,44.077512660989193,1148.144137911999906
47,46,-93.531059436763513,44.077473660989192,1147.663180881000017
48,47,-93.531059436763513,44.077434660989191,1147.257934570000089
49,48,-93.531059436763513,44.077395660989190,1146.673597548000089
50,49,-93.531059436763513,44.077356660989189,1145.991034614000000
51,50,-93.531059436763513,44.077317660989195,1145.356228298999895
52,51,-93.531059436763513,44.077278660989194,1145.072489421000000
53,52,-93.531059436763513,44.077239660989193,1145.061347114000000
54,53,-93.531059436763513,44.077200660989192,1145.118503146999956
55,54,-93.531059436763513,44.077161660989191,1145.397827148000033
56,55,-93.531059436763513,44.077122660989197,1145.891954209999994
57,56,-93.531059436763513,44.077083660989189,1146.101331923000089
58,57,-93.531059436763513,44.077044660989195,1146.002034504999983
59,58,-93.531059436763513,44.077005660989194,1145.943535698999995
60,59,-93.531059436763513,44.076966660989186,1147.145643445999895
61,60,-93.531059436763513,44.076927660989192,1147.925686305999989
62,61,-93.531059436763513,44.076888660989191,1147.496514213999944
63,62,-93.531059436763513,44.076849660989190,1145.422512478000044
64,63,-93.531059436763513,44.076810660989189,1144.572564019000083
65,64,-93.531020436763498,44.078019660989192,1152.648749456999894
66,65,-93.531020436763498,44.077980660989198,1151.818942599999900
67,66,-93.531020436763498,44.077941660989190,1150.696899413999972
68,67,-93.531020436763498,44.077902660989189,1149.573703342000044
69,68,-93.531020436763498,44.077863660989195,1149.072197808000055
70,69,-93.531020436763498,44.077824660989201,1148.713473849999900
71,70,-93.531020436763498,44.077785660989193,1148.589884440000105
72,71,-93.531020436763498,44.077746660989192,1148.461005316999945
73,72,-93.531020436763498,44.077707660989184,1148.436279297000056
74,73,-93.531020436763498,44.077668660989190,1148.528361003000100
75,74,-93.531020436763498,44.077629660989189,1148.561537001000033
76,75,-93.531020436763498,44.077590660989195,1148.423339844000111
77,76,-93.531020436763498,44.077551660989187,1148.119791667000072
78,77,-93.531020436763498,44.077512660989193,1147.761813694000011
79,78,-93.531020436763498,44.077473660989192,1147.304294161999906
80,79,-93.531020436763498,44.077434660989191,1146.928846570999895
81,80,-93.531020436763498,44.077395660989190,1146.416571723000061
82,81,-93.531020436763498,44.077356660989189,1145.771077474000094
83,82,-93.531020436763498,44.077317660989195,1145.179578992999950
84,83,-93.531020436763498,44.077278660989194,1144.944173177000039
85,84,-93.531020436763498,44.077239660989193,1144.947509765999939
86,85,-93.531020436763498,44.077200660989192,1145.022243923999895
87,86,-93.531020436763498,44.077161660989191,1145.331068251000033
88,87,-93.531020436763498,44.077122660989197,1145.803222655999889
