OID_,FID,X,Y,Dry_yld_22
1,0,-93.531184170859305,44.078001448039934,14553.101432292000027
2,1,-93.531184170859305,44.077962448039933,14482.922607422000510
3,2,-93.531184170859305,44.077923448039925,14546.502387152999290
4,3,-93.531184170859305,44.077884448039931,14576.741731771000559
5,4,-93.531184170859305,44.077845448039938,14495.360134549000577
6,5,-93.531184170859305,44.077806448039937,14322.673936631999823
7,6,-93.531184170859305,44.077767448039928,14101.112982856000599
8,7,-93.531184170859305,44.077728448039935,14087.659960937000506
9,8,-93.531184170859305,44.077689448039933,14271.888834634999512
10,9,-93.531184170859305,44.077650448039932,14259.071506075999423
11,10,-93.531184170859305,44.077611448039931,13972.500895182000022
12,11,-93.531184170859305,44.077572448039938,13831.165104166999299
13,12,-93.531184170859305,44.077533448039937,14116.601643879999756
14,13,-93.531184170859305,44.077494448039936,14475.631646050000199
15,14,-93.531184170859305,44.077455448039935,14587.605251736000355
16,15,-93.531184170859305,44.077416448039934,14642.074772134999876
17,16,-93.531184170859305,44.077377448039933,14797.994222004999756
18,17,-93.531184170859305,44.077338448039924,14924.944200304000333
19,18,-93.531184170859305,44.077299448039945,14784.896620008999889
20,19,-93.531184170859305,44.077260448039937,14495.891438802000266
21,20,-93.531184170859305,44.077221448039936,14264.157633463999446
22,21,-93.531184170859305,44.077182448039927,14381.860731336999379
23,22,-93.531184170859305,44.077143448039934,14716.466769747999933
24,23,-93.531184170859305,44.077104448039933,14958.883561197999370
25,24,-93.531184170859305,44.077065448039932,15011.165581597000710
26,25,-93.531184170859305,44.077026448039931,14827.881130641999334
27,26,-93.531184170859305,44.076987448039937,14620.404758029999357
28,27,-93.531184170859305,44.076948448039936,14423.111783853999441
29,28,-93.531184170859305,44.076909448039935,14197.482910156000798
30,29,-93.531184170859305,44.076870448039934,14018.472384983000666
31,30,-93.531184170859305,44.076831448039933,14195.587537977000466
32,31,-93.531145170859304,44.078001448039934,14562.695345051999539
33,32,-93.531145170859304,44.077962448039933,14531.447808159999113
34,33,-93.531145170859304,44.077923448039925,14609.011691622999933
35,34,-93.531145170859304,44.077884448039931,14629.905826823000098
36,35,-93.531145170859304,44.077845448039938,14483.559027777999290
37,36,-93.531145170859304,44.077806448039937,14267.590359158000865
38,37,-93.531145170859304,44.077767448039928,14069.067355686000155
39,38,-93.531145170859304,44.077728448039935,13972.003027344000657
40,39,-93.531145170859304,44.077689448039933,14050.464138454999556
41,40,-93.531145170859304,44.077650448039932,14060.881673177000266
42,41,-93.531145170859304,44.077611448039931,13931.528564452999490
43,42,-93.531145170859304,44.077572448039938,13930.053938802000630
44,43,-93.531145170859304,44.077533448039937,14144.898790147999534
45,44,-93.531145170859304,44.077494448039936,14321.303955077999490
46,45,-93.531145170859304,44.077455448039935,14395.423366970000643
47,46,-93.531145170859304,44.077416448039934,14540.295703125000728
48,47,-93.531145170859304,44.077377448039933,14725.164794922000510
49,48,-93.531145170859304,44.077338448039924,14773.107259115000488
50,49,-93.531145170859304,44.077299448039945,14650.003987629999756
51,50,-93.531145170859304,44.077260448039937,14473.459244792000391
52,51,-93.531145170859304,44.077221448039936,14307.017930772999534
53,52,-93.531145170859304,44.077182448039927,14314.796196831999623
54,53,-93.531145170859304,44.077143448039934,14486.283501518999401
55,54,-93.531145170859304,44.077104448039933,14640.037467448000825
56,55,-93.531145170859304,44.077065448039932,14821.270453559000089
57,56,-93.531145170859304,44.077026448039931,14852.820366752999689
58,57,-93.531145170859304,44.076987448039937,14708.417561849000776
59,58,-93.531145170859304,44.076948448039936,14562.541438801999902
60,59,-93.531145170859304,44.076909448039935,14301.889350043000377
61,60,-93.531145170859304,44.076870448039934,14035.105387370000244
62,61,-93.531145170859304,44.076831448039933,14143.471842447999734
63,62,-93.531106170859317,44.078001448039934,14657.736621093999929
64,63,-93.531106170859317,44.077962448039933,14631.935438368000177
65,64,-93.531106170859317,44.077923448039925,14633.656087240000488
66,65,-93.531106170859317,44.077884448039931,14564.336002604000896
67,66,-93.531106170859317,44.077845448039938,14391.845350477000466
68,67,-93.531106170859317,44.077806448039937,14220.982421875000000
69,68,-93.531106170859317,44.077767448039928,14093.351291233000666
70,69,-93.531106170859317,44.077728448039935,13938.481705729000169
71,70,-93.531106170859317,44.077689448039933,13858.048719618000177
72,71,-93.531106170859317,44.077650448039932,13835.113091363000422
73,72,-93.531106170859317,44.077611448039931,13842.648111979000532
74,73,-93.531106170859317,44.077572448039938,13988.586165365000852
75,74,-93.531106170859317,44.077533448039937,14162.700168186000155
76,75,-93.531106170859317,44.077494448039936,14221.497558593999202
77,76,-93.531106170859317,44.077455448039935,14302.152479383999889
78,77,-93.531106170859317,44.077416448039934,14460.027864583000337
79,78,-93.531106170859317,44.077377448039933,14563.264648438000222
80,79,-93.531106170859317,44.077338448039924,14512.158121745000244
81,80,-93.531106170859317,44.077299448039945,14441.607340495000244
82,81,-93.531106170859317,44.077260448039937,14381.782226561999778
83,82,-93.531106170859317,44.077221448039936,14328.628282334999312
84,83,-93.531106170859317,44.077182448039927,14343.606553818999600
85,84,-93.531106170859317,44.077143448039934,14407.690077040000688
86,85,-93.531106170859317,44.077104448039933,14508.527832031000798
87,86,-93.531106170859317,44.077065448039932,14708.090847438999845
88,87,-93.531106170859317,44.077026448039931,14865.057264540000688
89,88,-93.531106170859317,44.076987448039937,14850.614257811999778
90,89,-93.531106170859317,44.076948448039936,14761.106705729000169
91,90,-93.531106170859317,44.076909448039935,14526.975965711999379
92,91,-93.531106170859317,44.076870448039934,14266.174641927000266
93,92,-93.531106170859317,44.076831448039933,14253.400417752000067
94,93,-93.531067170859302,44.078001448039934,14797.793710938000004
95,94,-93.531067170859302,44.077962448039933,14768.307714844000657
96,95,-93.531067170859302,44.077923448039925,14645.540234374999272
97,96,-93.531067170859302,44.077884448039931,14451.288749999999709
98,97,-93.531067170859302,44.077845448039938,14267.093554687999131
99,98,-93.531067170859302,44.077806448039937,14160.142480468999565
100,99,-93.531067170859302,44.077767448039928,14113.389225259999876
101,100,-93.531067170859302,44.077728448039935,13979.214335937000214
102,101,-93.531067170859302,44.077689448039933,13848.723600260000239
103,102,-93.531067170859302,44.077650448039932,13780.643587239999761
104,103,-93.531067170859302,44.077611448039931,13799.478320312999131
105,104,-93.531067170859302,44.077572448039938,14025.930546875000800
106,105,-93.531067170859302,44.077533448039937,14218.687825520999468
107,106,-93.531067170859302,44.077494448039936,14287.588085937999494
108,107,-93.531067170859302,44.077455448039935,14374.994954427000266
109,108,-93.531067170859302,44.077416448039934,14519.751679688000877
110,109,-93.531067170859302,44.077377448039933,14512.049804688000222
111,110,-93.531067170859302,44.077338448039924,14355.707617186999414
112,111,-93.531067170859302,44.077299448039945,14327.054817707999973
113,112,-93.531067170859302,44.077260448039937,14332.517382812999131
114,113,-93.531067170859302,44.077221448039936,14368.455240884999512
115,114,-93.531067170859302,44.077182448039927,14462.478906250000364
116,115,-93.531067170859302,44.077143448039934,14534.683919270999468
117,116,-93.531067170859302,44.077104448039933,14619.267929687999640
118,117,-93.531067170859302,44.077065448039932,14743.393522135000239
119,118,-93.531067170859302,44.077026448039931,14918.800390624999636
120,119,-93.531067170859302,44.076987448039937,14971.166992186999778
121,120,-93.531067170859302,44.076948448039936,14928.562031249999563
122,121,-93.531067170859302,44.076909448039935,14746.781184895999104
123,122,-93.531067170859302,44.076870448039934,14464.379264323000825
124,123,-93.531067170859302,44.076831448039933,14315.720638020999104
125,124,-93.531028170859315,44.078001448039934,14854.274381510000239
126,125,-93.531028170859315,44.077962448039933,14797.943684895999468
127,126,-93.531028170859315,44.077923448039925,14600.078613281000798
128,127,-93.531028170859315,44.077884448039931,14366.280859374999636
129,128,-93.531028170859315,44.077845448039938,14169.565022786000554
130,129,-93.531028170859315,44.077806448039937,14096.561523436999778
131,130,-93.531028170859315,44.077767448039928,14109.602864582999246
132,131,-93.531028170859315,44.077728448039935,14039.861588542000391
133,132,-93.531028170859315,44.077689448039933,13952.435058593999202
134,133,-93.531028170859315,44.077650448039932,13881.665825738000422
135,134,-93.531028170859315,44.077611448039931,13856.147840711999379
136,135,-93.531028170859315,44.077572448039938,14039.726692707999973
137,136,-93.531028170859315,44.077533448039937,14288.118543836999379
138,137,-93.531028170859315,44.077494448039936,14436.584147134999512
139,138,-93.531028170859315,44.077455448039935,14520.324354383999889
140,139,-93.531028170859315,44.077416448039934,14620.842415364999397
141,140,-93.531028170859315,44.077377448039933,14562.927680122000311
142,141,-93.531028170859315,44.077338448039924,14376.184027777999290
143,142,-93.531028170859315,44.077299448039945,14359.207356770999468
144,143,-93.531028170859315,44.077260448039937,14396.784960937999131
145,144,-93.531028170859315,44.077221448039936,14493.648328993000177
146,145,-93.531028170859315,44.077182448039927,14615.460015190999911
147,146,-93.531028170859315,44.077143448039934,14709.904866536000554
148,147,-93.531028170859315,44.077104448039933,14754.603613281000435
149,148,-93.531028170859315,44.077065448039932,14823.834798177000266
150,149,-93.531028170859315,44.077026448039931,14976.122667101000843
151,150,-93.531028170859315,44.076987448039937,15028.956949870000244
152,151,-93.531028170859315,44.076948448039936,15039.423567707999609
153,152,-93.531028170859315,44.076909448039935,14890.760118272999534
