,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
1,Plot10,2021,6082021,87.954,108.56,80.241,93.02293229,0.126974034,0.104857669,0.177220851,0.739139646,48.925,0.052666076,0.013648895,48.87233392,0.207434568,0.250905336,1.234281556,1.272586682,35,10,217.2334685
2,Plot100,2021,6082021,102.09,120.5,89.783,104.8866137,0.113490562,0.082708118,0.138622211,0.745087137,49.127,0.071792376,0.0166346,49.05520762,0.164292372,0.226051639,1.18033108,1.23191746,32,4,221.0705254
3,Plot1000,2021,6082021,86.488,108.86,81.354,93.0038477,0.129364408,0.114523824,0.196255943,0.747326842,49.878,0.044174599,0.01819864,49.8338254,0.226082418,0.2549079,1.258671723,1.284584264,4,8,200.0806134
4,Plot1001,2021,6082021,89.941,112.4,85.599,96.69597076,0.123045411,0.110995794,0.192381491,0.76155694,49.26,0.046945197,0.025833854,49.2130548,0.219289922,0.242708536,1.249708142,1.270470084,4,9,204.6682821
5,Plot1002,2021,6082021,87.312,110.29,82.425,94.12960935,0.130260788,0.116284248,0.199501637,0.747347901,50.843,0.042663029,0.018230385,50.80033697,0.229465656,0.256562231,1.263171156,1.287633268,4,10,223.711903
6,Plot1003,2021,6082021,88.361,110.82,84.071,95.1431759,0.124870582,0.112756739,0.195109026,0.758626602,49.208,0.045490941,0.024287207,49.16250906,0.222682277,0.246197666,1.254173221,1.275131933,4,11,218.1897915
7,Plot1004,2021,6082021,86.67,109.22,81.848,93.34486668,0.129011417,0.115115626,0.197734168,0.749386559,49.922,0.043631048,0.019324687,49.87836895,0.227220219,0.254181756,1.260182301,1.284434603,4,12,245.0237422
8,Plot1005,2021,6082021,85.65,108.07,80.147,92.0843617,0.131809696,0.115734049,0.197406074,0.741621171,50.343,0.043232664,0.015101491,50.29976734,0.228408708,0.259631591,1.261762989,1.289975721,4,13,195.9418745
9,Plot1006,2021,6082021,87.748,110.97,83.54,94.85600316,0.128810766,0.116859067,0.201618365,0.752816076,50.652,0.042079232,0.021207548,50.60992077,0.230569467,0.253699236,1.264644208,1.285510112,4,14,200.05412
10,Plot1007,2021,6082021,89.297,110.67,82.52,94.92339632,0.125962402,0.106882636,0.181979957,0.745640192,49.523,0.05078393,0.017197252,49.47221607,0.211350821,0.248720531,1.239347346,1.27235265,4,15,211.9593932
11,Plot1008,2021,6082021,86.999,110.39,82.79,94.17884087,0.130555676,0.118502044,0.204111729,0.749977353,50.991,0.040718969,0.019687414,50.95028103,0.233721992,0.257022429,1.268865159,1.289992207,4,16,230.9508736
12,Plot1009,2021,6082021,98.97,120.8,94.907,105.5067763,0.109587877,0.099331119,0.174831615,0.785653974,47.723,0.056432469,0.038356156,47.66656753,0.196721254,0.216784124,1.22057189,1.237729486,4,17,208.2493594
13,Plot101,2021,6082021,91.539,113.63,84.034,97.21604562,0.128308753,0.107672212,0.182366781,0.739540614,51.687,0.050222854,0.013891972,51.63677715,0.212876481,0.253317158,1.241328833,1.277197819,32,5,221.3407396
14,Plot1010,2021,6082021,94.165,117.82,90.722,101.6187006,0.12068904,0.111588084,0.195071869,0.770005093,50.753,0.046285682,0.030362033,50.70671432,0.220431379,0.238076281,1.251207986,1.266824383,4,18,208.5005895
15,Plot1011,2021,6082021,96.172,118.81,92.533,103.1620501,0.11473641,0.105301839,0.184876969,0.778831748,48.915,0.051479765,0.034912768,48.86352023,0.208294015,0.226667614,1.235390758,1.251361433,4,19,212.5416879
16,Plot1012,2021,6082021,97.096,119.46,91.778,103.475482,0.116986213,0.103271209,0.179230313,0.768273899,50.046,0.053430371,0.029283829,49.99256963,0.2043629,0.23118895,1.230328747,1.253623911,4,20,207.1978358
17,Plot1013,2021,6082021,89.938,113.65,86.43,97.42571742,0.126172994,0.116470519,0.202393349,0.760492741,50.932,0.042284272,0.025350151,50.88971573,0.229823396,0.248577319,1.263648291,1.280501306,4,21,210.7084981
18,Plot1014,2021,6082021,95.119,117.64,93.222,102.5948911,0.110804233,0.105852161,0.188401917,0.792434546,46.939,0.050743674,0.04206405,46.88825633,0.209358527,0.218968946,1.236766577,1.245091047,4,22,199.8101557
19,Plot1015,2021,6082021,93.094,115.6,90.232,100.285703,0.115490946,0.107842104,0.189984974,0.780553633,47.874,0.049281762,0.035877776,47.82471824,0.213204655,0.228057111,1.241755645,1.25473494,4,23,200.5153774
20,Plot1016,2021,6082021,90.983,114.24,89.509,98.89480096,0.117338106,0.113325504,0.200986916,0.783517157,47.988,0.044569982,0.037568367,47.94343002,0.223777113,0.231520579,1.255619182,1.262467169,4,24,202.1107195
21,Plot1017,2021,6082021,95.144,117.99,92.359,102.476348,0.114472128,0.107190781,0.189161664,0.782769726,48.477,0.049793612,0.037030636,48.42720639,0.211946328,0.226087687,1.240120239,1.252449496,4,25,207.624072
22,Plot1018,2021,6082021,91.104,114.71,88.605,98.84190903,0.121504464,0.114695793,0.201400916,0.772426118,49.711,0.043596371,0.031713307,49.66740363,0.226413094,0.239564649,1.259110467,1.270826356,4,26,195.1707639
23,Plot1019,2021,6082021,92.301,115.46,91.579,100.394554,0.11340405,0.111469429,0.199333804,0.793166465,47.04,0.045972473,0.042595711,46.99402753,0.220202743,0.223935598,1.250907357,1.254182817,4,27,193.9421164
24,Plot102,2021,6082021,101.63,121.19,89.819,105.0128972,0.117398791,0.087783861,0.147066563,0.741142008,50.931,0.067464392,0.014574637,50.86353561,0.174225143,0.233409036,1.192462855,1.242543338,32,6,219.3729954
25,Plot1020,2021,6082021,90.965,116.11,89.944,99.74314757,0.124200915,0.121429434,0.214674168,0.774644733,51.311,0.037846064,0.033033577,51.27315394,0.239329922,0.244643201,1.276424999,1.2812318,4,28,193.3664236
26,Plot1021,2021,6082021,91.672,115.81,91.605,100.3447187,0.116518076,0.116337803,0.208307084,0.790993869,48.343,0.041896839,0.041583218,48.30110316,0.229568514,0.229914786,1.263308317,1.263615929,4,29,210.7199831
27,Plot1022,2021,6082021,93.828,116,92.381,101.3145971,0.1094931,0.105667499,0.188783026,0.796387931,45.791,0.050823106,0.044119798,45.74017689,0.209001368,0.216420714,1.236304728,1.242719787,4,30,181.2137144
28,Plot1023,2021,6082021,90.529,113.73,88.546,98.26903015,0.119018043,0.113586182,0.200504697,0.778563264,48.385,0.044434351,0.034952955,48.34056565,0.22427876,0.234769267,1.256282517,1.265582231,4,31,188.1242157
29,Plot1024,2021,6082021,90.679,112.78,89.149,98.13180531,0.112810443,0.108626308,0.193342665,0.790468168,45.732,0.048428614,0.04110824,45.68357139,0.214719002,0.222820071,1.243727875,1.250795529,4,32,190.1649701
30,Plot1027,2021,6082021,96.199,115.42,84.402,99.49827738,0.122104992,0.090828328,0.151088298,0.731259747,50.239,0.065058222,0.009265559,50.17394178,0.18017029,0.242635535,1.199804572,1.253230184,3,3,167.7354389
31,Plot1028,2021,6082021,89.598,110.02,79.786,93.98228166,0.130079297,0.102305403,0.170421924,0.725195419,50.656,0.055178881,0.00601423,50.60082112,0.202491451,0.257399744,1.227929195,1.276283268,3,4,181.5701738
32,Plot1029,2021,6082021,96.965,117.1,87.116,101.1662307,0.119821364,0.094060215,0.158607,0.743945346,50.119,0.061926217,0.016144445,50.05707378,0.186470664,0.237603747,1.207652246,1.251503532,3,5,193.4156748
33,Plot103,2021,6082021,97.43,118.52,87.279,101.9104495,0.124080911,0.097661496,0.163906397,0.736407357,52.331,0.058971932,0.012105043,52.27202807,0.193477647,0.245820578,1.216463102,1.261858506,32,7,214.885623
34,Plot1030,2021,6082021,97.462,118.15,89.04,102.2845468,0.1177809,0.095950133,0.163448472,0.753618282,49.798,0.060058033,0.021355514,49.73794197,0.190149666,0.233304042,1.212267345,1.249305675,3,6,209.1278448
35,Plot1031,2021,6082021,91.112,113.13,85.25,97.24086237,0.123932622,0.107803488,0.18503765,0.753557854,49.898,0.049834883,0.021485913,49.84816512,0.213130065,0.244635492,1.241658618,1.269461822,3,7,229.7966298
