,Unnamed: 0,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
4032,4033,Plot1,2020,6182020,39.832,49.734,33.297,41.50802809,0.152604043,0.110555345,0.175976115,0.669501749,26.339,0.049085567,-0.025379488,26.28991443,0.2184408,0.301910015,1.248594095,1.32537163,67,1,178.0760355
4033,4034,Plot10,2020,6182020,31.155,43.468,27.467,34.71088752,0.194520397,0.165002747,0.261112054,0.631890126,28.314,0.001459497,-0.049115486,28.3125405,0.321258929,0.376559853,1.395217461,1.45499837,67,10,218.0982594
4034,4035,Plot100,2020,6182020,29.002,39.506,24.811,31.71448544,0.189715791,0.153325159,0.240382635,0.628031185,25.199,0.011753234,-0.051121422,25.18724677,0.299606976,0.368880464,1.362181918,1.434851898,63,20,219.5285993
4035,4036,Plot1000,2020,6182020,30.214,41.284,26.505,33.26544492,0.185580851,0.154829506,0.246038273,0.642016277,25.849,0.010362948,-0.042621144,25.83863705,0.302409595,0.360669779,1.366386443,1.427298217,18,20,234.3713436
4036,4037,Plot1001,2020,6182020,37.434,47.021,31.01,39.0465487,0.157539726,0.113516074,0.179380672,0.659492567,25.598,0.046651366,-0.031238904,25.55134863,0.224143852,0.311449444,1.256104077,1.337374978,17,1,158.5800441
4037,4038,Plot1002,2020,6182020,38.304,47.788,31.773,39.8347122,0.153930203,0.110161223,0.174598207,0.664874027,25.499,0.04952785,-0.028047342,25.44947215,0.217680782,0.304696789,1.247598162,1.327729587,17,2,142.901167
4038,4039,Plot1003,2020,6182020,37.39,47.47,30.779,39.15252159,0.164129508,0.118783879,0.186387086,0.648388456,26.771,0.042165705,-0.037871306,26.72883429,0.234262407,0.323883766,1.2695908,1.354573534,17,3,181.3994432
4039,4040,Plot1004,2020,6182020,34.137,44.068,28.27,36.08562176,0.17090798,0.126986766,0.198878542,0.641508578,25.729,0.034973468,-0.042169523,25.69402653,0.24994304,0.336058359,1.290916015,1.374581633,17,4,176.4938743
4040,4041,Plot1005,2020,6182020,35.931,46.152,29.441,37.80571538,0.170805957,0.124520303,0.194160556,0.63791385,26.932,0.037224275,-0.044246978,26.89477573,0.245238113,0.336327609,1.284461885,1.372559874,17,5,169.0801151
4041,4042,Plot1006,2020,6182020,40.818,50.681,32.401,41.97021835,0.161203109,0.107793528,0.166892281,0.639312563,28.143,0.05217272,-0.042934625,28.09082728,0.213110826,0.320222367,1.241633593,1.340883743,17,6,183.9054071
4042,4043,Plot1007,2020,6182020,40.731,50.127,32.332,41.70167348,0.156885937,0.103414119,0.160544032,0.645001696,27.191,0.055981817,-0.039469113,27.13501818,0.204639722,0.312249795,1.230684245,1.329058338,17,7,203.9852171
4043,4044,Plot1008,2020,6182020,38.997,48.703,31.174,40.2681284,0.162522303,0.110672748,0.171708594,0.640083773,27.235,0.049571816,-0.042561031,27.18542818,0.218667161,0.322295033,1.24889094,1.345565959,17,8,208.3828139
4044,4045,Plot1009,2020,6182020,35.754,45.762,29.211,37.53128331,0.169717999,0.122773443,0.19133926,0.638324374,26.559,0.03877645,-0.04395134,26.52022355,0.241900641,0.334467704,1.279912737,1.369022246,17,9,205.0081289
4045,4046,Plot101,2020,6182020,29.201,38.343,24.741,31.27832653,0.174112748,0.13534881,0.21358316,0.645254675,22.744,0.027506095,-0.040153871,22.7164939,0.265827839,0.341014083,1.31307147,1.387579463,62,1,186.8314951
4046,4047,Plot1010,2020,6182020,38.515,47.269,29.113,39.00995751,0.165941073,0.102047002,0.15447054,0.615900484,26.91,0.057895332,-0.056666406,26.85210467,0.201990557,0.331701053,1.22728807,1.347163514,17,10,203.7018765
4047,4048,Plot1011,2020,6182020,36.551,46.412,29.068,38.01314671,0.171702126,0.118860215,0.18296688,0.626303542,27.205,0.042482884,-0.051028733,27.16251712,0.234408761,0.339373949,1.26978742,1.370437486,17,11,216.683791
4048,4049,Plot1012,2020,6182020,34.944,45.64,29.091,37.19488772,0.1754177,0.132731063,0.207717554,0.637401402,27.245,0.029921131,-0.044792341,27.21507887,0.260866305,0.344065546,1.306089744,1.388303664,17,12,226.1891448
4049,4050,Plot1013,2020,6182020,36.368,46.559,29.471,38.11785122,0.171612449,0.122891218,0.190642772,0.632981808,27.279,0.038756917,-0.047150305,27.24024308,0.242125791,0.338300666,1.280218874,1.373078286,17,13,230.3434268
