Unnamed: 0,Plot,Year,Date,Red,Green,Blue,BI,GLI,NGRDI,VARI,BGI,ExG,ExR,ExB,ExGR,MGRVI,RGBVI,GRRI,VEG,Range,Row,Mean.Yld.bu.ac
4033,Plot1,2020,6182020,39.832,49.734,33.297,41.50802809,0.152604043,0.110555345,0.175976115,0.669501749,26.339,0.049085567,-0.025379488,26.28991443,0.2184408,0.301910015,1.248594095,1.32537163,67,1,178.0760355
4063,Plot1025,2020,6182020,40.946,50.738,32.392,42.03237333,0.160959649,0.106801623,0.165148755,0.638416966,28.138,0.053083594,-0.043434669,28.08491641,0.211194241,0.319950834,1.239144239,1.339715279,16,5,150.395956
4187,Plot1137,2020,6182020,33.712,45.714,28.223,36.61878602,0.192308445,0.151109209,0.234400328,0.617381984,29.493,0.013774396,-0.057611311,29.4792256,0.29547162,0.374295409,1.356015662,1.438686249,11,17,185.0476216
4188,Plot1138,2020,6182020,33.716,45.469,28.491,36.58750104,0.187606517,0.148424575,0.231842033,0.62660274,28.731,0.016098295,-0.051836992,28.71490171,0.290450567,0.365526922,1.348588207,1.426366397,11,18,183.3885404
4189,Plot1139,2020,6182020,30.861,43.669,27.086,34.60748608,0.20229893,0.171850262,0.269960374,0.620256933,29.391,-0.004562274,-0.0565718,29.39556227,0.333841349,0.390494479,1.415022196,1.477858104,11,19,178.8955731
4191,Plot1140,2020,6182020,31.99,44.604,28.343,35.66605559,0.193090858,0.164686529,0.261424634,0.635436284,28.875,0.001734374,-0.046921486,28.87326563,0.3206758,0.373876368,1.394310722,1.451659806,11,20,180.5194557
4192,Plot1141,2020,6182020,48.34,59.284,38.495,49.44091855,0.154491414,0.101687356,0.15831272,0.649332029,31.733,0.057432641,-0.036894586,31.67556736,0.201293275,0.30764813,1.226396359,1.323016699,10,1,158.3649097
4193,Plot1142,2020,6182020,47.351,56.976,37.511,47.94252426,0.146317664,0.092257996,0.144052323,0.658364926,29.09,0.065676335,-0.031448554,29.02432367,0.182958733,0.292702131,1.203269202,1.300327005,10,2,148.8218447
4194,Plot1143,2020,6182020,41.253,51.579,34.16,42.93059845,0.155372373,0.111233195,0.175995364,0.662285038,27.745,0.048626685,-0.029568792,27.69637331,0.219747494,0.307448417,1.250309068,1.331381834,10,3,163.662782
4195,Plot1144,2020,6182020,35.68,46.574,29.686,37.96251867,0.175265276,0.132443407,0.207236342,0.637394254,27.782,0.03017688,-0.044788279,27.75182312,0.260320466,0.343812323,1.305325112,1.387766681,10,4,184.540065
4196,Plot1145,2020,6182020,39.463,49.555,31.728,40.90514384,0.163939143,0.11337033,0.176156397,0.640258299,27.919,0.047150216,-0.042533914,27.87184978,0.223863381,0.324619026,1.255733218,1.350355966,10,5,166.9380796
4197,Plot1146,2020,6182020,38.079,48.328,31.252,39.8425791,0.164621326,0.118613075,0.185821775,0.64666446,27.325,0.042347802,-0.038885253,27.2826522,0.233934906,0.324919877,1.269150976,1.355461724,10,6,165.0271268
4198,Plot1147,2020,6182020,39.676,50.485,32.653,41.5898169,0.165269274,0.119885538,0.187956458,0.646786174,28.641,0.041211914,-0.038845734,28.59978809,0.236373784,0.325989838,1.272431697,1.357712684,10,7,180.6131647
4199,Plot1148,2020,6182020,36.321,47.687,30.176,38.74642343,0.178395142,0.135296638,0.211138356,0.632793004,28.877,0.027695649,-0.047647656,28.84930435,0.265729058,0.349555532,1.312931913,1.396520819,10,8,183.0630085
4200,Plot1149,2020,6182020,35.376,46.965,29.859,38.07331735,0.18028461,0.140743979,0.220818566,0.635771319,28.695,0.022828877,-0.046010695,28.67217112,0.276020309,0.352366067,1.32759498,1.40470635,10,9,183.6130969
4202,Plot1150,2020,6182020,35.708,47.032,30.25,38.30636495,0.17563835,0.136862461,0.215736331,0.643179112,28.106,0.026189928,-0.041437295,28.07981007,0.268691963,0.343797542,1.317127814,1.391929663,10,10,182.961825
4203,Plot1151,2020,6182020,35.483,47.395,31.106,38.61309169,0.174750122,0.143729337,0.230085761,0.656313957,28.201,0.020013335,-0.033746842,28.18098666,0.28164051,0.341058188,1.335710058,1.395570751,10,11,179.2718122
4204,Plot1152,2020,6182020,35.18,46.202,30.086,37.75987553,0.172118983,0.135435354,0.214870555,0.651183931,27.138,0.027362113,-0.036616787,27.11063789,0.265991693,0.337044277,1.313303013,1.38352207,10,12,177.4145265
4205,Plot1153,2020,6182020,35.402,46.464,30.116,37.94372305,0.172992692,0.13512325,0.213758454,0.648157713,27.41,0.027672304,-0.038413316,27.3823277,0.265400736,0.338825727,1.312468222,1.385082227,10,13,179.5449721
4206,Plot1154,2020,6182020,35.782,47.532,30.313,38.55092094,0.179754156,0.14103272,0.22169393,0.637738787,28.969,0.022554498,-0.044829134,28.9464455,0.276564508,0.351270498,1.328377396,1.403813332,10,14,183.2145437
4207,Plot1155,2020,6182020,34.922,46.341,30.165,37.75783181,0.174907618,0.140519055,0.223472543,0.650935457,27.595,0.022882938,-0.036884805,27.57211706,0.275596295,0.341798429,1.326985854,1.393296953,10,15,182.2655597
4208,Plot1156,2020,6182020,34.073,45.5,29.279,36.91647857,0.179123043,0.143603986,0.22720404,0.643494505,27.648,0.02023114,-0.041426892,27.62776886,0.281404813,0.349631978,1.33536818,1.404528156,10,16,183.9657458
4209,Plot1157,2020,6182020,35.409,46.654,29.497,37.86144039,0.179516351,0.137028868,0.213921546,0.632250182,28.402,0.026161707,-0.04802976,28.37583829,0.269006623,0.351480011,1.317574628,1.400212818,10,17,180.9363739
4210,Plot1158,2020,6182020,32.669,44.183,27.967,35.59753802,0.186104884,0.149820434,0.235532372,0.632981011,27.73,0.01482174,-0.047979851,27.71517826,0.293062734,0.362372349,1.352444213,1.424273901,10,18,176.782763
4211,Plot1159,2020,6182020,32.32,44.641,29.348,36.04953252,0.182934747,0.160094074,0.258773864,0.657422549,27.614,0.005709771,-0.033428967,27.60829023,0.312186765,0.355038624,1.381219059,1.426306557,10,19,178.1315434
4213,Plot1160,2020,6182020,32.63,44.713,28.42,35.9242985,0.188574922,0.156226161,0.246979948,0.635609331,28.376,0.009161994,-0.04656638,28.36683801,0.305008108,0.366264224,1.370303402,1.434810033,10,20,184.0819765
4214,Plot1161,2020,6182020,48.233,58.767,38.042,49.08216357,0.153373992,0.098448598,0.152759651,0.64733609,31.259,0.060390783,-0.037976586,31.19860922,0.195007162,0.30607901,1.218398192,1.318606453,9,1,154.5334577
4215,Plot1162,2020,6182020,45.477,55.7,35.95,46.41497614,0.15543985,0.10104075,0.156729575,0.645421903,29.973,0.05810526,-0.039160778,29.91489474,0.200039253,0.309789235,1.224794951,1.324525511,9,2,139.3209799
4216,Plot1163,2020,6182020,41.089,51.944,33.64,42.88797289,0.163248739,0.116679028,0.182765646,0.647620514,29.159,0.044055166,-0.038271771,29.11494483,0.23022379,0.322502929,1.264182628,1.351255236,9,3,165.0140498
4217,Plot1164,2020,6182020,37.731,48.879,30.931,39.87276331,0.174834755,0.128714929,0.200219113,0.632807545,29.096,0.033557652,-0.047435363,29.06244235,0.253234389,0.343651707,1.295459967,1.384086863,9,4,169.9100224
4218,Plot1165,2020,6182020,38.481,49.421,31.141,40.38557698,0.17344952,0.124456781,0.192737971,0.630116752,29.22,0.037401611,-0.048920138,29.18259839,0.245116828,0.341712801,1.284296146,1.378073791,9,5,181.7570936
4219,Plot1166,2020,6182020,40.953,52.05,33.686,42.89948448,0.164826926,0.119318732,0.187079589,0.647185399,29.461,0.041710014,-0.0385953,29.41928999,0.235287682,0.325199947,1.27096916,1.356392853,9,6,183.8372901
4220,Plot1167,2020,6182020,36.988,49.474,31.927,40.14607556,0.178913757,0.144410261,0.228953883,0.64532886,30.033,0.019505191,-0.040343275,30.01349481,0.282920409,0.349105275,1.337568941,1.404739476,9,7,172.3048465
4221,Plot1168,2020,6182020,36.162,48.544,30.634,39.16908703,0.184838056,0.146176186,0.228990975,0.631056361,30.292,0.018057916,-0.049041096,30.27394208,0.286236226,0.360456898,1.342403628,1.418650272,9,8,179.9749789
4222,Plot1169,2020,6182020,36.608,48.573,30.844,39.37357121,0.180403164,0.140465597,0.220199864,0.635002985,29.694,0.023082956,-0.046467572,29.67091704,0.275495506,0.352646848,1.326841128,1.404739816,9,9,181.1377276
4224,Plot1170,2020,6182020,37.68,49.774,31.465,40.36202713,0.180226803,0.138289844,0.216006716,0.632157351,30.403,0.025042256,-0.048125194,30.37795774,0.271389611,0.352670336,1.32096603,1.402684316,9,10,181.4140972
4225,Plot1171,2020,6182020,37.751,49.595,31.705,40.37329584,0.176310141,0.135598654,0.212864614,0.639278153,29.734,0.027352983,-0.043745958,29.70664702,0.266300835,0.345343369,1.313740033,1.392358493,9,11,183.1636155
4226,Plot1172,2020,6182020,35.921,48.388,30.822,39.079886,0.18366673,0.147872706,0.233084675,0.63697611,30.033,0.0165151,-0.045489052,30.0164849,0.289416925,0.357900995,1.347067175,1.417521403,9,12,182.7158309
4227,Plot1173,2020,6182020,37.703,49.714,31.851,40.44537141,0.17678806,0.137398904,0.216157362,0.640684717,29.874,0.025742026,-0.04295033,29.84825797,0.269706171,0.345991005,1.318568814,1.394748793,9,13,186.0880426
4228,Plot1174,2020,6182020,37.285,49.533,31.608,40.1777508,0.179645032,0.141076735,0.221843869,0.638120041,30.173,0.022511948,-0.044600003,30.15048805,0.276647454,0.351047895,1.328496714,1.403618065,9,14,183.1465614
