,missing_2021,missing_2022
0,1,1
1,897,2
2,929,3
3,961,4
4,962,5
5,963,6
6,964,7
7,965,8
8,966,9
9,967,10
10,968,11
11,969,12
12,970,13
13,971,14
14,972,32
15,973,33
16,974,34
17,975,35
18,976,36
19,977,37
20,978,38
21,979,39
22,980,40
23,981,41
24,982,42
25,983,43
26,984,44
27,985,63
28,986,64
29,987,65
30,988,66
31,989,67
32,990,68
33,991,69
34,992,70
35,994,71
36,1025,72
37,1026,73
38,1057,74
39,1058,94
40,1089,95
41,1090,96
42,,97
43,,98
44,,99
45,,100
46,,101
47,,102
48,,103
49,,104
50,,105
51,,125
52,,126
53,,127
54,,128
55,,129
56,,130
57,,131
58,,132
59,,133
60,,134
61,,135
62,,136
63,,156
64,,157
65,,158
66,,159
67,,160
68,,161
69,,162
70,,163
71,,164
72,,165
73,,187
74,,188
75,,189
76,,190
77,,191
78,,192
79,,193
80,,194
81,,195
82,,218
83,,219
84,,220
85,,221
86,,222
87,,223
88,,224
89,,225
90,,249
91,,250
92,,251
93,,252
94,,253
95,,280
96,,281
97,,744
98,,775
99,,776
100,,806
101,,836
102,,837
103,,866
104,,867
105,,868
106,,897
107,,898
108,,899
109,,928
110,,929
111,,930
112,,959
113,,960
114,,961
115,,962
116,,963
117,,964
118,,965
119,,966
120,,967
121,,968
122,,969
123,,970
124,,971
125,,972
126,,973
127,,974
128,,975
129,,976
130,,977
131,,978
132,,979
133,,980
134,,981
135,,982
136,,983
137,,984
138,,985
139,,986
140,,987
141,,988
142,,989
143,,990
144,,991
145,,992
146,,993
147,,994
148,,1015
149,,1016
150,,1017
151,,1018
152,,1019
153,,1020
154,,1021
155,,1022
156,,1023
157,,1024
158,,1025
159,,1045
160,,1046
161,,1047
162,,1048
163,,1049
164,,1050
165,,1051
166,,1052
167,,1053
168,,1054
169,,1055
170,,1076
171,,1077
172,,1078
173,,1079
174,,1080
175,,1081
176,,1082
177,,1083
178,,1084
179,,1085
180,,1086
181,,1087
182,,1088
183,,1106
184,,1107
185,,1108
186,,1109
187,,1110
188,,1111
189,,1112
190,,1113
191,,1114
192,,1115
193,,1116
194,,1117
195,,1118
196,,1119
197,,1120
